office_phone,bin,:@computed_region_sbqj_enih,:@computed_region_yeji_bk3q,nta
646-701-4844,2027195,26,5,Westchester-Unionport                                                      
917-256-4273,1022052,7,4,Murray Hill-Kips Bay                                                       
917-826-3715,5113169,76,1,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
917-521-3742,1076752,22,4,Washington Heights North                                                   
718-391-8365,4005022,72,3,Queensbridge-Ravenswood-Long Island City                                   
347-421-2897,3000420,54,2,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
718-759-4893,3154215,41,2,Bay Ridge                                                                  
718-348-2928,4187180,60,3,Woodhaven                                                                  
347-407-4559,3000420,54,2,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
212-356-3851,1015097,7,4,Midtown-Midtown South                                                      
718-741-5049,2088325,31,5,Belmont                                                                    
