office_address,longitude,community_board,census_tract
"1230 Zerega Avenue
Bronx, NY  10462",-73.845099,9,96
"400 First Avenue
New York, NY, 10001",-73.978306,6,62
"715 Ocean Terrace
SI, NY 10301",-74.102078,2,177
"4360 Broadway, Suite 402
New York, NY 10033",-73.934048,12,271
"28-11 Queens Plaza North
Queens, NY 11101",-73.938208,1,33
"131 Livingston St
Brooklyn, NY 11201",-73.988605,2,37
"415 89th St
Brooklyn, NY 11209",-74.028086,10,160
"8201 Rockaway Blvd
Queens, NY 11416",-73.858495,9,34
"131 Livingston St
Brooklyn, NY 11201",-73.988605,2,37
"333 7th Avenue
New York, NY 10001",-73.99306,5,95
"1 Fordham Plaza
Bronx, NY 10458",-73.890073,6,387
