council_district,:@computed_region_92fq_4b7q,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,borough
13,12,11271,58,BRONX    
4,51,12073,71,MANHATTAN
50,14,10369,30,STATEN IS
10,39,13091,47,MANHATTAN
26,33,16858,39,QUEENS   
33,38,16865,68,BROOKLYN 
43,44,17216,10,BROOKLYN 
32,41,24012,46,QUEENS   
33,38,16865,68,BROOKLYN 
3,10,11722,11,MANHATTAN
15,22,10936,35,BRONX    
