latitude,longitude,:@computed_region_yeji_bk3q,bbl,:@computed_region_sbqj_enih,bid
40.6795208,-73.8105498,3.0,,64.0,
40.7201654,-74.0114699,4.0,,1.0,
40.71162,-73.7877,3.0,4098340010.0,61.0,
40.71015,-73.96845,2.0,3021290001.0,56.0,
40.763742,-73.971424,4.0,1013740014.0,11.0,
40.7051578,-74.0049878,4.0,,1.0,Downtown Alliance BID
-73.983259,40.756996,,1009970029.0,,
40.8579679,-73.9350592,4.0,1021790600.0,22.0,
40.7042302,-74.0078272,4.0,1000330001.0,1.0,Downtown Alliance BID
40.65835,-73.91474,2.0,3036070008.0,46.0,
40.7157307,-74.0155917,4.0,1000167516.0,1.0,
40.67328,-73.77586,3.0,4123000006.0,71.0,
40.7807367,-73.9590271,4.0,1066920001.0,11.0,Madison AVE BID
40.65395,-73.89683,2.0,3038820055.0,47.0,
40.75535623,-73.97125096,4.0,1013040033.0,9.0,East Midtown
40.8567832,-73.9347509,4.0,1021800450.0,22.0,
40.7086765,-74.0071646,4.0,,1.0,Downtown Alliance BID
40.76065999,-73.99820283,4.0,1008880044.0,6.0,Hudson Yards/Hell's Kitchen
40.8376309,-73.8543002,5.0,2039430001.0,26.0,
40.834734,-73.8608784,5.0,2039377501.0,26.0,
40.73872,-74.00828,4.0,1006427502.0,3.0,
40.7468301,-73.9563068,3.0,4000210040.0,66.0,
40.7030156,-74.0083804,4.0,1009000032.0,1.0,Downtown Alliance BID
40.75266482,-73.97284287,4.0,1013190104.0,9.0,Grand Central
40.7535404,-73.978615,4.0,1012780020.0,8.0,Grand Central Partnership
40.7376,-74.00835,4.0,1006410017.0,3.0,
40.74458,-73.95581,3.0,4000307501.0,66.0,
40.7655067,-73.9528245,4.0,1014820040.0,11.0,
40.7624431,-73.9705534,4.0,1012940033.0,10.0,East Midtown Partnership
40.754951,-73.983899,4.0,1012580001.0,8.0,Bryant Park/34th St
40.85735,-73.93639,4.0,1021790500.0,22.0,
40.741939,-73.9588655,3.0,4000150001.0,66.0,
40.6897028,-73.9338303,2.0,3016260010.0,52.0,
40.74777,-73.95496,3.0,4000210020.0,66.0,
40.746619,-73.990241,4.0,1008040042.0,7.0,Flatiron/Nomad
40.78561,-73.91448,3.0,4008500001.0,72.0,
40.75866608,-73.98890049,4.0,1010350029.0,8.0,Times Square
40.74546,-73.95743,3.0,4000190021.0,66.0,
40.71363,-73.77886,3.0,4099190034.0,61.0,
40.7610684,-73.9573706,4.0,,11.0,
40.65255,-73.90799,2.0,3036420001.0,46.0,
40.83695,-73.85723,5.0,2039437501.0,26.0,
40.66851,-73.9214,2.0,3014750035.0,46.0,
40.79338,-73.96701,4.0,1018327502.0,15.0,
