street_address,gf_cb_comment_period_ends_a,borough,neighborhood_tabulation_area_nta,ixn_code,cross_street_2,gf_permit_appl_id
ACROSS FROM 500 EAST 63RD STREET,2024-10-21T00:00:00.000,Manhattan,,,FDR DRIVE,
203 EAST 45 STREET,2024-10-28T00:00:00.000,Manhattan,Turtle Bay-East Midtown,NE,2 AVENUE,
560 WEST 42 STREET,2024-10-21T00:00:00.000,Manhattan,Murray Hill-Kips Bay,SE,10 AVENUE,
1412 EASTERN PARKWAY,2021-11-22T00:00:00.000,Brooklyn,Ocean Hill,NE,HOWARD AVENUE,90025.0
9829 DITMAS AVENUE,2022-06-07T00:00:00.000,Brooklyn,Brownsville,N,CHESTER STREET,90175.0
100 NORTH MOORE STREET,2024-10-21T00:00:00.000,Manhattan,,,GREENWICH STREET,
798 3 AVENUE,2024-10-28T00:00:00.000,Manhattan,Turtle Bay-East Midtown,NW,EAST 50 STREET,
831 6 AVENUE,2024-10-30T00:00:00.000,Manhattan,Midtown-Midtown South,SW,WEST 28 STREET,
701 8 AVENUE,2024-10-21T00:00:00.000,Manhattan,Clinton,NW,WEST 45 STREET,
1100 6 AVENUE,2024-10-30T00:00:00.000,Manhattan,Midtown-Midtown South,NE,WEST 43 STREET,
100 OVERLOOK TERRACE,2025-07-26T00:00:00.000,Manhattan,Washington Heights North,E,WEST 187 STREET,
45-21 5TH STREET,2023-03-05T00:00:00.000,Queens,Hunters Point-Sunnyside-West Maspeth,W,46th Ave,90420.0
741 COLUMBUS AVENUE,2024-10-30T00:00:00.000,Manhattan,Upper West Side,SE,WEST 96 STREET,
175-06 HILLSIDE AVENUE,2021-12-27T00:00:00.000,Queens,Jamaica,E,Hillside Ave,90079.0
1150 Madison Avenue,2025-03-12T00:00:00.000,Manhattan,Upper East Side-Carnegie Hill,SW,EAST 85TH STREET,
175 NORTH END AVENUE,2025-08-05T00:00:00.000,Manhattan,Financial District-Battery Park City,,RIVER TERRACE,
106 WEST 45TH STREET,2024-10-01T00:00:00.000,Manhattan,Midtown-Midtown South,W,West 45th ST,
12 NEWPORT STREET,,Brooklyn,Brownsville,W,EAST 98TH STREET,90176.0
100 JANE STREET,2022-12-16T00:00:00.000,Manhattan,West Village,N,WEST STREET,90255.0
650 MADISON AVENUE,2024-10-21T00:00:00.000,Manhattan,Upper East Side-Carnegie Hill,NW,EAST 60 STREET,
182-46 HILLSIDE AVENUE,2021-12-27T00:00:00.000,Queens,Jamaica,W,89TH AVENUE,90068.0
689 FT WASHINGTON AVENUE,2025-07-26T00:00:00.000,Manhattan,Washington Heights North,N,FORT WASINGTON AVENUE,90245.0
134-02 GUY R BREWER BLVD,,Queens,Springfield Gardens North,S,161ST STREET,90357.0
1530 UNION PORT ROAD,2025-02-13T00:00:00.000,Bronx,Parkchester,N,Metropolitan Oval,90372.0
701 FORT WASHINGTON AVENUE,2025-07-26T00:00:00.000,Manhattan,Washington Heights North,MIDBLOCK,CABRINI BOULEVARD,
2151 SAINT RAYMOND AVENUE,2025-02-13T00:00:00.000,Bronx,Parkchester,NE,Purdy Street,90206.0
875 WILLIAMS AVENUE,2024-12-02T00:00:00.000,Brooklyn,East New York,E,Glenwood Road,90404.0
335 MADISON AVENUE,2024-10-30T00:00:00.000,Manhattan,,,EAST 44TH STREET,
75 SOUTH STREET,2024-10-21T00:00:00.000,Manhattan,,,WALL STREET,
18-01 20TH AVENUE,2024-06-11T00:00:00.000,Queens,Steinway,NE,SHORE BOULEVARD,
419 KENT AVENUE,2023-03-05T00:00:00.000,Brooklyn,North Side-South Side,E,BROADWAY,90319.0
5-09 48 AVENUE,2023-03-05T00:00:00.000,Queens,Hunters Point-Sunnyside-West Maspeth,N,Vermon Blvd,90416.0
2-02 Borden Avenue,2025-02-11T00:00:00.000,Queens,Hunters Point-Sunnyside-West Maspeth,SE,54th Ave,
510 EAST 71ST STREET,2024-10-21T00:00:00.000,Manhattan,Lenox Hill-Roosevelt Island,MIDBLOCK,YORK AVENUE,
77 WATER STREET,2025-08-05T00:00:00.000,Manhattan,Financial District-Battery Park City,,OLD SLIP,
47-05 CENTER BOULEVARD,2024-07-28T00:00:00.000,Queens,Hunters Point-Sunnyside-West Maspeth,MIDBLOCK,47th Ave,90415.0
130-02 115TH AVENUE,2025-02-11T00:00:00.000,Queens,SOUTH OZONE PARK,SE,131ST STREET,
100 HORATIO STREET,2022-12-17T00:00:00.000,Manhattan,West Village,S,WEST STREET,90257.0
1368 METROPOLITAN AVENUE,2025-02-13T00:00:00.000,Bronx,Parkchester,NE,Wood Avenue,90205.0
480 PARK AVENUE,2024-10-30T00:00:00.000,Manhattan,,,MADISON AVENUE,
110 WILLIAM STREET,2024-10-21T00:00:00.000,Manhattan,,,GOLD STREET,
168 STUYVESANT AVENUE,2024-02-07T00:00:00.000,Brooklyn,Stuyvesant Heights,NW,LEWIS AVENUE,
47-40 CENTER BOULEVARD,2023-03-05T00:00:00.000,Queens,Hunters Point-Sunnyside-West Maspeth,W,48th Ave,90413.0
39 SOUTH STREET,2025-08-05T00:00:00.000,Manhattan,Financial District-Battery Park City,NW,BROAD STREET,
