site_id,latitude,longitude,cross_street_1,council_district,gf_doitt_submitted_to_cb_a
qu-10-gf44897,40.6795208,-73.8105498,130TH STREET,28.0,2024-12-12T00:00:00.000
mn-01-gf0979,40.7201654,-74.0114699,WEST STREET,1.0,2024-07-25T00:00:00.000
qu-12-157212,40.71162,-73.7877,175TH STREET,27.0,2021-10-28T00:00:00.000
bk-01-gf34906,40.71015,-73.96845,SOUTH 8TH STREET,33.0,2023-01-04T00:00:00.000
mn-08-136969,40.763742,-73.971424,EAST 59 STREET,4.0,2024-07-25T00:00:00.000
mn-01-gf0969,40.7051578,-74.0049878,MAIDEN LANE,1.0,2024-07-25T00:00:00.000
mn-05-122136,-73.983259,40.756996,AVENUE OF THE AMERICAS,,2024-08-02T00:00:00.000
mn-12-GF0874,40.8579679,-73.9350592,WEST 190TH STREET,10.0,2025-05-27T00:00:00.000
mn-01-gf0971,40.7042302,-74.0078272,GOUVERNEUR LANE,1.0,2025-05-05T00:00:00.000
bk-16-158880,40.65835,-73.91474,NEWPORT STREET,42.0,
mn-01-GF0984,40.7157307,-74.0155917,MURRAY STREET,1.0,2025-05-05T00:00:00.000
qu-12-gf44833,40.67328,-73.77586,GUY R BREWER BOULEVARD,28.0,
mn-08-119917,40.7807367,-73.9590271,EAST 86TH STREET,4.0,2025-01-09T00:00:00.000
bk-18-gf34892,40.65395,-73.89683,Stanley Ave,42.0,2024-10-02T00:00:00.000
mn-06-121822,40.75535623,-73.97125096,EAST 49 STREET,4.0,2024-07-31T00:00:00.000
mn-12-GF0880,40.8567832,-73.9347509,WEST 190 STREET,10.0,2025-05-27T00:00:00.000
mn-01-gf0974,40.7086765,-74.0071646,WILLIAM STREET,1.0,2024-07-25T00:00:00.000
mn-04-122406,40.76065999,-73.99820283,11 AVENUE,3.0,2024-07-25T00:00:00.000
bx-09-gf22758,40.8376309,-73.8543002,Odell Street,18.0,2024-12-16T00:00:00.000
bx-09-gf22757,40.834734,-73.8608784,McGraw Avenue,18.0,2024-12-16T00:00:00.000
mn-02-gf0918,40.73872,-74.00828,WASHINGTON STREET,3.0,2022-10-18T00:00:00.000
qu-02-gf44784,40.7468301,-73.9563068,46th Ave,26.0,2024-05-29T00:00:00.000
mn-01-gf0973,40.7030156,-74.0083804,OLD SLIP,1.0,2025-05-05T00:00:00.000
mn-06-121358,40.75266482,-73.97284287,3 AVENUE,4.0,2024-07-31T00:00:00.000
mn-05-gf0981,40.7535404,-73.978615,EAST 43RD STREET,4.0,2024-08-02T00:00:00.000
mn-02-gf0916,40.7376,-74.00835,WASHINGTON STREET,3.0,2022-10-17T00:00:00.000
qu-02-gf44785,40.74458,-73.95581,5th St,26.0,2023-01-04T00:00:00.000
mn-08-gf0926,40.7655067,-73.9528245,FDR DRIVE,5.0,2024-07-25T00:00:00.000
mn-05-gf0960,40.7624431,-73.9705534,PARK AVENUE,4.0,2024-08-02T00:00:00.000
mn-05-122814,40.754951,-73.983899,WEST 42 STREET,4.0,2024-08-02T00:00:00.000
mn-12-gf0873,40.85735,-73.93639,CABRINI BOULEVARD,10.0,2025-05-27T00:00:00.000
qu-02-gf44788,40.741939,-73.9588655,Borden Ave,26.0,2024-12-12T00:00:00.000
bk-03-gf34935,40.6897028,-73.9338303,STUYVESANT AVENUE,36.0,2024-12-09T00:00:00.000
qu-02-gf44789,40.74777,-73.95496,N Basin Rd,26.0,2023-01-04T00:00:00.000
mn-05-134444,40.746619,-73.990241,WEST 29 STREET,3.0,2024-08-02T00:00:00.000
qu-01-160090,40.78561,-73.91448,18TH STREET,22.0,2024-04-12T00:00:00.000
mn-04-142001,40.75866608,-73.98890049,WEST 44 STREET,3.0,2024-07-25T00:00:00.000
qu-02-gf44782,40.74546,-73.95743,47th Rd,26.0,2023-01-04T00:00:00.000
qu-12-157688,40.71363,-73.77886,HILLSIDE AVENUE,27.0,2021-10-28T00:00:00.000
mn-08-gf0952,40.7610684,-73.9573706,YORK AVENUE,5.0,2024-07-25T00:00:00.000
bk-16-158935,40.65255,-73.90799,BRISTOL STREET,42.0,2022-04-08T00:00:00.000
bx-09-gf22752,40.83695,-73.85723,BANGLA BAZAAR,18.0,2024-12-16T00:00:00.000
bk-16-154816,40.66851,-73.9214,EASTERN PARKWAY,41.0,2021-09-21T00:00:00.000
mn-07-120527,40.79338,-73.96701,WEST 97 STREET,7.0,2024-08-02T00:00:00.000
