location2,greenfield_in_bid_location,legacy_id,:@computed_region_92fq_4b7q,:@computed_region_efsh_h5xi
"{'type': 'Point', 'coordinates': [-73.8105498, 40.6795208]}",,,46.0,24016.0
"{'type': 'Point', 'coordinates': [-74.0114699, 40.7201654]}",,,32.0,12076.0
"{'type': 'Point', 'coordinates': [-73.7877, 40.71162]}",No,,6.0,24340.0
"{'type': 'Point', 'coordinates': [-73.96845, 40.71015]}",No,,38.0,17613.0
"{'type': 'Point', 'coordinates': [-73.971424, 40.763742]}",No,,51.0,12419.0
"{'type': 'Point', 'coordinates': [-74.0049878, 40.7051578]}",,,32.0,13096.0
"{'type': 'Point', 'coordinates': [40.756996, -73.983259]}",,,,
"{'type': 'Point', 'coordinates': [-73.9350592, 40.8579679]}",No,,39.0,13098.0
"{'type': 'Point', 'coordinates': [-74.0078272, 40.7042302]}",,,32.0,11726.0
"{'type': 'Point', 'coordinates': [-73.91474, 40.65835]}",No,,25.0,17614.0
"{'type': 'Point', 'coordinates': [-74.0155917, 40.7157307]}",No,,32.0,10368.0
"{'type': 'Point', 'coordinates': [-73.77586, 40.67328]}",No,,46.0,24669.0
"{'type': 'Point', 'coordinates': [-73.9590271, 40.7807367]}",Yes,,51.0,12425.0
"{'type': 'Point', 'coordinates': [-73.89683, 40.65395]}",No,,25.0,17214.0
"{'type': 'Point', 'coordinates': [-73.97125096, 40.75535623]}",Yes,,51.0,12079.0
"{'type': 'Point', 'coordinates': [-73.9347509, 40.8567832]}",No,,39.0,13098.0
"{'type': 'Point', 'coordinates': [-74.0071646, 40.7086765]}",,,32.0,13096.0
"{'type': 'Point', 'coordinates': [-73.99820283, 40.76065999]}",No,,10.0,13094.0
"{'type': 'Point', 'coordinates': [-73.8543002, 40.8376309]}",No,,31.0,11271.0
"{'type': 'Point', 'coordinates': [-73.8608784, 40.834734]}",No,,31.0,11271.0
"{'type': 'Point', 'coordinates': [-74.00828, 40.73872]}",No,,10.0,12077.0
"{'type': 'Point', 'coordinates': [-73.9563068, 40.7468301]}",No,,33.0,16864.0
"{'type': 'Point', 'coordinates': [-74.0083804, 40.7030156]}",,,32.0,11725.0
"{'type': 'Point', 'coordinates': [-73.97284287, 40.75266482]}",Yes,,51.0,12079.0
"{'type': 'Point', 'coordinates': [-73.978615, 40.7535404]}",,,51.0,12079.0
"{'type': 'Point', 'coordinates': [-74.00835, 40.7376]}",No,,10.0,12077.0
"{'type': 'Point', 'coordinates': [-73.95581, 40.74458]}",No,,33.0,16858.0
"{'type': 'Point', 'coordinates': [-73.9528245, 40.7655067]}",No,,1.0,12083.0
"{'type': 'Point', 'coordinates': [-73.9705534, 40.7624431]}",,,51.0,12419.0
"{'type': 'Point', 'coordinates': [-73.983899, 40.754951]}",Yes,mn-05-122814,51.0,10094.0
"{'type': 'Point', 'coordinates': [-73.93639, 40.85735]}",No,,39.0,13098.0
"{'type': 'Point', 'coordinates': [-73.9588655, 40.741939]}",No,,33.0,16858.0
"{'type': 'Point', 'coordinates': [-73.9338303, 40.6897028]}",No,,49.0,18181.0
"{'type': 'Point', 'coordinates': [-73.95496, 40.74777]}",No,,33.0,16864.0
"{'type': 'Point', 'coordinates': [-73.990241, 40.746619]}",Yes,mn-05-134444,10.0,11722.0
"{'type': 'Point', 'coordinates': [-73.91448, 40.78561]}",No,,4.0,16862.0
"{'type': 'Point', 'coordinates': [-73.98890049, 40.75866608]}",Yes,,10.0,13094.0
"{'type': 'Point', 'coordinates': [-73.95743, 40.74546]}",No,,33.0,16864.0
"{'type': 'Point', 'coordinates': [-73.77886, 40.71363]}",No,,6.0,24332.0
"{'type': 'Point', 'coordinates': [-73.9573706, 40.7610684]}",,,1.0,10090.0
"{'type': 'Point', 'coordinates': [-73.90799, 40.65255]}",No,,25.0,13827.0
"{'type': 'Point', 'coordinates': [-73.85723, 40.83695]}",No,,31.0,11271.0
"{'type': 'Point', 'coordinates': [-73.9214, 40.66851]}",No,,17.0,13516.0
"{'type': 'Point', 'coordinates': [-73.96701, 40.79338]}",No,mn-07-120527,23.0,12422.0
