absent
8
19
14
8
2
18
14
4
11
7
10
11
11
18
14
7
8
11
15
7
8
8
5
9
14
17
9
20
9
12
4
10
14
8
11
12
10
11
7
11
12
28
8
6
14
9
15
12
4
8
9
7
20
30
12
12
18
9
11
14
7
15
7
13
9
11
8
6
47
14
9
13
6
10
6
3
9
8
7
5
15
19
13
8
8
4
14
8
9
15
14
13
5
7
8
16
9
12
8
14
13
9
8
4
10
7
9
10
15
16
4
12
13
14
11
30
5
8
7
14
4
14
10
10
18
11
13
10
8
10
12
24
6
8
6
10
26
10
11
7
5
23
9
15
6
9
11
5
13
11
7
11
14
22
12
13
13
8
7
4
12
24
11
17
10
19
10
5
14
8
15
4
17
6
5
11
15
19
11
15
6
12
15
17
10
7
41
7
30
21
10
15
7
19
7
9
12
16
6
18
