agy_nm,cy_adp_amt,cat_nm
DEBT SERVICE,2651328818.0,Funding for Debt
DEBT SERVICE,56268675.0,Funded Debt Outside Consitutional Limit
DEBT SERVICE,1342998891.0,Funded Debt Outside Consitutional Limit
DEBT SERVICE,114487055.0,Funding for TFA Debt
DEBT SERVICE,119629933.0,Funded Debt Outside Consitutional Limit
DEBT SERVICE,21721325.0,Funding for Debt
DEBT SERVICE,94042183.0,Funding for Lease Purchase City Guaranteed Debt
DEBT SERVICE,3472000.0,Funding for Lease Purchase City Guaranteed Debt
DEBT SERVICE,69911419.0,Funding for Debt
DEBT SERVICE,87780000.0,Lease Purchase City Guaranteed Debt
DEBT SERVICE,952065697.0,Funded Debt Outside Consitutional Limit
DEBT SERVICE,78654042.0,Funded Debt Outside Consitutional Limit
DEBT SERVICE,17687437.0,Funding for Debt
DEBT SERVICE,67371793.0,Lease Purchase City Guaranteed Debt
DEBT SERVICE,20505141.0,Lease Purchase City Guaranteed Debt
DEBT SERVICE,14819999.0,Funded Debt Outside Consitutional Limit
DEBT SERVICE,56268675.0,Funded Debt Outside Consitutional Limit
DEBT SERVICE,6057280.0,Lease Purchase City Guaranteed Debt
DEBT SERVICE,2500000.0,Funding for Debt
DEBT SERVICE,103197987.0,Funding for TFA Debt
DEBT SERVICE,0.0,Funding for Debt
DEBT SERVICE,1300825405.0,Funded Debt Outside Consitutional Limit
DEBT SERVICE,11663013.0,Lease Purchase City Guaranteed Debt
DEBT SERVICE,6061030.0,Lease Purchase City Guaranteed Debt
DEBT SERVICE,17687437.0,Funding for Debt
DEBT SERVICE,3472000.0,Funding for Lease Purchase City Guaranteed Debt
DEBT SERVICE,576984529.0,Funding for TFA Debt
DEBT SERVICE,0.0,Temporary Debt Within Constitutional Limit
DEBT SERVICE,342998891.0,Funded Debt Outside Consitutional Limit
DEBT SERVICE,0.0,Funded Debt Outside Consitutional Limit
DEBT SERVICE,3472000.0,Funding for Lease Purchase City Guaranteed Debt
DEBT SERVICE,1342998891.0,Funded Debt Outside Consitutional Limit
DEBT SERVICE,840850706.0,Funding for Debt
DEBT SERVICE,0.0,Funded Debt Outside Consitutional Limit
DEBT SERVICE,2500000.0,Funding for Debt
DEBT SERVICE,47898596.0,Funding for Debt
DEBT SERVICE,87720000.0,Lease Purchase City Guaranteed Debt
DEBT SERVICE,0.0,Funding for Debt
DEBT SERVICE,2500000.0,Funding for Debt
DEBT SERVICE,114487055.0,Funding for TFA Debt
DEBT SERVICE,87720000.0,Lease Purchase City Guaranteed Debt
DEBT SERVICE,0.0,Funded Debt Outside Consitutional Limit
DEBT SERVICE,0.0,Funding for Debt
DEBT SERVICE,6056210.0,Lease Purchase City Guaranteed Debt
DEBT SERVICE,0.0,Funding for Debt
DEBT SERVICE,0.0,Temporary Debt Within Constitutional Limit
DEBT SERVICE,342998891.0,Funded Debt Outside Consitutional Limit
DEBT SERVICE,71922548.0,Funded Debt Outside Consitutional Limit
DEBT SERVICE,0.0,Funded Debt Outside Consitutional Limit
DEBT SERVICE,0.0,Lease Purchase City Guaranteed Debt
DEBT SERVICE,570230407.0,Funding for TFA Debt
DEBT SERVICE,0.0,Funded Debt Outside Consitutional Limit
DEBT SERVICE,3075000.0,Funding for Lease Purchase City Guaranteed Debt
DEBT SERVICE,22177406.0,Lease Purchase City Guaranteed Debt
DEBT SERVICE,114229819.0,Funding for TFA Debt
DEBT SERVICE,20534059.0,Lease Purchase City Guaranteed Debt
DEBT SERVICE,17206124.0,Funding for Debt
DEBT SERVICE,11231954.0,Lease Purchase City Guaranteed Debt
DEBT SERVICE,0.0,Lease Purchase City Guaranteed Debt
DEBT SERVICE,684717462.0,Transitional Finance Authority
DEBT SERVICE,2651328818.0,Funding for Debt
DEBT SERVICE,1415863814.0,Transitional Finance Authority
DEBT SERVICE,0.0,Lease Purchase City Guaranteed Debt
DEBT SERVICE,0.0,Temporary Debt Within Constitutional Limit
DEBT SERVICE,2500000.0,Funding for Debt
DEBT SERVICE,110771978.0,Funding for Lease Purchase City Guaranteed Debt
DEBT SERVICE,1342998891.0,Funded Debt Outside Consitutional Limit
DEBT SERVICE,101412477.0,Funding for TFA Debt
DEBT SERVICE,135579062.0,Funded Debt Outside Consitutional Limit
DEBT SERVICE,0.0,Lease Purchase City Guaranteed Debt
DEBT SERVICE,0.0,Temporary Debt Within Constitutional Limit
DEBT SERVICE,87740000.0,Lease Purchase City Guaranteed Debt
DEBT SERVICE,6057280.0,Lease Purchase City Guaranteed Debt
DEBT SERVICE,6065030.0,Lease Purchase City Guaranteed Debt
DEBT SERVICE,7880530.0,Lease Purchase City Guaranteed Debt
DEBT SERVICE,9725000.0,Funding for Lease Purchase City Guaranteed Debt
DEBT SERVICE,0.0,Funding for Debt
DEBT SERVICE,9725000.0,Funding for Lease Purchase City Guaranteed Debt
DEBT SERVICE,346551576.0,Transitional Finance Authority
DEBT SERVICE,103197987.0,Funding for TFA Debt
DEBT SERVICE,11091587.0,Lease Purchase City Guaranteed Debt
DEBT SERVICE,2500000.0,Funding for Debt
DEBT SERVICE,0.0,Lease Purchase City Guaranteed Debt
DEBT SERVICE,21721325.0,Funding for Debt
DEBT SERVICE,0.0,Funding for Debt
DEBT SERVICE,703408891.0,Funded Debt Outside Consitutional Limit
DEBT SERVICE,22177406.0,Lease Purchase City Guaranteed Debt
DEBT SERVICE,346551576.0,Transitional Finance Authority
DEBT SERVICE,114229819.0,Funding for TFA Debt
DEBT SERVICE,0.0,Funding for Debt
DEBT SERVICE,17074549.0,Funded Debt Outside Consitutional Limit
DEBT SERVICE,3472000.0,Funding for Lease Purchase City Guaranteed Debt
DEBT SERVICE,0.0,Temporary Debt Within Constitutional Limit
DEBT SERVICE,9725000.0,Funding for Lease Purchase City Guaranteed Debt
DEBT SERVICE,576984529.0,Funding for TFA Debt
