obj_nm_fnd_nm,obj_cls_nm_fnd_cls_nm
City Funding,Funded Debt
Letter of Credit & Remarketing Fees,Debt Service Funded Debt
Redemption of Bonds - General,Debt Service Funded Debt
Build America Bonds Subsidy,Transitional Finance Authority
Interest on Bonds - General,Debt Service Funded Debt
Swap Receipts,Funded Debt
City Funding,Lease Purchase City Guaranteed Debt
Debt Service Reimbursements,Lease Purchase City Guaranteed Debt
Build America Bonds Subsidy,Funded Debt
Dormitory Authority of State of NY,Lease Purchase City Guaranteed Debt
Interest on Bonds - General,Debt Service Funded Debt
Letter of Credit & Remarketing Fees,Debt Service Funded Debt
Swap Receipts,Funded Debt
Dormitory Authority of State of NY,Lease Purchase City Guaranteed Debt
Education Construction Fund,Lease Purchase City Guaranteed Debt
Interest Exchange Agreements,Debt Service Funded Debt
Letter of Credit & Remarketing Fees,Debt Service Funded Debt
Industrial Development Agency,Lease Purchase City Guaranteed Debt
State Building Aid,Funded Debt
Build America Bonds Subsidy,Transitional Finance Authority
Department of Juvenille Justice Revenue,Funded Debt
Interest on Bonds - General,Debt Service Funded Debt
City University Construction Fund,Lease Purchase City Guaranteed Debt
Industrial Development Agency,Lease Purchase City Guaranteed Debt
Swap Receipts,Funded Debt
Debt Service Reimbursements,Lease Purchase City Guaranteed Debt
City Funding,Transitional Finance Authority
Interest,Temporary Debt
Redemption of Bonds - General,Debt Service Funded Debt
Various Municipal Purposes U/A 004,Debt Service Funded Debt
Debt Service Reimbursements,Lease Purchase City Guaranteed Debt
Redemption of Bonds - General,Debt Service Funded Debt
City Funding,Funded Debt
Various Municipal Purposes U/A 004,Debt Service Funded Debt
State Building Aid,Funded Debt
Build America Bonds Subsidy,Funded Debt
Dormitory Authority of State of NY,Lease Purchase City Guaranteed Debt
City Funding,Temporary Debt
State Building Aid,Funded Debt
Build America Bonds Subsidy,Transitional Finance Authority
Dormitory Authority of State of NY,Lease Purchase City Guaranteed Debt
Various Municipal Purposes U/A 004,Debt Service Funded Debt
City Funding,Temporary Debt
Industrial Development Agency,Lease Purchase City Guaranteed Debt
City Funding,Temporary Debt
Interest,Temporary Debt
Redemption of Bonds - General,Debt Service Funded Debt
Letter of Credit & Remarketing Fees,Debt Service Funded Debt
Various Municipal Purposes U/A 004,Debt Service Funded Debt
Hudson Yards Infrastructure Corporation,Lease Purchase City Guaranteed Debt
City Funding,Transitional Finance Authority
Various Municipal Purposes U/A 004,Debt Service Funded Debt
Debt Service Reimbursements,Lease Purchase City Guaranteed Debt
Education Construction Fund,Lease Purchase City Guaranteed Debt
Build America Bonds Subsidy,Transitional Finance Authority
Education Construction Fund,Lease Purchase City Guaranteed Debt
Swap Receipts,Funded Debt
City University Construction Fund,Lease Purchase City Guaranteed Debt
Hudson Yards Infrastructure Corporation,Lease Purchase City Guaranteed Debt
Long Term Debt Service U/A 006,Transitional Finance Authority
City Funding,Funded Debt
Long Term Debt Service U/A 006,Transitional Finance Authority
Hudson Yards Infrastructure Corporation,Lease Purchase City Guaranteed Debt
Interest,Temporary Debt
State Building Aid,Funded Debt
City Funding,Lease Purchase City Guaranteed Debt
Redemption of Bonds - General,Debt Service Funded Debt
Build America Bonds Subsidy,Transitional Finance Authority
Interest on Bonds - General,Debt Service Funded Debt
Hudson Yards Infrastructure Corporation,Lease Purchase City Guaranteed Debt
Interest,Temporary Debt
Dormitory Authority of State of NY,Lease Purchase City Guaranteed Debt
Industrial Development Agency,Lease Purchase City Guaranteed Debt
Industrial Development Agency,Lease Purchase City Guaranteed Debt
Industrial Development Agency,Lease Purchase City Guaranteed Debt
Courts Interest Aid,Lease Purchase City Guaranteed Debt
City Funding,Temporary Debt
Courts Interest Aid,Lease Purchase City Guaranteed Debt
Long Term Debt Service U/A 006,Transitional Finance Authority
Build America Bonds Subsidy,Transitional Finance Authority
City University Construction Fund,Lease Purchase City Guaranteed Debt
State Building Aid,Funded Debt
Hudson Yards Infrastructure Corporation,Lease Purchase City Guaranteed Debt
Swap Receipts,Funded Debt
City Funding,Temporary Debt
Redemption of Bonds - General,Debt Service Funded Debt
Education Construction Fund,Lease Purchase City Guaranteed Debt
Long Term Debt Service U/A 006,Transitional Finance Authority
Build America Bonds Subsidy,Transitional Finance Authority
Department of Juvenille Justice Revenue,Funded Debt
Interest Exchange Agreements,Debt Service Funded Debt
Debt Service Reimbursements,Lease Purchase City Guaranteed Debt
Interest,Temporary Debt
Courts Interest Aid,Lease Purchase City Guaranteed Debt
City Funding,Transitional Finance Authority
Debt Service Reimbursements,Lease Purchase City Guaranteed Debt
Various Municipal Purposes U/A 004,Debt Service Funded Debt
Department of Juvenille Justice Revenue,Funded Debt
Long Term Debt Service U/A 006,Transitional Finance Authority
City Funding,Lease Purchase City Guaranteed Debt
City Funding,Transitional Finance Authority
Letter of Credit & Remarketing Fees,Debt Service Funded Debt
Department of Juvenille Justice Revenue,Funded Debt
City Funding,Funded Debt
Education Construction Fund,Lease Purchase City Guaranteed Debt
City University Construction Fund,Lease Purchase City Guaranteed Debt
Interest on Bonds - General,Debt Service Funded Debt
Hudson Yards Infrastructure Corporation,Lease Purchase City Guaranteed Debt
Swap Receipts,Funded Debt
City Funding,Lease Purchase City Guaranteed Debt
Hudson Yards Infrastructure Corporation,Lease Purchase City Guaranteed Debt
Letter of Credit & Remarketing Fees,Debt Service Funded Debt
Department of Juvenille Justice Revenue,Funded Debt
State Building Aid,Funded Debt
Courts Interest Aid,Lease Purchase City Guaranteed Debt
Build America Bonds Subsidy,Funded Debt
Build America Bonds Subsidy,Funded Debt
City University Construction Fund,Lease Purchase City Guaranteed Debt
Industrial Development Agency,Lease Purchase City Guaranteed Debt
Interest,Temporary Debt
City University Construction Fund,Lease Purchase City Guaranteed Debt
Education Construction Fund,Lease Purchase City Guaranteed Debt
Various Municipal Purposes U/A 004,Debt Service Funded Debt
City University Construction Fund,Lease Purchase City Guaranteed Debt
Interest,Temporary Debt
State Building Aid,Funded Debt
Dormitory Authority of State of NY,Lease Purchase City Guaranteed Debt
Interest on Bonds - General,Debt Service Funded Debt
Industrial Development Agency,Lease Purchase City Guaranteed Debt
Various Municipal Purposes U/A 004,Debt Service Funded Debt
Swap Receipts,Funded Debt
Various Municipal Purposes U/A 004,Debt Service Funded Debt
City Funding,Transitional Finance Authority
Build America Bonds Subsidy,Funded Debt
Redemption of Bonds - General,Debt Service Funded Debt
Department of Juvenille Justice Revenue,Funded Debt
Interest Exchange Agreements,Debt Service Funded Debt
City Funding,Temporary Debt
Build America Bonds Subsidy,Funded Debt
Long Term Debt Service U/A 006,Transitional Finance Authority
City Funding,Funded Debt
Department of Juvenille Justice Revenue,Funded Debt
Courts Interest Aid,Lease Purchase City Guaranteed Debt
Dormitory Authority of State of NY,Lease Purchase City Guaranteed Debt
Courts Interest Aid,Lease Purchase City Guaranteed Debt
Courts Interest Aid,Lease Purchase City Guaranteed Debt
Build America Bonds Subsidy,Transitional Finance Authority
City Funding,Transitional Finance Authority
City Funding,Temporary Debt
