cy_amt_curr_mod,agy_cd,obj_cd_fnd_cd,exp_fnd
5506954576.0,99,C,FUNDING
48601153.0,99,618,EXPENSE
1231933897.0,99,850,EXPENSE
110253300.0,99,F,FUNDING
1073978189.0,99,810,EXPENSE
14310520.0,99,OC,FUNDING
94042183.0,99,C,FUNDING
3472000.0,99,OC,FUNDING
60266860.0,99,F,FUNDING
87780000.0,99,870,EXPENSE
1548832639.0,99,810,EXPENSE
59721201.0,99,618,EXPENSE
331528.0,99,OC,FUNDING
67371793.0,99,870,EXPENSE
20505141.0,99,870,EXPENSE
14819999.0,99,617,EXPENSE
33601153.0,99,618,EXPENSE
6057280.0,99,870,EXPENSE
2500000.0,99,S,FUNDING
102800166.0,99,F,FUNDING
0.0,99,S,FUNDING
920258022.0,99,810,EXPENSE
11663013.0,99,870,EXPENSE
6061030.0,99,870,EXPENSE
17687437.0,99,OC,FUNDING
3472000.0,99,OC,FUNDING
472623385.0,99,C,FUNDING
0.0,99,830,EXPENSE
200540000.0,99,850,EXPENSE
4772388686.0,99,810,EXPENSE
3472000.0,99,OC,FUNDING
622845000.0,99,850,EXPENSE
3008512917.0,99,C,FUNDING
2166386616.0,99,810,EXPENSE
2500000.0,99,S,FUNDING
47898596.0,99,F,FUNDING
87814000.0,99,870,EXPENSE
0.0,99,C,FUNDING
2500000.0,99,S,FUNDING
109653209.0,99,F,FUNDING
87287975.0,99,870,EXPENSE
3357613576.0,99,810,EXPENSE
0.0,99,C,FUNDING
6056210.0,99,870,EXPENSE
0.0,99,C,FUNDING
0.0,99,830,EXPENSE
242998891.0,99,850,EXPENSE
41922548.0,99,618,EXPENSE
2723463342.0,99,810,EXPENSE
0.0,99,870,EXPENSE
172671686.0,99,C,FUNDING
3732375479.0,99,810,EXPENSE
3075000.0,99,OC,FUNDING
22177406.0,99,870,EXPENSE
114229819.0,99,F,FUNDING
20534059.0,99,870,EXPENSE
369999.0,99,OC,FUNDING
11231954.0,99,870,EXPENSE
0.0,99,870,EXPENSE
282924986.0,99,810,EXPENSE
5726599835.0,99,C,FUNDING
1294406295.0,99,810,EXPENSE
0.0,99,870,EXPENSE
0.0,99,830,EXPENSE
2500000.0,99,S,FUNDING
110771978.0,99,C,FUNDING
365421000.0,99,850,EXPENSE
101412477.0,99,F,FUNDING
637392005.0,99,810,EXPENSE
0.0,99,870,EXPENSE
0.0,99,830,EXPENSE
87740000.0,99,870,EXPENSE
6057280.0,99,870,EXPENSE
6065030.0,99,870,EXPENSE
7763530.0,99,870,EXPENSE
9725000.0,99,S,FUNDING
0.0,99,C,FUNDING
9725000.0,99,S,FUNDING
178748513.0,99,810,EXPENSE
102800166.0,99,F,FUNDING
11091587.0,99,870,EXPENSE
2500000.0,99,S,FUNDING
0.0,99,870,EXPENSE
14310520.0,99,OC,FUNDING
0.0,99,C,FUNDING
197231000.0,99,850,EXPENSE
1.0,99,870,EXPENSE
171653702.0,99,810,EXPENSE
114229819.0,99,F,FUNDING
0.0,99,S,FUNDING
17941000.0,99,617,EXPENSE
3472000.0,99,OC,FUNDING
0.0,99,830,EXPENSE
9725000.0,99,S,FUNDING
472623385.0,99,C,FUNDING
3108975.0,99,OC,FUNDING
3627673999.0,99,810,EXPENSE
0.0,99,S,FUNDING
586853204.0,99,810,EXPENSE
91691867.0,99,C,FUNDING
75948347.0,99,C,FUNDING
71922548.0,99,618,EXPENSE
0.0,99,S,FUNDING
4877608679.0,99,C,FUNDING
0.0,99,870,EXPENSE
14431954.0,99,870,EXPENSE
872773720.0,99,810,EXPENSE
0.0,99,870,EXPENSE
1846624.0,99,OC,FUNDING
112836282.0,99,C,FUNDING
0.0,99,870,EXPENSE
50832110.0,99,618,EXPENSE
0.0,99,S,FUNDING
2500000.0,99,S,FUNDING
9725000.0,99,S,FUNDING
78383983.0,99,F,FUNDING
60553631.0,99,F,FUNDING
14203868.0,99,870,EXPENSE
6056210.0,99,870,EXPENSE
0.0,99,830,EXPENSE
11091587.0,99,870,EXPENSE
0.0,99,870,EXPENSE
3034742967.0,99,810,EXPENSE
10832126.0,99,870,EXPENSE
0.0,99,830,EXPENSE
2500000.0,99,S,FUNDING
87780000.0,99,870,EXPENSE
450695635.0,99,810,EXPENSE
6061030.0,99,870,EXPENSE
3779072163.0,99,810,EXPENSE
17206124.0,99,OC,FUNDING
2723463342.0,99,810,EXPENSE
1229261266.0,99,C,FUNDING
45044843.0,99,F,FUNDING
197231000.0,99,850,EXPENSE
0.0,99,S,FUNDING
13084602.0,99,617,EXPENSE
0.0,99,C,FUNDING
78383983.0,99,F,FUNDING
265601641.0,99,810,EXPENSE
5445415480.0,99,C,FUNDING
0.0,99,S,FUNDING
9725000.0,99,S,FUNDING
87740000.0,99,870,EXPENSE
9725000.0,99,S,FUNDING
9725000.0,99,S,FUNDING
101412477.0,99,F,FUNDING
68853536.0,99,C,FUNDING
0.0,99,C,FUNDING
0.0,99,870,EXPENSE
4877608679.0,99,C,FUNDING
0.0,99,C,FUNDING
76622918.0,99,870,EXPENSE
3472000.0,99,OC,FUNDING
17941000.0,99,617,EXPENSE
1231933897.0,99,850,EXPENSE
1228643.0,99,617,EXPENSE
0.0,99,S,FUNDING
2500000.0,99,S,FUNDING
9725000.0,99,S,FUNDING
1357874.0,99,OC,FUNDING
42783379.0,99,618,EXPENSE
3821613660.0,99,C,FUNDING
0.0,99,830,EXPENSE
1330673743.0,99,810,EXPENSE
471211119.0,99,810,EXPENSE
0.0,99,S,FUNDING
19257822.0,99,870,EXPENSE
155948432.0,99,C,FUNDING
12158049.0,99,617,EXPENSE
48153925.0,99,F,FUNDING
59721201.0,99,618,EXPENSE
11147363.0,99,617,EXPENSE
3075000.0,99,OC,FUNDING
6065030.0,99,870,EXPENSE
50861476.0,99,F,FUNDING
91351156.0,99,C,FUNDING
4440779555.0,99,C,FUNDING
14819999.0,99,617,EXPENSE
2500000.0,99,S,FUNDING
2304644.0,99,OC,FUNDING
0.0,99,870,EXPENSE
112836282.0,99,C,FUNDING
74864740.0,99,C,FUNDING
622845000.0,99,850,EXPENSE
0.0,99,830,EXPENSE
62783379.0,99,618,EXPENSE
22555243.0,99,870,EXPENSE
586853204.0,99,810,EXPENSE
596839060.0,99,810,EXPENSE
13084602.0,99,617,EXPENSE
67171755.0,99,870,EXPENSE
11663013.0,99,870,EXPENSE
1060536202.0,99,810,EXPENSE
50591476.0,99,F,FUNDING
10832126.0,99,870,EXPENSE
1548832639.0,99,810,EXPENSE
1192993818.0,99,C,FUNDING
112197008.0,99,C,FUNDING
20534059.0,99,870,EXPENSE
