boo_event,boo_hours,boo_act,boo_trade,boo_misc,+ with boo_sqlidentity,- with boo_sqlidentity
1099512,0.25,10,Sheetmetal Worker,-,,12413560.0
1268956,1.0,20,Plumber,-,,13465490.0
1162806,0.5,20,Plumber,-,,12948107.0
1202064,0.5,10,Plumber,-,,13404571.0
1149987,1.0,10,Plumber,-,,12733313.0
1196470,1.0,20,Blacksmith,-,,13440046.0
385417,4.5,10,,-,,1165236.0
1201767,6.0,10,Painter,-,,13378875.0
1013452,2.0,10,Maintenance Worker,-,,11462021.0
1234215,0.333333,20,Plumber,-,,13426885.0
1232890,2.0,10,Blacksmith,-,,13420961.0
1215112,1.0,20,Plumber,-,,13401180.0
968698,0.25,10,Plumber,-,,11626849.0
1238918,3.0,10,Carpenter,-,,13426798.0
360733,0.5,10,Exterminator,-,,1016611.0
1275063,5.0,10,Plumber,-,,13464222.0
1220449,2.0,10,Plumber,-,,13408042.0
407677,0.25,20,Maintenance Worker,-,,1238385.0
1042322,0.333333,10,Blacksmith,-,,11786211.0
1029757,6.5,10,Carpenter,-,,11875324.0
291271,1.0,10,Electrician,-,,1149301.0
1087536,3.5,10,Plumber,-,,11987231.0
1268601,2.0,10,Painter,-,,13468369.0
1003752,4.0,10,Plumber,-,,11147741.0
1000295,6.0,10,Machinist,-,,10958047.0
1218034,1.0,10,Maintenance Worker,-,,13410849.0
1034913,1.0,10,Plumber,-,,11537693.0
1127700,1.0,20,Painter,-,,13391598.0
1124702,0.75,20,City Park Worker,-,,13114340.0
1257528,1.0,10,Blacksmith,-,,13456822.0
1153738,2.17,10,Carpenter,-,,13375392.0
1182540,7.0,10,Carpenter,-,,13365990.0
390710,1.0,10,Plumber,-,,1173129.0
1165426,0.5,10,Blacksmith,-,,13150986.0
1086129,0.25,10,Plumber,-,,12074293.0
18778,0.017857,10,Maintenance Worker,-,,105.0
1273105,5.0,10,Carpenter,-,,13466561.0
1142481,0.5,20,Plumber,-,,13366380.0
1257298,1.166667,20,Painter,-,,13451200.0
1199523,1.0,20,Plumber,-,,13378396.0
1216823,1.0,20,Blacksmith,-,,13400599.0
1083480,0.25,20,Plumber,-,,12080120.0
112592,3.0,10,,-,,112336.0
1040657,1.0,20,Plumber,-,,12136139.0
1013856,1.0,20,Sheetmetal Worker,-,,11169985.0
1261209,6.0,10,Carpenter,-,,13449912.0
1188274,1.0,20,Plumber,-,,13371312.0
1241792,7.0,10,Painter,-,,13437370.0
