boo_sqlidentity,boo_code,boo_entered,boo_cost,boo_date
13379355,13379441,Sep 28 2015  3:08PM,250.26,Sep  9 2015 12:00AM
1238385,1238450,Apr  5 2011  8:09AM,6.535,Apr  5 2011 12:00AM
13370800,13370886,Sep 16 2015  4:52PM,52.28,Aug  6 2015 12:00AM
13378875,13378961,Sep 28 2015  9:05AM,210.0,Sep 24 2015 12:00AM
10276361,10276439,Sep 10 2014  3:26PM,92.02,Aug 29 2014 12:00AM
11462021,11462099,Jan 26 2015  7:34PM,52.28,Jan  5 2015 12:00AM
13468369,13468456,Mar 22 2016  8:35AM,70.0,Mar 22 2016 12:00AM
13416206,13416292,Nov 23 2015 11:27AM,161.035,Nov 17 2015 12:00AM
13371312,13371398,Sep 17 2015  9:58AM,46.01,Sep  8 2015 12:00AM
1093267,1093332,Mar  7 2011  3:28PM,19.605,Mar  7 2011 12:00AM
12754844,12754922,Jul  1 2015 10:34AM,48.24,Jun 26 2015 12:00AM
12733313,12733391,Jun 29 2015  9:49AM,69.02,Jun 25 2015 12:00AM
10958047,10958125,Nov 25 2014  9:08AM,195.0,Nov 25 2014 12:00AM
1138,1138,Jul  8 2009  7:08AM,84.82,Jul  7 2009 12:00AM
10957161,10957239,Nov 25 2014  8:08AM,92.02,Nov 21 2014 12:00AM
14630188,14630278,Nov 20 2020  9:47AM,0.0,Nov 20 2020 12:00AM
11537693,11537771,Feb  6 2015  2:52PM,46.01,Feb  5 2015 12:00AM
13471528,13471615,Mar 29 2016  3:16PM,72.36,Mar 29 2016 12:00AM
13412792,13412878,Nov 17 2015  8:56AM,69.015,Nov  6 2015 12:00AM
13374098,13374184,Sep 21 2015 11:22AM,46.01,Aug 31 2015 12:00AM
10902325,10902403,Nov 18 2014  3:24PM,24.12,Nov 18 2014 12:00AM
11875324,11875402,Mar 24 2015  6:37AM,271.115,Mar 19 2015 12:00AM
13440046,13440132,Jan 14 2016  7:01AM,48.24,Jan 12 2016 12:00AM
13456822,13456909,Feb 23 2016  9:16AM,48.24,Feb  9 2016 12:00AM
13445314,13445400,Jan 26 2016  8:37AM,322.07,Jan 21 2016 12:00AM
12877225,12877303,Jul 15 2015  7:40AM,19.02,Jul 14 2015 12:00AM
13422593,13422679,Dec  5 2015  9:13AM,69.015,Nov  1 2015 12:00AM
