curr_ytd
Year-to-Date
Current
Year-to-Date
Current
Current
Current
Current
Current
Current
Year-to-Date
Year-to-Date
Current
Year-to-Date
Current
Year-to-Date
Current
Year-to-Date
Year-to-Date
Year-to-Date
Current
Current
Year-to-Date
Current
Year-to-Date
Year-to-Date
Year-to-Date
Year-to-Date
Current
Year-to-Date
Year-to-Date
Current
Current
Year-to-Date
Year-to-Date
Year-to-Date
Year-to-Date
Year-to-Date
Current
Current
Year-to-Date
Year-to-Date
Year-to-Date
Year-to-Date
Year-to-Date
Year-to-Date
Year-to-Date
Current
Year-to-Date
Year-to-Date
Year-to-Date
Current
Year-to-Date
Current
Current
Year-to-Date
Current
Current
Year-to-Date
Year-to-Date
Year-to-Date
Year-to-Date
Current
Current
Year-to-Date
Year-to-Date
Current
Current
Year-to-Date
Current
Year-to-Date
Year-to-Date
Year-to-Date
Year-to-Date
Current
Current
Current
Current
Year-to-Date
Year-to-Date
Year-to-Date
Current
Year-to-Date
Current
Year-to-Date
Year-to-Date
Year-to-Date
Current
Current
Current
Year-to-Date
Current
Current
Year-to-Date
Current
Year-to-Date
Current
Current
Current
Current
Current
Current
Current
Current
Year-to-Date
Year-to-Date
Current
Current
Current
Year-to-Date
Current
Current
Current
Year-to-Date
Current
Year-to-Date
Current
Current
Current
Current
Current
Current
Current
Current
Year-to-Date
Current
Year-to-Date
Current
Year-to-Date
Current
Current
Year-to-Date
Year-to-Date
Current
Current
Year-to-Date
Current
Year-to-Date
Year-to-Date
Year-to-Date
Current
Year-to-Date
Year-to-Date
Current
Current
Current
Current
Year-to-Date
Year-to-Date
Year-to-Date
Year-to-Date
Year-to-Date
Year-to-Date
Current
Year-to-Date
Current
Current
Current
Current
Current
Year-to-Date
Current
Current
Year-to-Date
Current
Current
Current
Current
Year-to-Date
Year-to-Date
Current
Current
Year-to-Date
Year-to-Date
Current
Year-to-Date
Current
Year-to-Date
Current
Year-to-Date
Year-to-Date
Current
Current
Year-to-Date
Year-to-Date
Year-to-Date
Current
Current
Year-to-Date
Current
Year-to-Date
Current
Year-to-Date
Year-to-Date
Current
Current
Current
Current
Current
Current
Current
