actchgland,nycode,period
0,14106.0,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,25136.0,T
0,13356.0,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,F
0,,T
0,25136.0,T
0,,T
0,14106.0,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,13356.0,T
865801,,T
0,,T
0,,T
0,,T
0,13356.0,T
0,,T
0,,T
0,,T
293000,,T
0,13356.0,T
0,,T
0,13356.0,T
0,,T
0,,T
0,14106.0,T
0,,T
0,,T
0,13356.0,T
16,,T
0,,T
0,14106.0,T
-47,,F
0,,T
0,,T
0,13356.0,T
0,,T
0,,T
0,13356.0,T
0,,T
0,25136.0,T
0,,T
0,,T
0,,T
0,,T
0,14106.0,T
0,,T
0,25136.0,T
0,,T
0,13356.0,T
0,,T
0,,T
0,,T
0,13356.0,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,13356.0,T
0,,T
0,25136.0,T
0,14106.0,T
0,,T
0,,T
308000,,T
0,,T
0,,T
0,13356.0,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,13356.0,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
-1924002,,T
0,,T
1924002,,T
0,,T
0,,T
0,13356.0,T
0,,T
0,,T
0,,T
0,,T
0,,T
1,,T
0,,T
0,,T
0,,T
0,14106.0,T
0,,T
0,14106.0,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
7,,T
0,13356.0,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,13356.0,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,13356.0,T
0,,T
0,,T
0,,T
0,,T
0,,F
0,13356.0,T
0,14106.0,T
0,,T
0,25136.0,T
131850,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,13356.0,T
0,13356.0,T
138600,,T
0,,T
0,,T
0,,T
-865801,,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,14106.0,T
0,,T
0,,T
0,,T
0,,T
0,,T
0,,T
