exseq,taxyr,excode
1,2026,4600.0
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
1,2026,1501.0
1,2026,2231.0
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
1,2026,1501.0
0,2026,
1,2026,4600.0
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
1,2026,
0,2026,
0,2026,
0,2026,
0,2026,
1,2026,2351.0
0,2026,
0,2026,
0,2026,
0,2026,
1,2026,2231.0
0,2026,
1,2026,2351.0
0,2026,
0,2026,
1,2026,4600.0
0,2026,
0,2026,
1,2026,2351.0
0,2026,
0,2026,
1,2026,4600.0
0,2026,
0,2026,
0,2026,
1,2026,2231.0
0,2026,
0,2026,
1,2026,2191.0
0,2026,
1,2026,1501.0
0,2026,
0,2026,
0,2026,
0,2026,
1,2026,4600.0
0,2026,
1,2026,1501.0
0,2026,
1,2026,2231.0
0,2026,
0,2026,
0,2026,
1,2026,2231.0
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
1,2026,2191.0
0,2026,
1,2026,1501.0
1,2026,4600.0
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
1,2026,2191.0
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
1,2026,2231.0
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
1,2026,2231.0
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
1,2026,4600.0
0,2026,
1,2026,4600.0
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
1,2026,2231.0
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
1,2026,2191.0
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
1,2026,2231.0
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
1,2026,2231.0
1,2026,4600.0
0,2026,
1,2026,1501.0
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
1,2026,2191.0
1,2026,2191.0
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
1,2026,4600.0
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
0,2026,
