chg_tp,valchgbldg
X,11721330
E,-2109870
ME,0
E,42914
ME,0
E,43719
ME,0
X,15093
X,125006048
E,43719
A,32966100
E,2264035
E,-1731697
E,42914
E,-92378
ME,0
X,3136631
E,-98190
X,350875
E,28235
ME,0
ME,0
ME,0
E,27999
E,42914
ME,0
E,29977
ME,0
E,13220
A,499050
E,44087
E,29977
E,5109930
X,-148862000
AH,416010
ME,0
E,43619
E,-19497
X,25246620
E,28235
ME,0
ME,0
ME,0
X,4464090
MD,0
X,227160
ME,0
E,28235
X,1031499
E,28235
E,-57401
X,5563530
ME,0
ME,0
X,173160
ME,0
ME,0
E,-333360
X,150143814
MA,0
E,42914
X,792630
ME,0
X,3077790
E,-516977
ME,0
E,-626220
ME,0
X,649620
ME,0
X,14810
E,399621
X,0
ME,0
ME,0
E,42914
X,-1281814
ME,0
ME,0
MA,0
ME,0
ME,0
E,-56479
X,31037310
E,29140
X,15093
X,148862000
ME,0
E,-297004
ME,0
ME,0
MD,0
X,192870
E,29158
E,42897
ME,0
D,-126000
ME,0
X,4238370
ME,0
ME,0
E,28235
ME,0
ME,0
ME,0
E,-15930
E,28235
MH,0
E,22498
MH,0
E,5772
E,-56479
X,-5
ME,0
E,28235
ME,0
ME,0
ME,0
ME,0
E,29140
E,-16920
ME,0
X,13320270
A,1260000
X,104553270
ME,0
E,42914
ME,0
E,29140
E,32513
ME,0
E,-269184
ME,0
ME,0
E,0
X,27720
E,29140
E,28235
E,29977
ME,0
ME,0
E,28452
E,28386
E,42914
ME,0
E,29140
E,28805
ME,0
ME,0
ME,0
X,4950
ME,0
E,43719
ME,0
ME,0
ME,0
ME,0
X,776700
E,28822
E,-289816
ME,0
ME,0
E,-31377
X,26370
X,63000
E,29977
X,3136631
E,0
E,29977
E,42342
ME,0
ME,0
ME,0
ME,0
E,28235
ME,0
ME,0
E,42342
ME,0
ME,0
ME,0
X,102600
X,16519050
E,0
E,12498
E,28805
E,29977
AH,-385628
E,29140
ME,0
D,-70650
ME,0
E,-6658
X,4950
MA,0
E,43719
E,28235
E,-55420
ME,0
E,27915
