ot_hours,agency_start_date
0.0,2016-11-14T00:00:00.000
6.25,1996-06-23T00:00:00.000
0.0,2023-06-05T00:00:00.000
512.0,1996-06-23T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,1996-08-12T00:00:00.000
6.0,2024-01-08T00:00:00.000
231.25,2012-01-17T00:00:00.000
3.5,2022-02-28T00:00:00.000
0.0,1997-02-02T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,2013-10-07T00:00:00.000
0.0,1996-06-23T00:00:00.000
136.75,1996-06-23T00:00:00.000
0.0,1996-06-23T00:00:00.000
100.5,2006-07-24T00:00:00.000
171.5,2018-12-17T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,2018-04-02T00:00:00.000
0.0,2015-03-16T00:00:00.000
19.75,2008-02-11T00:00:00.000
199.25,2006-07-24T00:00:00.000
60.0,2011-04-04T00:00:00.000
8.25,2006-05-15T00:00:00.000
0.0,2014-12-01T00:00:00.000
0.0,1996-06-23T00:00:00.000
362.25,1996-06-23T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,2018-04-23T00:00:00.000
85.5,2015-10-26T00:00:00.000
0.0,1996-06-23T00:00:00.000
7.0,2012-04-16T00:00:00.000
0.0,1996-06-23T00:00:00.000
144.75,2016-05-16T00:00:00.000
0.0,2012-01-17T00:00:00.000
0.0,2013-02-04T00:00:00.000
146.5,1996-06-23T00:00:00.000
0.0,2007-12-17T00:00:00.000
37.25,2008-02-11T00:00:00.000
0.0,1996-06-23T00:00:00.000
107.5,1996-06-23T00:00:00.000
0.0,1996-06-23T00:00:00.000
829.0,2007-10-22T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,1996-06-23T00:00:00.000
13.0,1996-06-23T00:00:00.000
408.75,2011-07-04T00:00:00.000
16.0,2007-07-09T00:00:00.000
0.0,1996-06-23T00:00:00.000
114.5,2006-07-24T00:00:00.000
0.0,2023-12-04T00:00:00.000
0.0,1997-02-02T00:00:00.000
1.5,2007-08-13T00:00:00.000
0.0,2006-06-05T00:00:00.000
0.0,2007-11-19T00:00:00.000
0.0,1999-02-22T00:00:00.000
0.0,1997-09-15T00:00:00.000
0.0,2008-01-14T00:00:00.000
45.5,2016-12-26T00:00:00.000
0.0,1996-06-23T00:00:00.000
6.0,1996-06-23T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,2007-03-19T00:00:00.000
0.0,2023-04-10T00:00:00.000
587.0,1997-07-06T00:00:00.000
0.0,2008-02-11T00:00:00.000
0.0,2006-06-05T00:00:00.000
0.0,2008-05-27T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,2025-06-02T00:00:00.000
0.0,1997-07-06T00:00:00.000
113.75,2006-11-20T00:00:00.000
95.25,2017-06-26T00:00:00.000
0.0,2007-08-13T00:00:00.000
80.25,2007-01-22T00:00:00.000
0.0,1997-02-02T00:00:00.000
20.75,1996-06-23T00:00:00.000
0.0,2022-01-31T00:00:00.000
18.75,2006-11-20T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,1998-09-08T00:00:00.000
