pay_basis,leave_status_as_of_june_30
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,CEASED
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,CEASED
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,CEASED
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ON SEPARATION LEAVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,CEASED
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,CEASED
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,CEASED
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,CEASED
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Hour,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,CEASED
per Annum,CEASED
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ON SEPARATION LEAVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ON LEAVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,CEASED
per Annum,CEASED
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ON LEAVE
per Day,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,CEASED
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,CEASED
per Annum,CEASED
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,CEASED
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,CEASED
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,CEASED
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,CEASED
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,CEASED
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,CEASED
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,CEASED
per Hour,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,CEASED
per Annum,CEASED
per Annum,ACTIVE
per Annum,CEASED
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,CEASED
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,CEASED
per Annum,ACTIVE
per Annum,CEASED
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,CEASED
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,CEASED
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,CEASED
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
per Annum,ACTIVE
