base_salary,total_other_pay
77637.0,0.0
100637.0,7640.57
85441.0,0.0
91467.0,3999.69
120872.0,1497.01
107698.0,814.91
97724.0,1497.01
69631.0,4723.84
77637.0,707.66
70106.0,3548.99
90245.0,9853.15
119298.0,1497.01
65185.0,5054.29
88513.0,5054.29
179557.0,0.0
97016.0,6022.57
103924.0,1024.09
132098.0,1604.26
70181.0,7332.05
58264.0,535.64
64312.0,4854.83
77637.0,0.0
136779.0,24.75
70132.0,7684.48
70181.0,17121.13
98098.0,699.41
71284.0,6355.88
97593.0,317.24
73761.0,1127.6
106339.0,1155.46
128299.0,0.0
65141.0,5054.29
65921.0,1195.94
77637.0,66.0
108363.0,1497.01
133374.0,14663.8
128471.0,4926.96
70106.0,8680.06
97269.0,699.41
139002.0,0.0
86381.0,2309.49
91823.0,4682.59
99818.0,748.91
129416.0,0.0
68702.0,1847.49
75925.0,6589.79
58071.0,10066.4
71303.0,1847.49
94581.0,1195.93
100556.0,5054.29
109765.0,4926.96
69892.0,20561.26
123933.0,2764.04
166988.0,0.0
70181.0,11953.24
77637.0,0.0
134827.0,0.0
105597.0,1497.01
100597.0,5081.93
97644.0,1620.76
129490.0,1497.01
112631.0,1847.49
88844.0,1497.01
159485.0,12.68
97296.0,2528.53
95846.0,5070.36
78456.0,5062.54
100101.0,9120.44
87611.0,4682.59
107491.0,5752.74
83984.0,699.41
128299.0,630.48
133373.0,19288.68
128606.0,0.0
19.0,0.0
119936.0,4926.96
78392.0,5167.08
77637.0,0.0
135453.0,699.41
70181.0,7840.49
91803.0,239.19
107639.0,8346.84
77637.0,0.0
100127.0,6510.43
78956.0,5054.29
112956.0,4926.96
84172.0,9468.21
78366.0,9164.19
106809.0,699.41
101758.0,8195.62
70106.0,11781.28
126637.0,4926.96
97593.0,0.0
70132.0,9266.7
99045.0,3366.12
69533.0,5054.29
69119.0,7106.02
66173.0,11316.21
273352.0,1140.56
64001.0,3963.64
161732.0,531.94
129849.0,432.56
100101.0,9160.91
70106.0,10710.83
456.33,3010.48
70106.0,11283.54
70156.0,5095.54
62137.0,2289.35
150874.0,0.0
140106.0,0.0
187565.0,96409.58
100653.0,5783.58
95051.0,0.0
58071.0,8121.42
108829.0,2662.46
56554.0,1922.44
81070.0,8388.11
70106.0,2743.94
58984.0,12249.96
63031.0,5211.11
70106.0,14574.41
94863.0,5367.0
94855.0,6947.18
67193.0,2224.93
69239.0,4706.33
164540.0,3185.41
61467.0,1847.49
117891.0,0.0
67947.0,6895.75
103924.0,699.41
78085.0,4788.83
136065.0,0.0
71547.0,1099.7
188256.0,0.0
100101.0,9190.06
100076.0,7592.59
64890.0,281.13
62043.0,761.36
78821.0,5054.29
65185.0,5054.29
100332.0,8203.6
70106.0,9540.16
188256.0,1375.0
122365.0,21021.8
81991.0,248.06
64001.0,1264.27
31.69,0.0
70156.0,7995.29
70156.0,7582.82
77637.0,5707.26
73854.0,5054.29
104341.0,1497.01
101167.0,5065.04
213910.0,83634.38
94949.0,6350.72
100556.0,7871.2
110125.0,942.24
104309.0,82.5
79526.0,2280.03
129705.0,22437.08
153570.0,0.0
67423.0,3146.85
106579.0,859.3
154929.0,0.0
97876.0,3416.93
128299.0,0.0
188967.0,0.0
74104.0,4066.15
77637.0,0.0
63739.0,99.77
68452.0,4091.99
70156.0,11753.56
85686.0,2013.21
98875.0,5054.29
70106.0,7249.16
120463.0,528.0
107514.0,4881.81
113023.0,0.0
44404.0,5696.52
121220.0,1497.01
77637.0,0.0
188255.0,1875.0
110320.0,6398.48
140106.0,0.0
88793.0,748.91
117891.0,0.0
78341.0,9585.35
68386.0,5060.14
89378.0,590.0
100076.0,7665.32
75193.0,0.0
112238.0,865.65
98370.0,1331.31
70181.0,5054.29
136065.0,0.0
68027.0,4547.85
77637.0,165.0
67899.0,7927.8
77637.0,0.0
89378.0,11758.74
