total_ot_paid,payroll_number
0.0,67
385.73,67
0.0,67
35149.99,67
0.0,67
0.0,67
0.0,67
267.13,67
12637.36,67
131.7,67
0.0,67
0.0,67
0.0,67
0.0,67
0.0,67
0.0,67
7856.74,67
0.0,67
4260.95,67
6269.84,67
0.0,67
0.0,67
0.0,67
853.59,67
9815.02,67
4134.24,67
407.4,67
0.0,67
0.0,67
26084.76,67
0.0,67
0.0,67
0.0,67
4623.65,67
0.0,67
577.68,67
0.0,67
7298.84,67
0.0,67
0.0,67
9053.59,67
0.0,67
2613.4,67
0.0,67
4160.64,67
0.0,67
35751.24,67
13.18,67
0.0,67
0.0,67
816.16,67
22011.57,67
1277.31,67
0.0,67
5193.44,67
0.0,67
0.0,67
85.18,67
0.0,67
0.0,67
0.0,67
0.0,67
0.0,67
4924.79,67
0.0,67
348.18,67
0.0,67
0.0,67
0.0,67
47898.9,67
0.0,67
0.0,67
0.0,67
0.0,67
0.0,67
0.0,67
5332.45,67
5157.42,67
0.0,67
3883.95,67
0.0,67
1398.21,67
0.0,67
1140.41,67
0.0,67
0.0,67
36265.3,67
143.97,67
26427.96,67
7469.35,67
0.0,67
0.0,67
0.0,67
6325.11,67
0.0,67
0.0,67
0.0,67
31528.67,67
0.0,67
0.0,67
0.0,67
0.0,67
13897.86,67
458.15,67
27306.88,67
28000.31,67
7.39,67
0.0,67
0.0,67
0.0,67
0.0,67
1770.63,67
0.0,67
55483.07,67
0.0,67
0.0,67
0.0,67
0.0,67
16431.7,67
0.0,67
9010.77,67
6546.69,67
11023.85,67
0.0,67
0.0,67
0.0,67
0.0,67
0.0,67
0.0,67
55.47,67
0.0,67
0.0,67
0.0,67
0.0,67
5367.73,67
34416.09,67
2262.24,67
1910.35,67
0.0,67
0.0,67
0.0,67
3348.96,67
0.0,67
30283.5,67
0.0,67
0.0,67
0.0,67
10493.13,67
0.0,67
0.0,67
366.68,67
0.0,67
0.0,67
0.0,67
0.0,67
10623.84,67
0.0,67
0.0,67
11032.97,67
0.0,67
0.0,67
36920.03,67
40345.94,67
0.0,67
0.0,67
0.0,67
0.0,67
0.0,67
0.0,67
0.0,67
0.0,67
1874.7,67
5566.85,67
0.0,67
4978.92,67
0.0,67
0.0,67
0.0,67
286.38,67
0.0,67
0.0,67
0.0,67
0.0,67
0.0,67
0.0,67
0.0,67
6111.41,67
1701.93,67
0.0,67
0.0,67
0.0,67
3899.73,67
0.0,67
79.92,67
0.0,67
0.0,67
0.0,67
13366.11,67
0.0,67
5845.29,67
