address,effective_date,council_district,bic_number,bbl
540 KINGSLAND AVENUE,2024-04-01,33.0,BIC-4006,3025170035.0
1444 E. LACKAWANNA AVENUE SUITE 216,2025-01-01,,BIC-490942,
PO BOX 1144,2024-10-01,,BIC-513789,
240 CROSS BAY BLVD,2024-05-01,32.0,BIC-3669,4153750048.0
168 DELAVAN AVE,2024-08-01,,BIC-509639,
2250 PILOT KNOB ROAD,2025-05-01,,BIC-2693,
1923 EAST 23RD STREET,2024-12-01,48.0,BIC-498460,3073020079.0
232 EAST 84TH STREET,2023-09-01,5.0,BIC-2030,1015290033.0
2358 NATIONAL DR.,2024-04-01,46.0,BIC-513096,3085920065.0
116 SKYLINE DRIVE,2024-03-01,,BIC-487602,
56 LAFAYETTE STREET,2025-06-01,51.0,BIC-512188,5080310035.0
2006 BOGART AVENUE,2025-06-01,13.0,BIC-3048,2042960013.0
45-42 PEARSON STREET,2025-10-01,26.0,BIC-2088,4000850047.0
28 TURF ROAD,2025-02-01,50.0,BIC-499035,5023980129.0
669 PARK AVE,2023-12-01,36.0,BIC-3021,3017300167.0
320 ROEBLING STREET #312,2025-02-01,34.0,BIC-498759,3021390025.0
25 DOCK STREET,2024-07-01,,BIC-513076,
529 SPLIT ROCK ROAD,2024-07-01,,BIC-1383,
180 MEISTER BOULEVARD,2025-11-01,,BIC-493160,
120 CHURCH STREET,2024-06-01,,BIC-2361,
P.O. BOX 212,2025-09-01,,BIC-135,
3000 BURNS AVENUE,2025-03-01,,BIC-1283,
45-7 KNICKERBOCKER AVENUE,2024-01-01,,BIC-506630,
113 EDISON AVENUE,2025-01-01,,BIC-498094,
1 EDEN LANE,2025-09-01,,BIC-4358,
152 SKILLMAN STREET #5,2024-08-01,33.0,BIC-513056,3019137509.0
17 STEPHEN PL,2025-08-01,,BIC-515520,
15 ORCHARD TERRACE,2024-10-01,,BIC-491031,
107 GEORGIA AVENUE,2024-02-01,37.0,BIC-503953,3036850001.0
101 EAST 123RD STREET,2025-02-01,9.0,BIC-499033,1017720001.0
P.O. BOX 320358,2025-05-01,,BIC-269,
"17 BAYLISS STREET, FLOOR 1",2025-11-01,,BIC-514872,
265 NEW JERSEY AVENUE,2025-11-01,,BIC-493984,
312 VIRGINIA AVE,2024-02-01,49.0,BIC-3054,5029910053.0
PO BOX 130,2024-04-01,,BIC-2766,
515 MILLER STREET,2024-03-01,,BIC-4065,
928 E HAZELWOOD AVENUE,2024-11-01,,BIC-490497,
24 GAFFNEY STREET,2024-04-01,,BIC-513127,
P.O. BOX 185,2024-09-01,,BIC-3846,
1305 ROLLER ROAD,2023-11-01,,BIC-512336,
65 EMERSON PLACE,2025-09-01,35.0,BIC-22,3018950022.0
409 RIVER ROAD SUITE #1,2025-07-01,,BIC-255,
899 SHEFFIELD AVENUE,2024-11-01,42.0,BIC-505257,3043680043.0
P.O.BOX. 722,2024-03-01,,BIC-512983,
