authorized_recycling_collection_type,city,census_tract,application_type
Source-Separated recycling,BROOKLYN,579.0,License
Source-Separated recycling,OLYPHANT,,License
Source-Separated recycling,MARBLEHEAD,,License
Source-Separated recycling,BROAD CHANNEL,107201.0,License
Source-Separated recycling,NEWARK,,License
Source-Separated recycling,MENDOTA HEIGHTS,,License
Source-Separated recycling,BROOKLYN,562.0,License
Source-Separated recycling,NEW YORK,138.0,License
Source-Separated recycling,BROOKLYN,70201.0,License
Source-Separated recycling,SOUTH PLAINFIELD,,License
Source-Separated recycling,STATEN ISLAND,248.0,License
Co-collection of recyclables,BRONX,246.0,License
Source-Separated recycling,LONG ISLAND CITY,19.0,License
Source-Separated recycling,STATEN ISLAND,27704.0,License
Source-Separated recycling,BROOKLYN,257.0,License
Source-Separated recycling,BROOKLYN,525.0,License
Source-Separated recycling,MOUNT VERNON,,License
Source-Separated recycling,SYOSSET,,License
Source-Separated recycling,FREEPORT,,License
Source-Separated recycling,FREEPORT,,License
Source-Separated recycling,ELMWOOD PK,,License
Source-Separated recycling,WANTAGH,,License
Source-Separated recycling,BOHEMIA,,License
Source-Separated recycling,MOUNT VERNON,,License
Source-Separated recycling,FLANDERS,,License
Source-Separated recycling,BROOKLYN,235.0,License
Source-Separated recycling,VALLEY STREAM,,License
Source-Separated recycling,MONROE,,License
Source-Separated recycling,BROOKLYN,1198.0,License
Source-Separated recycling,NEW YORK,196.0,License
Co-collection of recyclables,BROOKLYN,,License
Source-Separated recycling,NORTH ARLINGTON,,License
Source-Separated recycling,BAY SHORE,,License
Source-Separated recycling,STATEN ISLAND,36.0,License
Source-Separated recycling,KEASBEY,,License
Source-Separated recycling,PERTH AMBOY,,License
Source-Separated recycling,RAHWAY,,License
Source-Separated recycling,GLEN COVE,,License
Source-Separated recycling,KEASBEY,,License
Source-Separated recycling,OCEAN,,License
Co-collection of recyclables,BROOKLYN,191.0,License
Source-Separated recycling,CLIFTON,,License
Source-Separated recycling,BROOKLYN,1104.0,License
Source-Separated recycling,NUTLEY,,License
Single-stream collection and recycling,ELIZABETH,,License
Source-Separated recycling,FLUSHING,869.0,License
Source-Separated recycling,STATEN ISLAND,27.0,License
Source-Separated recycling,LONG BEACH,,License
Source-Separated recycling,FLUSHING,1175.0,License
Single-stream collection and recycling,ASTORIA,85.0,License
Source-Separated recycling,BROOKLYN,53.0,License
Source-Separated recycling,STATEN ISLAND,20801.0,License
Source-Separated recycling,ELMHURST,469.0,License
Source-Separated recycling,ASTORIA,115.0,License
Source-Separated recycling,PATERSON,,License
Source-Separated recycling,MASPETH,205.0,License
Source-Separated recycling,BROOKLYN,579.0,License
