bin,account_name,postcode,boro,state,phone
3348300.0,ALLOCCO RECYCLING LTD.,11222,BROOKLYN,NY,(718) 349-3094
,"BIOYORK, LLC",18447,,PA,(570) 416-2700
,"LIFECYCLE RENEWABLES, INC.",01945,,MA,888-461-9831
4315088.0,"THE CESSPOOL MAN, INC.",11693,QUEENS,NY,(718) 945-6262
,AMD CONTRACTING LLC,07104,,NJ,(973) 641-0091
,"RESTAURANT TECHNOLOGIES, INC.",55120,,MN,(651) 796-1600
3197263.0,"BIG APPLE JUNK REMOVAL, INC.",11229,BROOKLYN,NY,(800) 505-9521
1048714.0,"THE DOE FUND, INC.",10028,MANHATTAN,NY,646-672-4456
3242437.0,JUNK REMOVALS R US INC.,11234,BROOKLYN,NY,718-500-2293
,"PSC INDUSTRIAL OUTSOURCING, LP",07080,,NJ,(908) 364-6019
5156049.0,RPM CARTING INC.,10307,STATEN IS,NY,929-284-5068
2048914.0,ANTHONY RUBBISH REMOVAL INC.,10462,BRONX,NY,(917) 742-3385
4000718.0,PRESTIGE INDUSTRY CORP.,11101,QUEENS,NY,(718) 609-0111
5039620.0,1 TAKE ALL CORP,10314,STATEN IS,NY,(646) 725-5024
3335562.0,MYBEM CORP.,11206,BROOKLYN,NY,(718) 384-4846
3059630.0,PM CLEANING AND RECYCLING INC,11211,BROOKLYN,NY,(929) 250-2411
,APPROVED SHREDDING LLC,10550,,NY,914-512-1563
,"INDEPENDENCE CARTING, INC.",11791,,NY,(516) 682-9283
,"SKYLINE TRANSFER STATION, LLC",11520,,NY,(516) 442-1242
,"SHRED SERVICES, INC.",11520,,NY,(718) 875-1200
,"OMNI WASTE SERVICES, INC.",07407,,NJ,(973) 279-0003
,NORTH STAR INDUSTRIES INC.,11793,,NY,(516) 876-0404
,GREEN ISLAND GROUP CORP.,11716,,NY,(631) 256-5711
,MKNAB LLC,10550,,NY,(914) 494-8470
,"VEOLIA ES TECHNICAL SOLUTIONS, L.L.C.",07836,,NJ,(973) 691-7321
3387707.0,CENTRAL PAVEMENT INC.,11205,BROOKLYN,NY,929-232-1763
,CAMPBELL JUNK REMOVAL LLC,11580,,NY,(929) 342-7911
,INTEGRITY GENERAL CONTRACTORS INC.,10950,,NY,(646) 479-8792
3326723.0,ENVIROGREEN SOLUTIONS INC.,11207,BROOKLYN,NY,(718) 495-4747
1089527.0,"EASTSIDE FLOOR SUPPLIES, LTD.",10035,MANHATTAN,NY,(212) 426-8500
,JOE'S WASTE PAPER CORP.,11232,,NY,(718) 369-1312
,F + L RECYCLING LLC,07031,,NJ,8622491109
,ROGERS GREEN CORP,11706,,NY,(631) 299-9906
5122865.0,JUST RUBBISH REMOVAL LLC,10305,STATEN IS,NY,(646) 371-2167
,"RUSSELL REID WASTE HAULING AND DISPOSAL SERVICE CO., INC.",08832,,NJ,(732) 225-2238
,SHRED UP INC.,08861,,NJ,(718) 234-1313
,"ACV ENVIRONMENTAL SERVICES, INC.",07065,,NJ,(732) 375-9988
,"SUPERSCRAP, INC.",11542,,NY,347-937-8737
,"OILMATIC SYSTEMS, L.L.C.",08832,,NJ,(732) 324-9890
,"DORADO ENVIRONMENTAL, INC.",07712,,NJ,732-598-1058
3334730.0,CUTTING ROOM RECYCLING CORP.,11205,BROOKLYN,NY,(718) 622-1786
,"CLASSIC DEMOLITION COMPANY, INC.",07014,,NJ,(973) 777-0600
3000000.0,"DB CONTRACTING SERVICES, INC",11207,BROOKLYN,NY,(917) 682-3534
,TRADEMARK WASTE SOLUTIONS LLC,07110,,NJ,9736615142
,CENTURY WASTE SERVICES L.L.C.,07201,,NJ,(908) 558-9540
4438023.0,DNO EQUIPMENT AND DEVELOPMENT INC.,11354,QUEENS,NY,718-961-3700
5114407.0,I.F.M CONTRACTING INC.,10304,STATEN IS,NY,(718) 788-3479
,SALCO INDUSTRIES INC.,11561-4745,,NY,(516) 578-6032
4119819.0,TIAN TIAN JUNK REMOVAL INC.,11358,QUEENS,NY,(917) 981-8833
4003901.0,# 1 WASTE & RECYCLER INC.,11106,QUEENS,NY,(718) 287-0490
3008529.0,"STREETPLUS COMPANY, LLC",11231,BROOKLYN,NY,718-222-4549
5086602.0,JUNK HEROES LLC,10309,STATEN IS,NY,347-620-0900
4038902.0,LIAVIV CONSTRUCTION CORP,11373,QUEENS,NY,(347) 567-8276
4017050.0,VARDARIS TECH INC.,11105,QUEENS,NY,718-729-3210
,L & Y ENTERPRISES LLC,07505,,NJ,609-270-7989
4058824.0,SCIENTIFIC ENVIRONMENTAL LLC,11378,QUEENS,NY,718-433-3880
3336610.0,"K M A INDUSTRIES, INC.",11222,BROOKLYN,NY,(347) 809-3601
,CITY-WIDE SEWER & DRAIN SERVICE CORP.,11514,,NY,(718) 846-6766
5000000.0,"WEST SHORE TRUCKING, INC.",10303,STATEN IS,NY,(718) 273-0657
,GREEN GRID US LLC,11790,,NY,(718) 209-0909
,"ACCELERATED WASTE SYSTEMS, INC.",07096,,NJ,(201) 863-1063
,"PERFETTO ENTERPRISES CO., INC.",10302,STATEN IS,NY,(718) 442-4212
,"JEG, INC.",07603,,NJ,(201) 567-6391 /92
3070559.0,"SHER-DEL TRANSFER & RELOCATION SERVICES, INC.",11237,BROOKLYN,NY,718-599-3400
4169405.0,GREEN BAY SANITATION CORP.,11363,QUEENS,NY,(718) 428-1939
,R.A. FONTANILLAS LLC,11421,,NY,(646) 203-1037
,ROYAL WASTE SERVICES INC.,11433,QUEENS,NY,(718) 526-2623
3394075.0,KLEEN IT INC.,11219,BROOKLYN,NY,917-708-3242
2072470.0,COPPOLA PAVING & LANDSCAPING CORP.,10475,BRONX,NY,(718) 325-8815
,"COMMERCIAL DISTRICT SERVICES, LLC",07003,,NJ,(201) 918-2426
,"INNOVATIVE RECYCLING TECHNOLOGIES, INC.",11757,,NY,(631) 225-3044
,"S&M TIRE RECYCLING, INC.",11520,,NY,(516) 223-2010
3059907.0,RUSH RUBBISH LLC,11211,BROOKLYN,NY,929-288-9188
2014759.0,P & P OIL WASTE SERVICES LLC,10468,BRONX,NY,(718) 300-8708
4311876.0,"LUG LIFE, LLC",11106,QUEENS,NY,(212) 982-1284
,CROWN WASTE CORP,11714,,NY,(516) 827-5060
5134533.0,"FAZTEC INDUSTRIES, INC.",10303,STATEN IS,NY,(718) 494-1600
4089201.0,MRT BWR CORP,11385,QUEENS,NY,718-821-9706
1005262.0,C. MCCORMACK INC.,10009,MANHATTAN,NY,(212) 674-2750
,"HHJR CONSTRUCTION, LTD",11553,,NY,516-623-9555
3326822.0,WORKING AND LEARNING TOGETHER ELECTRONICS RECYCLING INC.,11207,BROOKLYN,NY,347-854-9623
,J & R RENDERING INC.,07093,,NJ,(201) 868-3081
1014414.0,RAPID RUBBISH LLC,10001,MANHATTAN,NY,(212) 782-2474
,"CSK ENERGY GROUP, INC.",07031,,NJ,(855) 228-6684
,"EMERGI-CLEAN, INC.",08822,,NJ,(908) 598-0980
4000000.0,BASIN HAULAGE INC.,11378,QUEENS,NY,(718) 366-6513
,KEY CONTAINER SERVICE INC.,11757,,NY,(516) 489-3708
,"CITIWASTE, LLC",77054,,TX,(718) 372-3887
4029191.0,G.G. REPAIRS & MAINTENANCE CORP.,11372,QUEENS,NY,(718) 639-0646
,APPROVED STORAGE AND WASTE HAULING INC,10550,,NY,(914) 664-4791
,"I W T TRANSPORT, INC.",07436,,NJ,(201) 644-0485
3076906.0,VDJ NEW YORK RECYCLING CORP.,11237,BROOKLYN,NY,(347) 357-0052
4218157.0,KNR MANAGEMENT INC,11433,QUEENS,NY,9176559436
3423685.0,BE GREEN TRUCKING LLC,11211,BROOKLYN,NY,(718) 366-4017
,PRIORITY FIRST CARTING INC.,10306,,NY,(347) 848-7845
5110987.0,VIBEZ TRUCKING INC.,10303,STATEN IS,NY,7185684644
4619248.0,J & N DOLCINIUM INC,11357,QUEENS,NY,3479879617
2119017.0,K & P WASTE DISPOSAL SERVICES INC,10466,BRONX,NY,(646) 535-3476
,"ORGANIX RECYCLING, LLC",72801,,AR,(708) 326-3900
,"FREEDOM WASTE & RECYCLING, INC.",11050,,NY,(516) 523-1242
,TLC HAULING INC,11764,,NY,(631) 300-0556
2048807.0,ANM CONSTRUCTION CORP.,10462,BRONX,NY,718-883-9133
5150131.0,"GAETA INTERIOR DEMOLITION, INC.",10309,STATEN IS,NY,(718) 448-3000
,"MONMORE OF NEW YORK, INC",10550,,NY,914-359-0068
,"RECYCLE TRACK SYSTEMS NYC, LLC",10006,,NY,(646) 762-8882
5016551.0,NY HILL RESTORATION INC.,10301,STATEN IS,NY,(718) 273-1824
,DARLING INGREDIENTS INC.,07105,,NJ,(973) 465-1900
4045019.0,CITYWIDE CONTAINER SERVICE CORP.,11368,QUEENS,NY,(718) 599-9087
5005190.0,MILLENNIUM RECYCLING CORP.,10302,STATEN IS,NY,(718) 448-3147
,D. DANIELS CONTRACTING LTD.,11096-1612,,NY,(516) 239-2067
4439111.0,P K REMODELING INC.,11101,QUEENS,NY,917-744-3138
