hh_id,vehicle_num,home_park
19758350,1,1
19347391,1,1
19587370,1,995
19465721,1,1
192434956,1,1
19083001,1,1
19423506,1,2
19619289,1,995
19788783,1,1
19046088,1,1
19794960,1,995
19804422,1,1
193988968,1,1
19763844,1,995
19647515,1,1
19563851,1,995
19352431,3,995
19643084,1,1
19731287,1,995
19029865,1,995
19915209,1,5
194220775,1,4
19156090,1,1
19539413,1,995
19907006,1,1
19205125,1,1
19417003,1,1
19849037,1,995
19981904,1,1
19295945,1,1
19793505,1,2
19317602,1,1
195706059,1,3
19745584,1,995
19823601,1,1
19896624,1,2
19352431,1,1
19244739,1,1
19745584,2,995
19397074,2,995
19805319,1,1
19446843,1,2
19317602,2,995
19893289,1,1
19030447,1,1
19219335,1,995
191546322,1,1
19352431,2,995
19046088,2,995
19328953,1,1
19963148,1,4
19506927,1,1
19954405,1,1
19870533,1,4
19092041,1,3
19711706,1,1
19025330,1,1
19457250,1,4
19193138,2,995
19271525,1,995
19701029,1,2
19391837,1,1
19891929,1,995
19184618,1,995
19472712,1,1
19041670,1,1
