pub_dt,ref_yr,ind,unit,value
20200416,2020,Information,Thousands of Jobs,207.852
20200416,2021,Government,Thousands of Jobs,590.904
20210114,2019,Wholesale & Retail Trade,Thousands of Jobs,485.2
20200116,2019,Construction,Thousands of Jobs,159.453
20200116,2018,Transportation & Utilities,Thousands of Jobs,141.108
20210114,2020,Health & Social Services,Thousands of Jobs,771.1
20200416,2020,Leisure & Hospitality,Thousands of Jobs,355.745
20220216,2020,Health & Social Services,Thousands of Jobs,769.6
20200416,2019,Health & Social Services,Thousands of Jobs,799.448
20200116,2018,Education,Thousands of Jobs,255.108
20210426,2022,Private,Thousands of Jobs,3987.7
20200116,2020,Health & Social Services,Thousands of Jobs,806.49
20210114,2019,Private,Thousands of Jobs,4063.4
20210426,2021,Securities,Thousands of Jobs,189.1
20210114,2019,Government,Thousands of Jobs,588.0
20210426,2021,Government,Thousands of Jobs,590.7
20210114,2019,Information,Thousands of Jobs,211.2
20200416,2020,Manufacturing,Thousands of Jobs,48.666
20220216,2020,Other Services,Thousands of Jobs,158.1
20210114,2020,Private,Thousands of Jobs,3564.7
20210426,2020,Education,Thousands of Jobs,234.8
20210114,2020,Education,Thousands of Jobs,231.8
20210114,2020,Transportation & Utilities,Thousands of Jobs,120.4
20200416,2021,Information,Thousands of Jobs,209.39
20200416,2021,Education,Thousands of Jobs,240.842
20200116,2020,Other Services,Thousands of Jobs,200.357
20200416,2019,Construction,Thousands of Jobs,160.233
20210114,2019,Education,Thousands of Jobs,255.6
20210426,2020,Health & Social Services,Thousands of Jobs,769.6
20200416,2021,Total,Thousands of Jobs,4518.163
20200416,2021,Manufacturing,Thousands of Jobs,46.553
20210114,2020,Other Services,Thousands of Jobs,165.5
20200416,2020,Government,Thousands of Jobs,590.984
20210426,2022,Leisure & Hospitality,Thousands of Jobs,394.5
20210426,2020,Financial Activities,Thousands of Jobs,469.8
20210426,2022,Transportation & Utilities,Thousands of Jobs,147.7
20210426,2022,Professional & Business Services,Thousands of Jobs,824.8
20200116,2018,Private,Thousands of Jobs,3963.017
20210114,2021,Private,Thousands of Jobs,3745.1
20210426,2020,Information,Thousands of Jobs,206.8
20220216,2021,Professional & Business Services,Thousands of Jobs,716.1
20220216,2021,Financial Activities,Thousands of Jobs,459.3
20200116,2020,Total,Thousands of Jobs,4695.972
20200116,2020,Information,Thousands of Jobs,210.492
20200116,2020,Securities,Thousands of Jobs,182.081
20220216,2020,Government,Thousands of Jobs,588.0
20200116,2018,Other Services,Thousands of Jobs,193.1
20210114,2021,Financial Activities,Thousands of Jobs,466.3
20220216,2020,Construction,Thousands of Jobs,138.0
20210426,2022,Total,Thousands of Jobs,4577.3
20210426,2022,Government,Thousands of Jobs,593.9
20210426,2021,Health & Social Services,Thousands of Jobs,789.1
20210426,2020,Private,Thousands of Jobs,3545.5
20210114,2021,Government,Thousands of Jobs,578.9
20200116,2020,Professional & Business Services,Thousands of Jobs,801.55
20210114,2021,Wholesale & Retail Trade,Thousands of Jobs,449.3
20210426,2021,Information,Thousands of Jobs,210.8
20200416,2019,Information,Thousands of Jobs,211.89
20210114,2019,Leisure & Hospitality,Thousands of Jobs,466.2
20200416,2019,Leisure & Hospitality,Thousands of Jobs,466.889
20200416,2020,Financial Activities,Thousands of Jobs,459.956
20200416,2021,Financial Activities,Thousands of Jobs,471.12
20210426,2021,Construction,Thousands of Jobs,145.1
20210114,2019,Other Services,Thousands of Jobs,194.7
20200116,2018,Construction,Thousands of Jobs,157.825
20200416,2019,Transportation & Utilities,Thousands of Jobs,147.669
20200416,2019,Manufacturing,Thousands of Jobs,67.275
20220216,2020,Financial Activities,Thousands of Jobs,469.8
20200116,2020,Wholesale & Retail Trade,Thousands of Jobs,496.79
20220216,2020,Securities,Thousands of Jobs,179.9
