borough,supervision_closing_type,month,year,supervision_closing_count
Citywide,Advocate Intervene Mentor,December,2020,13
Citywide,Adjournment in Contemplation of Dismissal,July,2021,5
Citywide,Every Child Has An Opportunity To Excel And Succeed,June,2022,0
Citywide,Enhanced Supervision Program,October,2020,7
Citywide,General Supervision,December,2019,40
Citywide,Adjournment in Contemplation of Dismissal,June,2020,12
Citywide,Enhanced Supervision Program,November,2024,34
Citywide,General Supervision,October,2019,63
Citywide,Adjournment in Contemplation of Dismissal,February,2021,6
Citywide,Adjournment in Contemplation of Dismissal,September,2020,9
Citywide,General Supervision,May,2021,18
Citywide,Juvenile Justice Initiative,November,2021,1
Citywide,Every Child Has An Opportunity To Excel And Succeed,October,2019,0
Citywide,Enhanced Supervision Program,April,2022,10
Citywide,General Supervision,February,2021,41
Citywide,Advocate Intervene Mentor,July,2020,1
Citywide,Adjournment in Contemplation of Dismissal,February,2020,14
Citywide,Advocate Intervene Mentor,February,2021,1
Citywide,Adjournment in Contemplation of Dismissal,May,2020,13
Citywide,General Supervision,April,2022,19
Citywide,Adjournment in Contemplation of Dismissal,January,2020,16
Citywide,Every Child Has An Opportunity To Excel And Succeed,November,2024,1
Citywide,Every Child Has An Opportunity To Excel And Succeed,January,2020,0
Citywide,Adjournment in Contemplation of Dismissal,August,2021,4
Citywide,Adjournment in Contemplation of Dismissal,April,2021,7
Citywide,Every Child Has An Opportunity To Excel And Succeed,October,2020,0
Citywide,Juvenile Justice Initiative,July,2021,5
Citywide,Juvenile Justice Initiative,August,2021,6
Citywide,General Supervision,November,2019,52
Citywide,Juvenile Justice Initiative,December,2021,1
Citywide,Enhanced Supervision Program,February,2022,6
Citywide,General Supervision,October,2020,32
Citywide,Adjournment in Contemplation of Dismissal,November,2020,5
Citywide,General Supervision,September,2021,24
Citywide,Advocate Intervene Mentor,October,2020,3
Citywide,Advocate Intervene Mentor,October,2019,3
Citywide,Enhanced Supervision Program,November,2020,5
Citywide,Juvenile Justice Initiative,March,2020,7
Citywide,Juvenile Justice Initiative,June,2020,1
Citywide,Adjournment in Contemplation of Dismissal,June,2021,6
Citywide,Advocate Intervene Mentor,April,2020,0
Citywide,Juvenile Justice Initiative,May,2022,3
Citywide,Juvenile Justice Initiative,June,2022,1
Citywide,Every Child Has An Opportunity To Excel And Succeed,May,2021,0
Citywide,General Supervision,May,2020,29
Citywide,Advocate Intervene Mentor,June,2020,0
Citywide,Every Child Has An Opportunity To Excel And Succeed,March,2021,3
Citywide,Adjournment in Contemplation of Dismissal,December,2021,4
Citywide,Enhanced Supervision Program,December,2021,11
Citywide,Advocate Intervene Mentor,November,2021,1
Citywide,General Supervision,April,2021,23
Citywide,Every Child Has An Opportunity To Excel And Succeed,May,2022,1
Citywide,Juvenile Justice Initiative,September,2021,0
Citywide,Enhanced Supervision Program,June,2022,6
Citywide,Juvenile Justice Initiative,July,2020,7
Citywide,Enhanced Supervision Program,March,2020,5
Citywide,General Supervision,February,2022,19
Citywide,Adjournment in Contemplation of Dismissal,December,2020,3
Citywide,Juvenile Justice Initiative,November,2020,4
Citywide,Juvenile Justice Initiative,December,2019,9
