borocode,taxblock
3,319
3,319
3,1886
3,2235
4,413
3,1899
3,2223
3,2264
3,1886
4,4060
4,264
3,2264
3,2264
4,263
3,2264
3,2263
3,2264
3,319
3,1734
3,1734
3,1900
4,414
3,2264
4,4060
3,2264
1,1105
3,319
3,1715
3,319
4,263
3,3154
3,1900
3,1734
3,1900
3,1734
3,1899
3,1734
3,1715
3,1734
3,1715
3,319
3,1900
3,2262
4,413
1,1105
1,1105
3,2264
3,1734
3,319
3,1900
3,2264
3,2264
3,1715
3,1900
3,1899
3,1715
3,2240
3,319
4,413
3,1899
3,1899
4,264
3,1899
3,2235
3,319
3,2262
3,2263
3,1734
3,1715
3,1734
3,2262
3,2235
4,264
3,319
3,1899
3,319
3,319
3,319
3,1715
3,2223
3,1734
3,319
4,4060
3,319
3,2248
3,1900
3,1900
3,2264
3,2263
3,319
3,319
3,2264
3,2264
3,319
3,2235
3,2264
3,319
3,1900
3,1715
3,2240
3,2235
3,2223
3,1715
3,2264
3,1715
3,2235
3,319
3,2264
3,1899
3,1900
3,2262
3,319
3,2240
3,1734
3,1900
3,2262
3,319
3,319
3,3154
4,4060
3,1899
3,3164
3,1900
3,2264
3,319
3,1899
4,414
3,1734
3,3157
4,414
3,2264
3,2235
3,1886
3,319
4,413
3,319
3,319
3,1899
3,2264
3,319
3,1899
4,4060
3,1715
4,413
3,319
3,1900
3,1900
1,1105
4,264
3,1734
3,319
3,319
3,2263
3,1900
3,2262
3,319
3,2239
4,4060
3,319
3,319
3,2262
3,3154
3,319
3,1900
3,1886
3,2235
3,1715
4,4060
3,2235
3,1900
3,2262
3,319
3,1900
3,2264
3,2223
3,1900
3,1734
3,1900
3,1899
3,1715
3,319
3,319
3,319
3,2264
3,3154
3,319
3,2262
3,1900
3,2264
3,319
4,4060
3,1715
3,319
3,1734
3,2264
3,319
3,319
3,1734
3,1734
3,1734
