race,borough,concurrent_hiv_aids_among_all,hiv_aids_concurrent_num
Black,Bronx,50.0,1.0
All,Brooklyn,11.8,2.0
All,Bronx,7.5,3.0
White,Bronx,,0.0
Other/Unknown,Brooklyn,,0.0
Latino/Hispanic,All,20.0,102.0
Other/Unknown,Brooklyn,0.0,0.0
All,Brooklyn,25.0,1.0
White,Bronx,,0.0
Other/Unknown,Bronx,,0.0
"Asian/Pacific
Islander",Bronx,,0.0
"Asian/Pacific
Islander",Bronx,,0.0
Other/Unknown,All,25.0,1.0
All,Bronx,20.0,2.0
All,Bronx,23.2,13.0
Latino/Hispanic,Brooklyn,13.3,2.0
All,Brooklyn,17.8,13.0
"Asian/Pacific
Islander",Brooklyn,,0.0
Black,Bronx,42.9,6.0
"Asian/Pacific
Islander",Brooklyn,22.7,5.0
Latino/Hispanic,Bronx,0.0,0.0
All,Bronx,25.0,10.0
Other/Unknown,Bronx,,0.0
White,All,20.0,4.0
Latino/Hispanic,Brooklyn,20.0,3.0
Latino/Hispanic,Brooklyn,0.0,0.0
Latino/Hispanic,Bronx,30.0,3.0
Latino/Hispanic,Bronx,10.5,2.0
White,Bronx,0.0,0.0
Other/Unknown,Bronx,,0.0
"Asian/Pacific
Islander",Bronx,,0.0
"Asian/Pacific
Islander",Bronx,,0.0
White,Bronx,,0.0
"Asian/Pacific
Islander",All,28.0,23.0
Other/Unknown,All,26.3,5.0
Other/Unknown,Bronx,,0.0
Black,Bronx,0.0,0.0
Other/Unknown,Bronx,,0.0
"Asian/Pacific
Islander",Bronx,,0.0
Black,All,18.4,129.0
Other/Unknown,Bronx,,0.0
"Asian/Pacific
Islander",Bronx,66.7,4.0
Other/Unknown,Bronx,,0.0
White,Brooklyn,0.0,0.0
All,All,18.8,245.0
Other/Unknown,Bronx,,0.0
Black,Brooklyn,22.2,2.0
Black,Bronx,50.0,1.0
"Asian/Pacific
Islander",Bronx,,
"Asian/Pacific
Islander",Bronx,100.0,1.0
Black,Bronx,17.6,3.0
White,Bronx,0.0,0.0
All,Bronx,18.9,70.0
Latino/Hispanic,All,17.9,15.0
Other/Unknown,Bronx,,0.0
All,Bronx,0.0,0.0
Latino/Hispanic,Bronx,9.1,1.0
White,Bronx,0.0,0.0
"Asian/Pacific
Islander",Bronx,100.0,1.0
White,Bronx,0.0,0.0
Latino/Hispanic,Bronx,9.4,3.0
All,Bronx,28.6,14.0
All,Bronx,12.5,2.0
All,Bronx,24.6,16.0
Other/Unknown,All,26.7,4.0
All,Bronx,16.0,12.0
Other/Unknown,Bronx,,0.0
Latino/Hispanic,Bronx,10.0,2.0
"Asian/Pacific
Islander",Bronx,0.0,0.0
"Asian/Pacific
Islander",Brooklyn,33.3,1.0
Black,Bronx,42.9,6.0
Latino/Hispanic,Bronx,50.0,1.0
"Asian/Pacific
Islander",Bronx,0.0,0.0
Black,Bronx,17.6,18.0
All,Bronx,18.0,51.0
Other/Unknown,Bronx,,0.0
White,Bronx,33.3,1.0
Black,All,21.9,37.0
White,Bronx,,0.0
Other/Unknown,Bronx,,0.0
Black,Brooklyn,18.4,9.0
Latino/Hispanic,Bronx,21.9,7.0
Latino/Hispanic,Bronx,0.0,0.0
Latino/Hispanic,Bronx,9.5,2.0
Latino/Hispanic,Brooklyn,26.0,20.0
White,Bronx,16.7,2.0
Latino/Hispanic,Bronx,14.3,6.0
Other/Unknown,Bronx,0.0,0.0
Latino/Hispanic,Bronx,0.0,0.0
Latino/Hispanic,Bronx,0.0,0.0
Latino/Hispanic,Bronx,12.5,1.0
All,Bronx,22.9,16.0
