sex
Male
Female
Male
Female
Female
Male
Female
Female
Female
Female
Female
Female
Female
Female
Male
Female
Female
Female
Female
Male
Male
Male
All
Female
Male
Female
Female
Male
Female
Female
Female
Male
Male
Male
All
Female
Male
Male
Female
All
Female
Male
Female
Female
Male
Male
Female
All
Male
All
Male
Female
All
Female
All
Female
All
Female
Male
All
Male
Male
Female
All
Male
All
Female
Male
Male
Female
Male
Female
All
Male
Male
Male
All
Female
Male
All
Female
Female
Female
All
Male
Male
All
Male
Female
All
Male
All
Female
Female
Female
All
Female
Male
Male
Male
Male
Male
All
All
Male
All
Female
Male
Female
Female
Male
Male
All
All
All
Male
All
Male
All
Male
All
Male
Female
Male
Male
Female
All
All
Female
Female
Male
All
All
Female
All
Male
All
Male
Male
All
All
Female
All
All
Male
Female
All
Male
All
Male
All
All
All
Female
Female
All
All
Female
Female
All
All
Female
All
All
All
Female
All
All
Male
All
Female
All
Male
Male
All
Female
Male
All
Female
All
All
Female
All
Male
Female
Female
All
All
Male
Male
Male
All
Male
Male
All
All
Female
All
All
All
