neighborhood,aids_diagnoses_num,hiv_diagnoses_num
"Kingsbridge -
Riverdale",2.0,2.0
"Bedford Stuyvesant -
Crown Heights",15.0,17.0
"Hunts Point - Mott
Haven",24.0,40.0
Northeast Bronx,0.0,0.0
"Bedford Stuyvesant -
Crown Heights",0.0,0.0
All,302.0,509.0
All,0.0,1.0
"Bensonhurst - Bay
Ridge",1.0,4.0
"High Bridge -
Morrisania",0.0,0.0
"High Bridge -
Morrisania",0.0,0.0
"Kingsbridge -
Riverdale",0.0,0.0
"Pelham - Throgs
Neck",0.0,0.0
All,4.0,4.0
"Pelham - Throgs
Neck",10.0,10.0
"Fordham - Bronx
Park",52.0,56.0
All,13.0,15.0
All,71.0,73.0
"Bedford Stuyvesant -
Crown Heights",0.0,0.0
Northeast Bronx,8.0,14.0
All,5.0,22.0
"Kingsbridge -
Riverdale",0.0,8.0
"Pelham - Throgs
Neck",27.0,40.0
"High Bridge -
Morrisania",1.0,0.0
All,13.0,20.0
"Bedford Stuyvesant -
Crown Heights",6.0,15.0
"Bedford Stuyvesant -
Crown Heights",2.0,7.0
Crotona - Tremont,5.0,10.0
"Hunts Point - Mott
Haven",13.0,19.0
"Hunts Point - Mott
Haven",1.0,1.0
Crotona - Tremont,0.0,0.0
"Fordham - Bronx
Park",0.0,0.0
"Kingsbridge -
Riverdale",0.0,0.0
"Kingsbridge -
Riverdale",1.0,0.0
All,37.0,82.0
All,15.0,19.0
"Kingsbridge -
Riverdale",0.0,0.0
"Hunts Point - Mott
Haven",8.0,15.0
Crotona - Tremont,1.0,0.0
Northeast Bronx,0.0,0.0
All,511.0,702.0
Northeast Bronx,0.0,0.0
All,5.0,6.0
"Hunts Point - Mott
Haven",0.0,0.0
"Bedford Stuyvesant -
Crown Heights",0.0,1.0
All,793.0,1306.0
"Pelham - Throgs
Neck",0.0,0.0
"Bedford Stuyvesant -
Crown Heights",13.0,9.0
"Kingsbridge -
Riverdale",5.0,2.0
"Hunts Point - Mott
Haven",,
Crotona - Tremont,1.0,1.0
"Fordham - Bronx
Park",21.0,17.0
Crotona - Tremont,2.0,1.0
All,296.0,371.0
All,67.0,84.0
"Fordham - Bronx
Park",0.0,0.0
"Kingsbridge -
Riverdale",4.0,2.0
Northeast Bronx,7.0,11.0
"Fordham - Bronx
Park",0.0,1.0
"Fordham - Bronx
Park",2.0,1.0
"High Bridge -
Morrisania",1.0,1.0
Crotona - Tremont,25.0,32.0
"High Bridge -
Morrisania",33.0,49.0
"High Bridge -
Morrisania",12.0,16.0
"High Bridge -
Morrisania",45.0,65.0
All,11.0,15.0
Crotona - Tremont,74.0,75.0
"Fordham - Bronx
Park",0.0,0.0
"Pelham - Throgs
Neck",9.0,20.0
Northeast Bronx,0.0,1.0
All,1.0,3.0
"Pelham - Throgs
Neck",16.0,14.0
"Pelham - Throgs
Neck",5.0,2.0
Northeast Bronx,0.0,1.0
All,98.0,102.0
All,210.0,284.0
"Fordham - Bronx
Park",0.0,0.0
Crotona - Tremont,6.0,3.0
All,169.0,169.0
"Fordham - Bronx
Park",2.0,0.0
"Kingsbridge -
Riverdale",0.0,0.0
All,54.0,49.0
All,27.0,32.0
"Hunts Point - Mott
Haven",3.0,2.0
"Hunts Point - Mott
Haven",16.0,21.0
All,44.0,77.0
All,11.0,12.0
Crotona - Tremont,30.0,42.0
"Hunts Point - Mott
Haven",0.0,
Northeast Bronx,3.0,3.0
"Kingsbridge -
Riverdale",1.0,10.0
Northeast Bronx,4.0,8.0
"Fordham - Bronx
Park",68.0,70.0
"Kingsbridge -
Riverdale",3.0,0.0
Crotona - Tremont,0.0,0.0
"Fordham - Bronx
Park",4.0,6.0
"Pelham - Throgs
Neck",1.0,2.0
"Kingsbridge -
Riverdale",1.0,2.0
All,17.0,42.0
All,342.0,533.0
"Bedford Stuyvesant -
Crown Heights",1.0,3.0
All,175.0,343.0
"Bedford Stuyvesant -
Crown Heights",5.0,6.0
"Hunts Point - Mott
Haven",1.0,1.0
All,57.0,92.0
"High Bridge -
Morrisania",1.0,0.0
All,14.0,15.0
"Hunts Point - Mott
Haven",11.0,6.0
Northeast Bronx,19.0,36.0
All,86.0,87.0
