borocode,street_name,council_district,census_tract,bldg_class
1,ALLEN STREET,1.0,16.0,H3
1,SPRING STREET,3.0,37.0,RH
1,SPRING STREET,3.0,37.0,RH
1,SPRING STREET,3.0,37.0,RH
1,3 AVENUE,2.0,38.0,H8
1,SPRING STREET,3.0,37.0,RH
1,SPRING STREET,3.0,37.0,RH
1,JOHN STREET,1.0,1502.0,HS
1,LUDLOW STREET,1.0,3001.0,H2
1,PEARL STREET,1.0,1502.0,H2
1,SPRING STREET,3.0,37.0,RH
1,ORCHARD STREET,1.0,3001.0,RH
1,NASSAU STREET,1.0,1502.0,H2
1,SPRING STREET,3.0,37.0,RH
1,WEST BROADWAY,1.0,21.0,RH
1,SPRING STREET,3.0,37.0,RH
1,COOPER SQUARE,2.0,38.0,H8
1,BOWERY,1.0,16.0,HR
1,STONE STREET,1.0,9.0,H2
1,BEEKMAN STREET,1.0,1501.0,RH
1,GOLD STREET,1.0,1502.0,HB
1,RIVINGTON STREET,1.0,18.0,H3
1,SPRING STREET,3.0,37.0,RH
1,RIVINGTON STREET,1.0,18.0,H1
1,FULTON STREET,1.0,1502.0,H8
1,SPRING STREET,3.0,37.0,RH
1,WATER STREET,1.0,9.0,H2
1,LUDLOW STREET,1.0,18.0,RH
1,GRAND STREET,1.0,45.0,H3
1,KENMARE STREET,1.0,41.0,H3
1,SPRING STREET,3.0,37.0,RH
1,TRINITY PLACE,1.0,13.0,HB
1,CANAL STREET,1.0,16.0,H3
1,BOWERY,1.0,41.0,H3
1,WILLIAM STREET,1.0,1502.0,HS
1,PARK PLACE,1.0,21.0,RH
1,3 AVENUE,2.0,38.0,H8
1,DIVISION STREET,1.0,8.0,H3
1,CANAL STREET,1.0,33.0,H1
1,BROADWAY,1.0,31.0,H3
1,SPRING STREET,3.0,37.0,RH
1,SPRING STREET,3.0,37.0,RH
1,ALLEN STREET,1.0,18.0,HB
1,SPRING STREET,3.0,37.0,RH
1,GREENWICH STREET,1.0,39.0,H1
1,SPRING STREET,3.0,37.0,RH
1,WASHINGTON STREET,1.0,13.0,H2
1,SPRING STREET,3.0,37.0,RH
1,CANAL STREET,1.0,16.0,RH
1,FRONT STREET,1.0,1502.0,H2
1,SPRING STREET,3.0,37.0,RH
1,SPRING STREET,3.0,37.0,RH
1,GRAND STREET,1.0,47.0,HB
1,SPRING STREET,3.0,37.0,RH
