postcode,bbl
10011,1005720045.0
10005,1000400016.0
10038,1000720007.0
10038,1001070038.0
10013,1004700050.0
10013,1002020023.0
10013,1004917503.0
10013,1004917503.0
10003,1004610003.0
10013,1004917503.0
10013,1004917503.0
10013,1004917503.0
10013,1004917503.0
10013,1004917503.0
10002,1004150067.0
10013,1004917503.0
10007,1001450012.0
10013,1004710055.0
10013,1004917503.0
10002,1004230008.0
10002,1002820023.0
10006,1000530037.0
10002,1003040016.0
10013,1002090019.0
10003,1004670001.0
10005,1000390041.0
10013,1004917503.0
10005,1000370008.0
10038,1001060017.0
10013,1004917503.0
10013,1001640009.0
10002,1004110041.0
10038,1000927501.0
10013,1004917503.0
10002,1004180036.0
10002,1004277507.0
10013,1004917503.0
10013,1004917503.0
10002,1004097501.0
10003,1004620018.0
10006,1000530002.0
10013,1004917503.0
10002,1003480036.0
10002,1004220047.0
10006,1000550016.0
10013,1004770068.0
10013,1004917503.0
10013,1004917503.0
10004,1000080039.0
10006,1000530038.0
10038,1000647502.0
10002,1004260017.0
10013,1004810001.0
10005,1000417504.0
10003,1004510039.0
10013,1002390020.0
10013,1004917503.0
10004,1000100033.0
10013,1002390029.0
10013,1004917503.0
10005,1000417504.0
10038,1000780011.0
10002,
10038,1000907503.0
10005,1000317501.0
10007,1000800004.0
10004,1000167513.0
10013,1004917503.0
10038,1000690030.0
10013,1001950007.0
10002,1003060029.0
10003,1004570009.0
10006,1000537502.0
10004,1000290043.0
10005,1000390038.0
10013,1004917503.0
10002,1003030015.0
10013,1004730017.0
10013,1004917503.0
10013,1002090024.0
10003,1004630007.0
10013,1004917503.0
10013,1002330002.0
10013,1004917503.0
10013,1004917503.0
10013,1004917503.0
10013,1004917503.0
10013,1004917503.0
10013,1004917503.0
10013,1001720020.0
10013,1004917503.0
10002,1004150077.0
10013,1004917503.0
10013,1004917503.0
10013,1004917503.0
10038,1000650024.0
10013,1004917503.0
10013,1004917503.0
10013,1004917503.0
10003,1004580006.0
10013,1004917503.0
10013,1004917503.0
10013,1004917503.0
10013,1004917503.0
10282,1000167512.0
10038,1000890003.0
10013,1002120045.0
10013,1004917503.0
10002,1003030025.0
10013,1004917503.0
10002,1004170011.0
10002,1004160058.0
10013,1004917503.0
10002,1002740024.0
10038,1002790015.0
10013,1004917503.0
10013,1004917503.0
10038,1000927501.0
10005,1000410015.0
10013,1001460023.0
10013,1004917503.0
10038,1000657502.0
10038,1000927501.0
10013,1004917503.0
10002,1004097501.0
10002,1002820031.0
10013,1004917503.0
10013,1001910001.0
10013,1004917503.0
10013,1004917503.0
10013,1004917503.0
10002,1004177501.0
10013,1002270028.0
10012,1004880003.0
10005,1000370013.0
10002,1004250004.0
10013,1004917503.0
10002,1002940007.0
10006,1000520008.0
10013,1004917503.0
10013,1002030017.0
10013,1001960024.0
10013,1004917503.0
10038,1000920014.0
10013,1004917503.0
10013,1004917503.0
10002,1002930019.0
10013,1004917503.0
10013,1004917503.0
10013,1004917503.0
10003,1004640006.0
10013,1004917503.0
10013,1004917503.0
10038,1000790010.0
10002,1004120048.0
10038,1000690001.0
10013,1004917503.0
10002,1004127501.0
10038,1000640001.0
10013,1004917503.0
10007,1001367505.0
10013,1004917503.0
10003,1004610006.0
10002,1003040004.0
10004,1000110029.0
10038,1000907503.0
10038,1000680028.0
10002,1004250023.0
10013,1004917503.0
10002,1004100048.0
10038,1000780020.0
10013,1004917503.0
10004,1000080051.0
10002,1004107501.0
10013,1002340011.0
10012,1004790029.0
10013,1004917503.0
10006,1000190024.0
10002,1003030035.0
10013,1004700053.0
10038,1000680016.0
10007,1001237502.0
10003,1004650001.0
10002,1002820080.0
10013,1002110029.0
10013,1001960009.0
10013,1004917503.0
10013,1004917503.0
10002,1004130041.0
10013,1004917503.0
10013,1001870016.0
10013,1004917503.0
10006,1000560001.0
10013,1004917503.0
10002,1002927502.0
10038,1000720012.0
10013,1004917503.0
10013,1004917503.0
10013,1002270052.0
10013,1004917503.0
