year,personal_income_total,other_taxes,general_sales,total_taxes,financial_corporation,unincorporated_business_income
2020,"13,776,124,959","1,748,876,949","7,385,023,929","63,089,671,878","82,902,210","2,053,212,342"
1982,"1,159,410,467","590,667,296","1,414,855,439","8,206,672,842","204,914,820","123,344,627"
2016,"11,392,472,933","1,589,396,358","7,166,843,265","53,620,648,929","689,535,134","2,111,643,297"
2010,"7,592,656,736","1,383,130,134","5,076,371,075","37,200,972,405","1,145,164,756","1,591,918,980"
1984,"1,546,639,083","540,695,459","1,686,320,154","9,529,519,524","172,088,941","169,311,705"
2007,"8,647,777,385","1,278,493,008","4,644,538,885","37,841,862,169","1,387,976,925","1,731,579,192"
1990,"2,537,563,634","773,905,359","2,431,218,941","15,014,820,756","195,718,517","356,500,238"
2015,"11,294,668,667","1,600,221,424","6,755,971,058","51,941,340,820","1,658,179,166","2,064,595,528"
2000,"5,611,710,247","946,897,472","3,525,609,617","22,229,305,887","434,121,290","832,768,579"
1983,"1,331,014,364","592,341,295","1,514,818,755","8,706,447,516","106,574,386","145,010,432"
2013,"9,814,898,044","1,517,821,773","6,149,880,182","45,721,783,424","1,467,472,261","1,894,020,944"
2004,"6,068,475,214","1,127,033,204","4,042,486,189","28,143,954,164","502,305,799","975,704,675"
1998,"5,152,935,858","906,006,113","3,069,378,220","20,378,520,489","577,701,577","696,287,667"
1992,"3,233,005,792","820,406,117","2,277,821,789","17,048,943,997","401,438,730","365,917,756"
1988,"2,088,472,557","671,763,879","2,222,942,087","13,271,161,572","332,983,939","315,341,026"
2014,"10,173,613,557","1,554,942,142","6,508,813,954","48,375,410,993","1,352,349,337","1,954,137,624"
2019,"13,555,342,688","1,707,289,103","7,839,527,447","61,493,500,402","(1,282,663)","2,123,979,693"
2017,"11,257,809,363","1,673,169,252","7,034,093,674","54,662,405,259","435,658,184","2,079,048,044"
2001,"6,164,515,542","903,098,763","3,678,734,495","23,177,134,021","469,126,133","859,805,189"
2003,"5,029,748,705","1,013,901,709","3,550,673,303","23,340,478,893","324,173,217","888,126,057"
2005,"7,200,059,891","1,218,492,592","4,375,119,119","30,865,636,217","651,479,769","1,155,678,120"
2009,"7,657,176,339","1,356,459,513","4,614,926,014","35,872,574,713","1,398,491,249","1,825,642,267"
2002,"5,005,605,628","880,437,866","3,373,354,384","21,696,229,705","366,919,875","829,117,805"
1986,"1,815,595,083","626,414,874","1,908,646,223","11,194,582,129","206,913,252","245,111,052"
2008,"9,927,965,385","1,324,318,360","4,890,737,750","38,600,529,741","690,830,347","1,891,657,444"
1981,"1,018,517,570","693,571,753","1,311,348,075","7,649,311,674","244,450,768","124,340,057"
1999,"5,527,827,015","892,938,651","3,204,138,379","21,258,255,807","499,411,895","687,470,044"
1997,"4,377,183,533","885,705,784","2,937,083,067","19,267,627,956","459,606,381","606,801,826"
2018,"13,411,314,750","1,662,946,727","7,460,489,693","59,103,947,447","394,858,132","2,269,383,550"
1994,"3,555,641,395","813,643,880","2,503,646,147","18,114,578,262","683,195,939","407,635,356"
1987,"2,163,167,712","693,214,635","2,044,385,886","12,677,256,743","307,378,758","301,864,664"
1993,"3,474,090,799","814,074,259","2,402,242,735","17,620,856,955","435,332,297","424,971,128"
1996,"3,919,554,941","910,435,333","2,742,206,403","18,114,092,926","503,721,847","516,925,805"
1989,"2,445,157,741","660,091,813","2,329,942,431","14,353,026,949","285,399,320","355,803,261"
2012,"8,557,002,486","1,487,386,386","5,826,046,428","42,111,386,757","1,421,401,218","1,688,318,382"
1995,"3,601,526,628","778,468,234","2,620,932,433","17,685,240,084","394,829,608","411,507,815"
2011,"8,165,972,421","1,471,404,522","5,610,243,143","40,349,804,963","1,519,449,638","1,733,426,322"
1985,"1,739,857,715","616,086,220","1,827,790,570","10,538,139,764","252,350,916","204,188,386"
1991,"2,798,160,103","700,089,980","2,353,759,183","15,856,640,792","256,290,154","370,318,321"
2006,"8,025,813,058","1,272,346,073","4,439,362,371","34,211,187,302","925,028,663","1,366,344,755"
1980,"879,294,718","632,364,786","1,142,245,558","6,959,452,005","190,221,506","97,673,358"
