year,property,less_transfers_to_debt_service_funds_and_adjustments,conveyance_of_real_property
2015,"21,517,932,115",- 0,"1,772,193,490"
1997,"7,290,685,393",- 0,"219,612,156"
1989,"5,942,929,260",- 0,"206,896,262"
2000,"7,849,962,352","(247,113,000)","486,835,321"
1996,"7,100,360,301",- 0,"180,055,377"
2017,"24,679,411,855",- 0,"1,418,683,372"
2020,"29,815,934,908",,"1,140,135,691"
2007,"13,122,811,801","(684,607,000)","1,726,232,218"
1994,"7,773,321,765",- 0,"154,032,898"
1985,"4,226,553,559",- 0,"146,955,308"
1991,"7,250,978,708",- 0,"147,156,558"
1988,"5,382,369,234",- 0,"215,653,684"
1983,"3,787,433,131",- 0,"69,584,143"
1993,"7,886,255,800",- 0,"141,622,935"
1995,"7,473,579,658",- 0,"172,656,011"
1981,"3,298,090,087",- 0,"41,935,087"
1984,"3,957,174,165",- 0,"106,809,812"
2009,"14,487,231,342","(138,273,000)","746,522,113"
2016,"23,180,583,271",- 0,"1,788,182,063"
2003,"10,062,929,841","(536,802,000)","518,699,708"
2004,"11,582,327,784","(55,895,000)","775,553,934"
1982,"3,602,818,189",- 0,"59,904,190"
2019,"27,884,735,333",- 0,"1,563,387,866"
1987,"4,975,553,942",- 0,"245,339,898"
2002,"8,760,872,526","(450,547,000)","428,994,884"
2010,"16,369,446,933",- 0,"616,156,839"
1990,"6,542,588,550",- 0,"215,213,310"
1986,"4,599,771,274",- 0,"151,053,789"
2014,"20,202,022,324",- 0,"1,530,167,012"
2012,"18,157,722,065",- 0,"917,652,538"
2001,"8,245,584,830","(407,442,000)","479,707,796"
1999,"7,630,673,246","(138,229,000)","427,918,205"
1980,"3,196,210,196",- 0,"36,484,219"
2006,"12,636,355,144","(350,000,000)","1,305,501,520"
1998,"7,239,192,544","(16,109,000)","290,689,023"
2011,"17,086,483,859",- 0,"798,976,883"
1992,"7,817,785,170",- 0,"130,659,120"
2005,"11,615,938,541","(543,726,000)","1,062,326,390"
2013,"18,969,610,477",- 0,"1,096,431,375"
2018,"26,407,629,785",- 0,"1,426,868,991"
2008,"13,203,929,932","(163,756,000)","1,416,913,219"
