personal_income_total,personal_income_general_fund_revenue,general_corporation
"2,537,563,634","2,537,563,634","1,122,943,444"
"879,294,718","879,294,718","532,872,360"
"13,555,342,688","13,555,342,688","4,728,618,916"
"5,152,935,858","5,136,826,858","1,827,403,429"
"8,647,777,385","7,963,170,385","3,874,665,480"
"5,611,710,247","5,364,597,247","2,008,777,678"
"13,776,124,959","13,776,124,959","5,170,058,310"
"1,331,014,364","1,331,014,364","767,192,865"
"2,088,472,557","2,088,472,557","1,256,200,401"
"1,739,857,715","1,739,857,715","957,341,748"
"9,927,965,385","9,764,209,385","3,710,120,750"
"13,411,314,750","13,411,314,750","4,101,887,263"
"3,555,641,395","3,555,641,395","1,386,319,494"
"2,798,160,103","2,798,160,103","1,125,372,671"
"3,919,554,941","3,919,554,941","1,518,633,812"
"5,527,827,015","5,389,598,015","1,752,268,693"
"5,005,605,628","4,555,058,628","1,621,437,799"
"1,546,639,083","1,546,639,083","851,489,807"
"8,557,002,486","8,557,002,486","2,845,794,035"
"3,601,526,628","3,601,526,628","1,363,778,327"
"10,173,613,557","10,173,613,557","3,367,327,429"
"1,815,595,083","1,815,595,083","984,988,230"
"7,657,176,339","7,518,903,339","2,806,049,641"
"11,257,809,363","11,257,809,363","4,045,397,707"
"2,163,167,712","2,163,167,712","1,168,961,840"
"1,159,410,467","1,159,410,467","698,357,206"
"8,165,972,421","8,165,972,421","2,898,759,839"
"7,200,059,891","6,656,333,891","2,403,987,967"
"11,294,668,667","11,294,668,667","3,335,916,960"
"11,392,472,933","11,392,472,933","3,631,440,865"
"6,164,515,542","5,757,073,542","1,977,712,725"
"9,814,898,044","9,814,898,044","3,348,349,186"
"4,377,183,533","4,377,183,533","1,858,608,755"
"6,068,475,214","6,012,580,214","1,840,392,438"
"1,018,517,570","1,018,517,570","637,347,744"
"2,445,157,741","2,445,157,741","1,262,672,228"
"7,592,656,736","7,592,656,736","2,441,559,500"
"5,029,748,705","4,492,946,705","1,533,806,668"
"3,233,005,792","3,233,005,792","1,173,782,306"
"3,474,090,799","3,474,090,799","1,220,676,793"
"8,025,813,058","7,675,813,058","2,738,480,637"
