personal_income_general_fund_revenue
"1,546,639,083"
"13,411,314,750"
"6,656,333,891"
"11,392,472,933"
"8,557,002,486"
"8,165,972,421"
"5,364,597,247"
"4,377,183,533"
"879,294,718"
"2,088,472,557"
"13,555,342,688"
"2,798,160,103"
"1,815,595,083"
"7,518,903,339"
"3,919,554,941"
"13,776,124,959"
"10,173,613,557"
"11,257,809,363"
"5,389,598,015"
"11,294,668,667"
"4,555,058,628"
"1,018,517,570"
"3,555,641,395"
"5,136,826,858"
"9,764,209,385"
"1,159,410,467"
"2,537,563,634"
"7,675,813,058"
"5,757,073,542"
"2,445,157,741"
"2,163,167,712"
"3,474,090,799"
"3,601,526,628"
"1,739,857,715"
"3,233,005,792"
"9,814,898,044"
"1,331,014,364"
"4,492,946,705"
"7,963,170,385"
"6,012,580,214"
"7,592,656,736"
