summons_number,issue_date,reduction_amount,violation,amount_due,state
1452472063,11/21/2018,23.0,NO STANDING-DAY/TIME LIMITS,0.0,NY
8151062873,09/28/2016,0.22,NO STANDING-BUS STOP,0.0,NY
5093532721,09/16/2016,0.02,FAILURE TO STOP AT RED LIGHT,0.0,NY
7031867058,06/25/2016,0.16,FAIL TO DSPLY MUNI METER RECPT,0.0,NY
8119500878,07/05/2016,0.0,NO PARKING-DAY/TIME LIMITS,0.0,NY
7768373819,04/11/2016,0.09,FAIL TO DSPLY MUNI METER RECPT,0.0,NY
5093530487,09/22/2016,0.07,FAILURE TO STOP AT RED LIGHT,0.0,OH
7031866182,06/22/2016,0.02,FAIL TO DSPLY MUNI METER RECPT,0.0,NY
8108508101,02/05/2017,0.0,CROSSWALK,0.0,NY
4636446781,08/09/2017,0.09,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
1452471988,11/16/2018,33.0,DOUBLE PARKING-MIDTOWN COMML,0.0,NY
4639356791,11/03/2017,0.0,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
8622998411,05/17/2019,40.0,NO PARKING-STREET CLEANING,0.0,NJ
8286521651,06/13/2016,0.0,NO STANDING-DAY/TIME LIMITS,0.0,PA
1452472075,11/20/2018,23.0,NO STANDING-DAY/TIME LIMITS,0.0,NY
8328524491,08/05/2016,0.3,INSP. STICKER-EXPIRED/MISSING,0.0,NY
8119063247,07/30/2016,0.0,NO STANDING-COMM METER ZONE,0.0,NJ
4647471998,09/05/2018,0.0,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
8622990709,03/28/2019,20.0,NO PARKING-STREET CLEANING,0.0,NY
4725925718,03/16/2021,0.0,PHTO SCHOOL ZN SPEED VIOLATION,0.0,FL
8214005267,03/31/2016,60.06,NO PARKING-EXC. AUTH. VEHICLE,0.0,NY
7883806269,10/14/2009,,,,NY
7031868154,06/29/2016,0.03,NO PARKING-DAY/TIME LIMITS,0.0,PA
8286522783,06/17/2016,0.0,NO STANDING-BUS STOP,0.0,NY
8108508198,02/05/2017,115.0,NO STANDING-DAY/TIME LIMITS,0.0,NC
8286521924,06/14/2016,115.0,NO STANDING-DAY/TIME LIMITS,0.0,NJ
1447587870,02/01/2019,0.0,OBSTRUCTING DRIVEWAY,0.0,NY
1447588472,02/01/2019,0.0,INSP. STICKER-EXPIRED/MISSING,0.0,NY
7883808631,10/30/2009,,,,NJ
4639356614,11/03/2017,0.0,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
1419828587,01/27/2017,0.4,FRONT OR BACK PLATE MISSING,0.0,NY
8162545311,07/23/2016,0.0,NO PARKING-STREET CLEANING,0.0,NY
7840916144,07/25/2015,,,,IN
4639356470,11/03/2017,0.0,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
4639356316,11/03/2017,0.11,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
8752736684,08/30/2019,0.0,NO PARKING-DAY/TIME LIMITS,0.0,NY
7373254184,12/02/2016,0.0,NO STANDING-EXC. TRUCK LOADING,0.0,NY
8752765349,08/28/2019,0.0,FAIL TO DSPLY MUNI METER RECPT,0.0,NY
1452472130,11/16/2018,0.0,DOUBLE PARKING-MIDTOWN COMML,0.0,NY
1447588484,02/01/2019,0.0,INSP. STICKER-EXPIRED/MISSING,0.0,NY
8214008402,04/21/2016,0.0,NO PARKING-STREET CLEANING,0.0,NY
8752756907,06/21/2019,0.0,FRONT OR BACK PLATE MISSING,0.0,NY
5103115580,07/29/2018,0.0,FAILURE TO STOP AT RED LIGHT,0.0,NY
7768370995,03/23/2016,51.61,EXPIRED MUNI METER,0.0,NJ
4639356651,11/03/2017,0.0,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
5103115542,07/29/2018,0.0,FAILURE TO STOP AT RED LIGHT,0.0,NY
8286522874,06/17/2016,115.0,DOUBLE PARKING,0.0,NY
8119500910,07/05/2016,10.0,NO STANDING-DAY/TIME LIMITS,0.0,NY
8214009777,04/26/2016,0.0,NO PARKING-STREET CLEANING,0.0,NY
1439877476,07/24/2018,0.03,NO PARKING-STREET CLEANING,0.0,NY
1448258704,01/15/2019,95.0,OBSTRUCTING DRIVEWAY,0.0,NY
8328526785,08/20/2016,0.0,FAIL TO DSPLY MUNI METER RECPT,0.0,NY
8119062978,07/30/2016,0.0,FIRE HYDRANT,0.0,NY
8072029976,10/28/2016,0.0,EXPIRED MUNI METER,0.0,PA
8123038434,10/04/2016,0.0,PLTFRM LFTS LWRD POS COMM VEH,0.0,NJ
7840916028,07/25/2015,,,,MI
4639356687,11/03/2017,0.04,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
4639357000,11/03/2017,0.0,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
7840914718,07/14/2015,,,,NY
7840915735,07/24/2015,,,,WI
4636445971,08/09/2017,0.0,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
4639356559,11/03/2017,0.13,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
5080594135,05/21/2014,0.07,FAILURE TO STOP AT RED LIGHT,0.0,NY
8221506205,02/18/2016,45.0,EXPIRED MUNI METER,0.0,NJ
4644236354,03/27/2018,0.0,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
4639357370,11/03/2017,0.0,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
4639356961,11/03/2017,0.0,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
7883804893,10/06/2009,,,,NY
7031866972,06/25/2016,0.03,NO PARKING-DAY/TIME LIMITS,0.0,NY
1447587807,02/03/2019,0.0,NO STANDING-DAY/TIME LIMITS,0.0,NY
7031866534,06/23/2016,0.12,FAIL TO DSPLY MUNI METER RECPT,0.0,NY
7883804662,10/02/2009,,,,NJ
8119063211,07/30/2016,0.0,NO PARKING-DAY/TIME LIMITS,0.0,NJ
4639357011,11/03/2017,0.0,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
4639357163,11/03/2017,0.02,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
8119063181,07/30/2016,0.0,NO STANDING-COMM METER ZONE,0.0,NY
8622947452,01/28/2019,0.18,NO PARKING-STREET CLEANING,0.0,NY
8281073950,02/24/2017,0.0,NO STANDING-BUS STOP,0.0,NY
1452472051,11/21/2018,23.0,NO STANDING-DAY/TIME LIMITS,0.0,NY
8123039360,10/08/2016,23.0,NO STANDING-DAY/TIME LIMITS,0.0,NY
8108508381,02/06/2017,0.0,NO STANDING-EXC. TRUCK LOADING,0.0,CT
8484382140,08/01/2017,0.17,NO STANDING-COMM METER ZONE,0.0,NY
8286521833,06/13/2016,10.0,NO STANDING-BUS STOP,0.0,NY
8622998691,05/20/2019,25.0,FAIL TO DSPLY MUNI METER RECPT,0.0,NY
8108508228,02/05/2017,115.0,NO STANDING-TAXI STAND,0.0,NY
8123037016,09/27/2016,0.0,NO STANDING-DAY/TIME LIMITS,0.0,NY
8123039530,10/08/2016,0.0,NO PARKING-STREET CLEANING,0.0,KY
1448258856,11/20/2018,95.0,OBSTRUCTING DRIVEWAY,0.0,NY
1419828575,01/27/2017,0.22,FRONT OR BACK PLATE MISSING,0.0,NY
8244508607,02/03/2016,0.07,NO PARKING-STREET CLEANING,0.0,NY
8214005589,04/06/2016,0.0,INSP. STICKER-EXPIRED/MISSING,0.0,NY
7840914860,07/14/2015,,,,VA
1448259277,01/24/2019,0.0,OBSTRUCTING DRIVEWAY,0.0,99
7840914664,07/14/2015,,,,GA
8602945723,06/01/2019,0.0,INSP. STICKER-EXPIRED/MISSING,0.0,NY
4647471809,09/05/2018,0.0,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NJ
7883793731,07/10/2009,,,,NJ
8162545372,07/26/2016,0.0,NO PARKING-STREET CLEANING,0.0,NY
4639357126,11/03/2017,0.07,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
8070074747,07/16/2016,0.0,NO STANDING-EXC. TRUCK LOADING,0.0,NY
8108507169,01/28/2017,0.0,FIRE HYDRANT,0.0,NY
8070074796,07/16/2016,0.0,NO PARKING-STREET CLEANING,0.0,NY
8108507420,01/31/2017,23.0,NO STANDING-DAY/TIME LIMITS,0.0,NY
8123037650,09/30/2016,75.0,NO PARKING-STREET CLEANING,0.0,NY
8214013343,05/16/2016,0.0,NO PARKING-STREET CLEANING,0.0,GA
8119502279,07/27/2016,65.0,EXPIRED MUNI METER,0.0,NY
8729075002,06/12/2019,10.0,SIDEWALK,0.0,MD
8119500751,07/05/2016,0.0,NO STANDING-DAY/TIME LIMITS,0.0,NY
8752766329,08/31/2019,0.0,DOUBLE PARKING,0.0,NY
8286523350,06/20/2016,115.0,DOUBLE PARKING-MIDTOWN COMML,0.0,NY
8070074711,07/16/2016,0.0,NO PARKING-STREET CLEANING,0.0,NY
8108507388,01/30/2017,33.0,DOUBLE PARKING-MIDTOWN COMML,0.0,NY
8286520051,06/06/2016,115.0,COMML PLATES-UNALTERED VEHICLE,0.0,NY
8214007677,04/18/2016,0.0,NO PARKING-STREET CLEANING,0.0,NY
4639357310,11/03/2017,0.0,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
1452472210,11/20/2018,15.0,DOUBLE PARKING-MIDTOWN COMML,0.0,NY
4647929772,09/20/2018,0.0,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
4639356250,11/03/2017,0.04,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
