summons_image,violation_status,plate,county,judgment_entry_date,fine_amount
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVVMXFhelJPYWxreFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY,YARY015,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQk0wMUVRVE5PUkdNd1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEA2157,NY,,95.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wTk0wMTZTVEZPUkVsNVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY,HEB5998,NY,,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VMXFZekpPVkUwd1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HZF3434,Q,,35.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk5FMVVRVE5PUkZsNFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HBB2329,K,,45.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVFOVVWWGROYWtrelQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-NOT GUILTY,HCE6793,NY,,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmQwMXFVVFZQVkdONVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HVZ5454,BK,,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVFOVVRVEpOYW1zelQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING PENDING,FYN3059,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrOVVUVEZPYW1jelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,GVS8475,QN,01/25/2018,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVFOVVRVEpOZWxFeVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY REDUCTION,29389JV,NY,,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVFOVVRVEpOZWtsNFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING PENDING,U23EZY,NY,,65.0
