dbn,location_name,_01_principal,_01_removals,_08_superintendent,_03_expulsions,_06_removals,_12_superintendent,_06_superintendent,_08_expulsions,administrative_district,_09_superintendent,_03_principal,_02_superintendent,_11_expulsions,_12_removals,_11_superintendent,_08_principal,_02_expulsions
02M473,Washington Irving Yabc,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
02M126,P.S. 126 Jacob August Riis,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
02M394,Emma Lazarus High School,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
02M151,Yorkville Community School,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
02M489,High School of Economics and Finance,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
01M448,University Neighborhood High School,R,R,R,R,R,R,R,R,1,R,R,R,R,R,R,R,R
02M011,P.S. 011 William T. Harris,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
02M546,Academy for Software Engineering,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
03M185,P.S. 185 - The Early Childhood Discovery and Desig,R,R,R,R,R,R,R,R,3,R,R,R,R,R,R,R,R
03M087,P.S. 087 William Sherman,R,R,R,R,R,R,R,R,3,R,R,R,R,R,R,R,R
02M438,International High School at Union Square,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
03M417,Frank Mccourt High School,R,R,R,R,R,R,R,R,3,R,R,R,R,R,R,R,R
02M135,The Urban Assembly School for Emergency Management,R,R,R,R,R,R,R,R,2,6,R,R,R,R,R,R,R
02M459,Manhattan International High School,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
02M276,Battery Park City School,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
02M234,P.S. 234 Independence School,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
01M110,P.S. 110 Florence Nightingale,R,R,R,R,R,R,R,R,1,R,R,R,R,R,R,R,R
02M312,New York City Lab Middle School for Collaborative,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
02M896,Lower Manhattan Community Middle School,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,7,R
02M551,Urban Assembly New York Harbor School,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
02M575,Manhattan Comprehensive Night and Day High School,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
02M392,MANHATTAN BUSINESS ACADEMY,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
