location_name,_01_superintendent,_09_expulsions,_10_superintendent,_10_removals,_05_principal,_07_principal,_10_principal,_06_principal,_0k_superintendent,_07_superintendent,_0k_removals,_12_expulsions,_0k_expulsions,_04_expulsions,_09_removals,_08_removals,_05_removals,_04_superintendent
N.Y.C. Lab School for Collaborative Studies,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R
"Urban Assembly School for Media Studies, The",R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Union Square Academy for Health Sciences,R,R,9,R,R,R,16,R,R,R,R,R,R,R,R,R,R,R
P.S. 38 Roberto Clemente,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 040 Augustus Saint-Gaudens,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
M.S. 243 Center School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Yorkville East Middle School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Harvest Collegiate High School,R,R,R,R,R,R,14,R,R,R,R,R,R,R,R,R,R,R
The High School of Fashion Industries,R,R,R,R,R,R,12,R,R,R,R,R,R,R,R,R,R,R
West End Secondary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 084 Lillian Weber,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Murray Hill Academy,R,R,R,R,R,R,12,R,R,R,R,R,R,R,R,R,R,R
Satellite Academy High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Marta Valle High School,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R
Eleanor Roosevelt High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Manhattan / Hunter Science High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Tag Young Scholars,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
School of the Future High School,R,R,R,R,R,R,R,14,R,R,R,R,R,R,R,R,R,R
M.S. 250 West Side Collaborative Middle School,R,R,R,R,R,R,R,14,R,R,R,R,R,R,R,R,R,R
The East Village Community School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Tompkins Square Middle School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"Urban Assembly School of Design and Construction,",R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
J.H.S. 167 Robert F. Wagner,R,R,R,R,R,R,R,20,R,R,R,R,R,R,R,R,R,R
New Design High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 076 A. Philip Randolph,R,R,R,R,R,R,R,8,R,10,R,R,R,R,R,12,8,R
P.S. 009 Sarah Anderson,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 527 - East Side School for Social Action,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
M.S. 255 Salk School of Science,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
M.S. 256 Academic & Athletic Excellence,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,8,R,R
P.S. 198 Isador E. Ida Straus,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
47 The American Sign Language and English Secondar,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
School for Global Leaders,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Special Music School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Edward A. Reynolds West Side High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
District 2 Pre-K Center,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
High School of Hospitality Management,R,R,R,R,R,R,23,R,R,R,R,R,R,R,8,R,R,R
I.S. 289,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
STEM Institute of Manhattan,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
