dbn,_07_removals,_11_principal,_12_principal,_03_superintendent,_01_expulsions,_02_principal,_04_principal,_05_superintendent,location_category,sy1617_total_removals_suspensions,_07_expulsions,_02_removals,_05_expulsions,_09_principal,_0k_principal,_06_expulsions,_10_expulsions,_11_removals,_03_removals,_04_removals
02M442,R,R,R,R,R,R,R,R,K-8,0,R,R,R,R,R,R,R,R,R,R
04M007,R,R,R,R,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R
02M507,R,R,R,R,R,R,R,R,High school,25,R,R,R,R,R,R,R,R,R,R
02M340,R,R,R,R,R,R,R,R,Elementary,0,R,R,R,R,R,R,R,R,R,R
02M374,R,13,R,R,R,R,R,R,High school,67,R,R,R,13,R,R,R,R,R,R
02M397,R,R,R,R,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R
03M404,R,10,15,R,R,R,R,R,High school,44,R,R,R,R,R,R,R,R,R,R
03M402,R,15,19,R,R,R,R,R,High school,130,R,R,R,R,R,R,R,16,R,R
01M015,R,R,R,R,R,R,R,R,Elementary,0,R,R,R,R,R,R,R,R,R,R
02M288,R,R,R,R,R,R,R,R,High school,19,R,R,R,R,R,R,R,R,R,R
02M280,R,R,R,R,R,R,R,R,High school,74,R,R,R,R,R,R,R,R,R,R
02M111,R,R,R,R,R,R,R,R,Elementary,12,R,R,R,R,R,R,R,R,R,R
03M180,R,R,R,R,R,R,R,R,K-8,21,R,7,R,R,R,R,R,R,R,R
02M893,R,R,R,R,R,R,R,R,Junior High-Intermediate-Middle,0,R,R,R,R,R,R,R,R,R,R
03M860,R,34,13,R,R,R,R,R,Secondary School,160,R,R,R,55,R,R,R,R,R,R
03M145,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R
03M149,R,R,R,R,R,R,R,R,K-8,16,R,R,R,R,R,R,R,R,R,R
03M245,R,R,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R
03M452,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R
02M033,R,R,R,R,R,R,R,R,Elementary,12,R,R,R,R,R,R,R,R,R,R
02M972,R,R,R,R,R,R,R,R,Central-HQ-Citywide,0,R,R,R,R,R,R,R,R,R,R
01M292,R,R,R,R,R,R,R,R,High school,11,R,R,R,R,R,R,R,R,R,R
03M485,R,R,R,R,R,R,R,R,High school,18,R,R,R,R,R,R,R,R,R,R
02M439,R,R,R,R,R,R,R,R,High school,7,R,R,R,R,R,R,R,R,R,R
02M531,R,R,R,R,R,R,R,R,High school,23,R,R,R,R,R,R,R,R,R,R
02M217,R,R,R,R,R,R,R,R,K-8,31,R,R,R,R,R,R,R,R,R,R
02M425,R,19,R,R,R,R,R,R,High school,68,R,R,R,17,R,R,R,R,R,R
02M313,R,R,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R
02M393,R,11,R,R,R,R,R,R,High school,78,R,R,R,24,R,R,R,R,R,R
02M655,R,R,R,R,R,R,R,R,Secondary School,48,R,R,R,16,R,R,R,R,R,R
02M002,R,R,R,R,R,R,R,R,Elementary,8,R,R,R,R,R,R,R,R,R,R
02M407,R,R,R,R,R,R,R,R,Secondary School,R,R,R,R,R,R,R,R,R,R,R
02M089,R,R,R,R,R,R,R,R,Elementary,0,R,R,R,R,R,R,R,R,R,R
02M303,R,R,R,R,R,R,R,R,High school,40,R,R,R,15,R,R,R,R,R,R
03M165,11,R,R,R,R,R,R,R,K-8,63,R,R,R,R,R,R,R,R,R,R
03M421,6,R,R,R,R,R,R,R,Junior High-Intermediate-Middle,47,R,R,R,R,R,R,R,R,R,R
03M334,R,R,R,R,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R
