partner_name,data_description,website
SafeGraph,"Business listings, building footprints/polygons, and anonymized foot traffic data.",www.safegraph.com/
Urban Systems Lab,Survey results on access to parks and open space during the pandemic.,www.urbansystemslab.com/
Foursquare,Aggregated foot traffic data by neighborhood and specific types of businesses.,www.foursquare.com/
Metropolitan Museum of Art,Aggregated statistics on museum attendance and membership activities.,www.metmuseum.org/
LinkedIn,"LinkedIn Hiring Rate, a real-time measure of hiring activity based on LinkedIn members who add a new employer to their profile.",www.linkedin.com/
Mastercard,Mastercard Geographic insights - aggregated retail spending insights by industry and neighborhood.,https://www.mastercard.us/en-us.html
ioby,Descriptions of community-based crowdfunding projects and donation transactions.,www.ioby.org/
StreetEasy,Weekly real estate rental and sales metrics aggregated at the neighborhood level.,www.streeteasy.com/
Upsolve,Demographic information about New Yorkers signing up for personal bankruptcy services and why they are filing for bankruptcy.,www.upsolve.org/
LiveXYZ,"Directory of every storefront on every block in NYC, including historical tracking of turnover, vacancy, and changes to businesses captured in ground surveys from 2018 to present day.",https://www.livexyz.com/
SONYC,Hourly aggregated decibel data from 15 acoustic noise sensors deployed across NYC since late 2016.,wp.nyu.edu/sonyc/
OATS,"Sociodemographic information and the degree tech usage/fluency of OATS users, older adults seeking age-appropriate technology training.",www.oats.org/
Kinsa,Aggregated rates of illness and atypical illness from Kinsa smart thermometer readings.,www.kinsahealth.co/
BetaNYC,"Community-maintained directories of businesses and other essential services, their hours, and other details during the Covid-19 pandemic.",www.beta.nyc/products/open-maps/
Cuebiq,"Aggregated mobility and density insights, including visit trends to key points of interest and nationwide travel behavior.",www.cuebiq.com/
