partner_name,partner_start_date
SONYC,2020-10-01T00:00:00.000
StreetEasy,2020-07-23T00:00:00.000
LiveXYZ,2020-12-29T00:00:00.000
ioby,2020-07-23T00:00:00.000
Mastercard,2021-01-19T00:00:00.000
Urban Systems Lab,2020-07-23T00:00:00.000
Upsolve,2020-07-23T00:00:00.000
LinkedIn,2020-07-23T00:00:00.000
Metropolitan Museum of Art,2020-10-01T00:00:00.000
OATS,2020-07-23T00:00:00.000
BetaNYC,2020-07-23T00:00:00.000
Cuebiq,2020-07-23T00:00:00.000
Kinsa,2020-07-23T00:00:00.000
Foursquare,2020-07-23T00:00:00.000
SafeGraph,2020-07-23T00:00:00.000
