current_fy_projected_actual,current_fy_authorized_budget,agency_name,next_fy_authorized_budget
$41,$100,OFFICE OF CHIEF MEDICAL EXAMINER,$100
$62,$150,DEPARTMENT OF DESIGN & CONSTRUCTION,$150
$99.00,$99.60,DEPARTMENT OF PROBATION,$95.50
$16.50,$16.00,DEPARTMENT OF CITYWIDE ADMIN SERVICES,$16.10
$239,$239,311,$239
$17.50,$18.30,DEPARTMENT OF SANITATION,$17.60
$64.90,$54.10,NEW YORK CITY HOUSING AUTHORITY,$74.60
$412.30,$672.00,HOUSING PRESERVATION AND DEVELOPMENT,$826.50
$642.70,"$1,840.10",DEPARTMENT OF PARKS AND RECREATION,$803.20
"$1,414.60","$1,837.10",DEPARTMENT OF DESIGN & CONSTRUCTION,"$1,875.50"
"5,972","6,722",ADMIN FOR CHILDREN'S SERVICES,"7,302"
274,313,DEPARTMENT OF CITY PLANNING,352
238,*,POLICE DEPARTMENT,*
$95.50,$86.50,FIRE DEPARTMENT,$87.30
$50.00,$41.80,HUMAN RESOURCES ADMINISTRATION,$41.80
$141.10,$421.90,POLICE DEPARTMENT,$350.70
$0.80,$0.90,HOUSING PRESERVATION AND DEVELOPMENT,$0.70
"5,727","6,249",DEPARTMENT OF ENVIRONMENTAL PROTECTION,"6,297"
$53,$0,DEPARTMENT FOR THE AGING,$0
"4,861","5,228",DEPARTMENT OF TRANSPORTATION,"5,153"
$798.10,$856.10,DEPARTMENT OF EDUCATION,$806.50
"$20,881.60","$20,906.20",DEPARTMENT OF EDUCATION,"$21,909.70"
"$2,885.00","$2,951.70",ADMIN FOR CHILDREN'S SERVICES,"$2,948.90"
"$3,154.30","$3,149.10",NEW YORK CITY HOUSING AUTHORITY,"$3,213.90"
$76.30,$75.80,OFFICE OF CHIEF MEDICAL EXAMINER,$64.40
$177.50,$230.40,DEPARTMENT OF DESIGN & CONSTRUCTION,$564.20
$3.90,$3.40,ADMIN FOR CHILDREN'S SERVICES,$3.40
$8.80,$8.70,BUSINESS INTEGRITY COMMISSION,$7.40
$29.90,$29.50,DEPARTMENT OF CITY PLANNING,$38.10
$77.60,$55.90,DEPARTMENT OF EDUCATION,$55.90
"1,257","1,498",OFFICE OF TECHNOLOGY AND INNOVATION,"1,670"
$47.50,$46.00,311,$42.60
$1.10,$1.00,DEPARTMENT FOR THE AGING,$1.00
$6.40,$5.20,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,$4.10
$143.50,$134.90,HEALTH AND HOSPITALS CORP,$138.30
727,696,DEPARTMENT FOR THE AGING,470
$36,$28,BUSINESS INTEGRITY COMMISSION,$24
$339,$302,DEPARTMENT OF PROBATION,$302
$144.20,$127.00,OFFICE OF ADMIN TRIALS & HEARINGS,$126.80
$924.60,$868.60,DEPARTMENT OF HOMELESS SERVICES,$815.20
$49.70,$210.60,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,$98.30
"10,777","10,789",FIRE DEPARTMENT,"10,790"
$734.60,$704.90,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,$602.00
$613.50,$581.20,POLICE DEPARTMENT,$607.60
$336.90,$307.00,FIRE DEPARTMENT,$249.30
66,67,COMMISSION ON HUMAN RIGHTS,130
$37.70,$36.50,OFFICE OF ADMIN TRIALS & HEARINGS,$39.20
"$6,899.80","$7,497.10",HEALTH AND HOSPITALS CORP,"$8,249.30"
$801.10,$701.70,DEPARTMENT OF FINANCE,$705.00
$26.60,$23.90,DEPARTMENT OF ENVIRONMENTAL PROTECTION,$24.30
"1,254","1,331",DEPARTMENT OF DESIGN & CONSTRUCTION,"1,400"
$40,$116,BOARD OF ELECTIONS,$116
$473.90,$465.50,DEPARTMENT OF YOUTH & COMMUNITY DEV,$561.80
"$1,356","$1,356",DEPARTMENT OF FINANCE,"$1,356"
503,491,DEPARTMENT OF YOUTH & COMMUNITY DEV,522
$1.30,$1.30,DEPARTMENT OF DESIGN & CONSTRUCTION,$1.30
$7.50,$7.00,COMMISSION ON HUMAN RIGHTS,$10.30
$327.40,$326.10,PUBLIC LIBRARIES,$357.70
$398,$0,CIVILIAN COMPLAINT REVIEW BOARD,$0
71,76,LANDMARKS PRESERVATION COMM.,73
"$1,993.50","$1,985.00",FIRE DEPARTMENT,"$1,831.30"
$975.70,$959.40,HOUSING PRESERVATION AND DEVELOPMENT,$753.00
$7,$6,LANDMARKS PRESERVATION COMM.,$7
569,676,OFFICE OF CHIEF MEDICAL EXAMINER,673
"2,150","2,308",DEPARTMENT OF SANITATION,"2,384"
$165.20,$165.70,DEPARTMENT OF CULTURAL AFFAIRS,$166.00
$9,$9,DEPARTMENT OF CITY PLANNING,$9
$31.50,$32.00,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,$60.00
-,*,DEPARTMENT OF PARKS AND RECREATION,*
"1,977","2,239",DEPARTMENT OF HOMELESS SERVICES,"2,317"
"5,122","5,603",DEPARTMENT OF HEALTH AND MENTAL HYGIENE,"5,645"
-,*,DEPARTMENT OF EDUCATION,*
32,*,DEPARTMENT OF TRANSPORTATION,*
"$3,260.80","$2,868.40",NEW YORK CITY HOUSING AUTHORITY,"$3,115.70"
$517,$517,OFFICE OF TECHNOLOGY AND INNOVATION,$517
"1,916","2,110",DEPARTMENT OF FINANCE,"2,114"
$5.20,$5.70,LANDMARKS PRESERVATION COMM.,$5.70
"5,524","5,447",FIRE DEPARTMENT,"5,667"
"$1,171.00","$1,142.30",DEPARTMENT OF CORRECTION,"$1,222.50"
$39.90,$39.90,DEPARTMENT OF TRANSPORTATION,$39.30
"$5,234.80","$5,163.40",POLICE DEPARTMENT,"$5,069.30"
$262.70,$265.60,DEPARTMENT OF FINANCE,$266.00
"$1,682.80","$1,684.20",ADMIN FOR CHILDREN'S SERVICES,"$1,693.60"
"7,381","7,449",DEPARTMENT OF SANITATION,"7,427"
"6,870","7,462",DEPARTMENT OF PARKS AND RECREATION,"7,204"
$71.50,$72.50,DEPARTMENT OF EMERGENCY MANAGEMENT,$16.00
62,68,DEPARTMENT OF CULTURAL AFFAIRS,62
"2,130","2,331",HOUSING PRESERVATION AND DEVELOPMENT,"2,375"
$86.20,$61.60,DEPARTMENT OF CITYWIDE ADMIN SERVICES,$60.20
"1,605","1,695",DEPARTMENT OF PARKS AND RECREATION,"1,693"
53,56,DEPARTMENT OF RECORDS & INFORMATION SVS,49
362,458,OFFICE OF ADMIN TRIALS & HEARINGS,461
$6.60,$6.00,BUSINESS INTEGRITY COMMISSION,$6.00
$26.90,$20.50,LAW DEPARTMENT,$20.50
$5.80,$38.70,ADMIN FOR CHILDREN'S SERVICES,$26.90
"$7,452.30","$8,349.10",HEALTH AND HOSPITALS CORP,"$7,920.30"
$70.60,$386.40,FIRE DEPARTMENT,$205.10
$106.60,$490.10,HEALTH AND HOSPITALS CORP,$340.80
$11,$11,COMMISSION ON HUMAN RIGHTS,$11
$1.70,$30.50,DEPARTMENT FOR THE AGING,$8.20
"1,156","1,281",DEPARTMENT OF BUILDINGS,"1,475"
"137,078","135,433",DEPARTMENT OF EDUCATION,"138,425"
$172.40,$124.30,DEPARTMENT OF CORRECTION,$86.70
