current_fy_authorized_budget,agency,resource_indicators
458,OATH,Personnel
$374.90,DSNY,"Capital Commitments ($000,000)"
$86.50,FDNY,"Revenues ($000,000)"
$210.60,DOHMH,"Capital Commitments ($000,000)"
$421.90,NYPD,"Capital Commitments ($000,000)"
"3,469",DPR,Full-time Equivalent (FTE) Personnel
443,EDC,Personnel
"1,695",DPR,Parks Opportunity Program (POP) participants (See DPR Footnote for Further Explanation)
$68.90,DPR,"Revenues ($000,000)"
$41.80,HRA,"Revenues ($000,000)"
"1,331",DDC,Personnel
$6.00,BIC,"Revenues ($000,000)"
$6,LPC,Overtime Paid ($000)
$535.00,OTI,"Expenditures ($000,000)"
$61.60,DCAS,"Revenues ($000,000)"
$9.80,DOE,"Overtime Paid ($000,000)"
$856.10,DOE,"Human Services Contract Budget ($000,000)"
*,ACS,Work Experience Program (WEP) Participants Assigned
*,CUNY,Work Experience Program (WEP) Participants Assigned
$20.50,LAW,"Revenues ($000,000)"
"3,993",DPR,Full-time Personnel
$672.00,HPD,"Capital Commitments ($000,000)"
$5.70,LPC,"Expenditures ($000,000)"
$717.40,DCLA,"Capital Commitments ($000,000)"
"38,333",H + H,Personnel
"$1,688.70",DOT,"Capital Commitments ($000,000)"
$313.70,SBS,"Expenditures ($000,000)"
$134.90,H + H,"Overtime Paid ($000,000)"
$1,LAW,Overtime Paid ($000)
$274.20,DOB,"Revenues ($000,000)"
$241.50,DFTA,"Human Services Contract Budget ($000,000)"
$32.00,DOHMH,"Revenues ($000,000)"
$1.00,DFTA,"Revenues ($000,000)"
"16,614",NYPD,Personnel (civilian)
56,DORIS,Personnel
"135,433",DOE,Personnel
313,DCP,Personnel
$29.50,DCP,"Expenditures ($000,000)"
"$1,985.00",FDNY,"Expenditures ($000,000)"
"1,485",BOE,Personnel
"5,228",DOT,Personnel
$7.00,CCHR,"Expenditures ($000,000)"
$517,OTI,Overtime Paid ($000)
$36.50,OATH,"Expenditures ($000,000)"
$116,BOE,Revenues ($000)
*,DFTA,Work Experience Program (WEP) Participants Assigned
"3,926",LIB,Personnel
"$1,712.80",DEP,"Expenditures ($000,000)"
"2,331",HPD,Personnel
$55.90,DOE,"Revenues ($000,000)"
"$9,878.90",HRA,"Expenditures ($000,000)"
$2.10,DCP,"Revenues ($000,000)"
$227.00,NYCHA,"Capital Commitments ($000,000)"
"1,498",OTI,Personnel
$239,311,Overtime Paid ($000)
"9,328",CUNY,Personnel
"2,308",DSNY,Personnel (Civilian)
$21,DORIS,Overtime Paid ($000)
$127.00,OATH,"Revenues ($000,000)"
$4.30,DOB,"Overtime Paid ($000,000)"
$302,DOP,Revenues ($000)
"10,789",FDNY,Personnel (uniformed)
"2,110",DOF,Personnel
$150,DDC,Revenues ($000)
$13.60,CCRB,"Expenditures ($000,000)"
"1,776",DOC,Personnel (Civilian)
$2.10,OCME,"Overtime Paid ($000,000)"
$5.00,LPC,"Revenues ($000,000)"
76,LPC,Personnel
$23.90,DEP,"Revenues ($000,000) (See DEP Footnote for Further Explanation)"
"$1,142.30",DOC,"Expenditures ($000,000)"
$405.20,DCAS,"Capital Commitments ($000,000)"
"11,318",NYCHA,Personnel
$375.60,CUNY,"Revenues ($000,000)"
$386.40,FDNY,"Capital Commitments ($000,000)"
"14,557",HRA,Personnel
$296,DOI,Overtime Paid ($000)
"$1,214.30",DCAS,"Expenditures ($000,000)"
$23.00,DEP,"Overtime Paid ($000,000)"
*,DSNY,Work Experience Program (WEP) Participants Assigned
$99.60,DOP,"Expenditures ($000,000)"
$16.00,DCAS,"Overtime Paid ($000,000)"
$326.10,LIB,"Expenditures ($000,000)"
$9,DCP,Overtime Paid ($000)
$134.40,HRA,"Capital Commitments ($000,000)"
"$1,439.30",DOHMH,"Expenditures ($000,000)"
67,CCHR,Personnel
$38.70,ACS,"Capital Commitments ($000,000)"
"2,239",DHS,Personnel
"$2,868.40",NYCHA,"Revenues ($000,000)"
$704.90,DOHMH,"Human Services Contract Budget ($000,000)"
$40,OATH,Overtime Paid ($000)
"2,331",DCAS,Personnel
491,DYCD,Personnel
$124.30,DOC,"Overtime Paid ($000,000)"
"$5,163.40",NYPD,"Expenditures ($000,000)"
$108.70,DOB,"Expenditures ($000,000)"
$100,OCME,Revenues ($000)
$589.60,DYCD,"Expenditures ($000,000)"
$230.40,DDC,"Expenditures ($000,000)"
$41.40,DCWP,"Expenditures ($000,000)"
$75.80,OCME,"Expenditures ($000,000)"
$465.50,DYCD,"Human Services Contract Budget ($000,000)"
"7,462",DPR,Personnel (Total FT and FTE)
$54.10,NYCHA,"Overtime Paid ($000,000)"
*,NYPD,Work Experience Program (WEP) Participants Assigned
"$7,497.10",H + H,"Expenditures ($000,000)"
"1,281",DOB,Personnel
$53.00,DHS,"Capital Commitments ($000,000)"
*,DPR,Work Experience Program (WEP) Participants Assigned
$6.40,DORIS,"Expenditures ($000,000)"
$743.50,HRA,"Human Services Contract Budget ($000,000)"
81,BIC,Personnel
366,311,Personnel
$39.90,DOT,"Overtime Paid ($000,000)"
$2.60,CUNY,"Overtime Paid ($000,000)"
$179,DCWP,Overtime Paid ($000)
$160.40,OTI,"Revenues ($000,000)"
$43.20,DOI,"Expenditures ($000,000)"
$0.90,DORIS,"Revenues ($000,000)"
68,DCLA,Personnel
$83.90,DSNY,"Overtime Paid ($000,000)"
$17.40,ACS,"Overtime Paid ($000,000)"
"$1,837.10",DDC,"Capital Commitments (Capital Projects Managed for Client Agencies) ($000,000)"
$5.20,DOHMH,"Overtime Paid ($000,000)"
$8.70,BIC,"Expenditures ($000,000)"
$182.90,LAW,"Expenditures ($000,000)"
$959.40,HPD,"Expenditures ($000,000)"
