current_fy_projected_actual,reporting_fiscal_year,_5yr_trend,notes
503,2015,Up,
"$1,171.00",2015,Up,Includes all funds.
$108.70,2015,Neutral,Includes all funds.
$339,2015,Up,
$294.10,2015,Up,Includes all funds.
"$1,190.50",2015,Neutral,Includes all funds.
$613.50,2015,Neutral,
$144.20,2015,Up,
226,2015,Down,
$239,2015,Down,The figures shown in the table above are subtotals of the Department of Information Technology and Telecommunications totals that appear in the DOITT chapter of this Report.
$88.60,2015,Up,
367,2015,Up,
$26.90,2015,Down,
638,2015,Up,
$13.60,2015,Up,Includes all funds.
$2.10,2015,Up,
"$1,682.80",2015,Neutral,
$1.30,2015,Up,
$1.70,2015,Up,
$40.40,2015,Up,
71,2015,Up,
62,2015,Up,
"5,727",2015,Neutral,
$47.50,2015,Neutral,The figures shown in the table above are subtotals of the Department of Information Technology and Telecommunications totals that appear in the DOITT chapter of this Report. Includes all funds.
53,2015,Up,
$801.10,2015,Up,
$398,2015,Up,
"2,150",2015,Up,
$71.50,2015,Up,Includes all funds.
$99.00,2015,Up,Includes all funds.
$473.90,2015,Up,
$103.90,2015,Neutral,
"3,008",2015,Neutral,
$106.60,2015,Down,
$70.60,2015,Down,
-,2015,Down,
$9.80,2015,Down,
455,2015,Up,
$7.50,2015,Up,Includes all funds.
"1,254",2015,Up,
$7,2015,Down,
510,2015,Down,
705,2015,Down,
$5.80,2015,Down,
$5.20,2015,Up,Includes all funds.
$0.80,2015,Up,
$20.40,2015,Neutral,
$6.40,2015,Neutral,
$367.70,2015,Up,
$2.30,2015,Down,
$165.20,2015,Up,Includes all funds.
"7,381",2015,Down,
$40,2015,Neutral,
"16,233",2015,Neutral,
$95.50,2015,Up,
"1,491",2015,Neutral,
$1.60,2015,Up,
264,2015,Up,
66,2015,Neutral,
115,2015,Down,
"$3,154.30",2015,Neutral,Includes all funds.
$39.90,2015,Neutral,
$534,2015,Up,
"4,861",2015,Neutral,
"$9,728.70",2015,Up,Includes all funds.
945,2015,Neutral,
$32.90,2015,Neutral,
$734.60,2015,Down,
$53,2015,Up,
"1,257",2015,Neutral,
$29.90,2015,Up,Includes all funds.
$958.50,2015,Up,Includes all funds.
$177.50,2015,Up,Includes all funds.
$40,2015,Up,
$271.00,2015,Neutral,
$163.10,2015,Neutral,
$76.30,2015,Up,Includes all funds.
"8,749",2015,Up,
$767,2015,Down,
"$1,502.60",2015,Neutral,Includes all funds.
"5,524",2015,Neutral,
$551.30,2015,Down,
$174.10,2015,Neutral,
$3.40,2015,Down,
$21,2015,Up,
$153.60,2015,Up,
$18.10,2015,Neutral,
$17.40,2015,Neutral,
$998.80,2015,Up,Includes all funds.
72,2015,Neutral,
"1,008",2015,Down,
$262.70,2015,Up,Includes all funds.
"$1,271.00",2015,Up,
$6.80,2015,Up,Includes all funds.
153,2015,Up,
$77.60,2015,Up,
$3.90,2015,Up,
$6.90,2015,Up,
$31.50,2015,Down,
$141.10,2015,Up,
"1,551",2015,Up,
$67.70,2015,Up,
"2,105",2015,Neutral,
$9,2015,Down,
"3,862",2015,Up,
$975.70,2015,Up,Includes all funds.
$179,2015,Down,
$1,2015,Down,
727,2015,Down,
"5,122",2015,Neutral,
"1,156",2015,Neutral,
$798.10,2015,Down,
$517,2015,Down,
$154,2015,Neutral,
$0,2015,Neutral,
$143.50,2015,Up,
"$1,414.60",2015,Neutral,
$64.90,2015,Down,
$49.70,2015,Down,
"11,399",2015,Neutral,
$3.80,2015,Neutral,
$16.50,2015,Up,
$11,2015,Down,
$593.90,2015,Up,Includes all funds.
146,2015,Up,
$86.20,2015,Up,
$37.70,2015,Up,Includes all funds.
$65.70,2015,Neutral,
$642.70,2015,Up,
-,2015,Down,
$346,2015,Up,
"$5,234.80",2015,Neutral,Includes all funds.
$153.80,2015,Up,
"$1,993.50",2015,Up,Includes all funds.
$293.00,2015,Up,
"$3,260.80",2015,Neutral,
"$1,480.90",2015,Neutral,Includes all funds.
$62,2015,Up,
274,2015,Neutral,
"3,705",2015,Neutral,
$533.80,2015,Up,Includes all funds.
$41,2015,Neutral,
"1,605",2015,Neutral,"The Parks Opportunity Program participants, reflected as full-time equivalents, are a subtotal of the Department's total Personnel count reported"
$95.20,2015,Down,
"34,618",2015,Neutral,
32,2015,Down,
"5,972",2015,Neutral,
"38,748",2015,Neutral,
$1.20,2015,Up,
"1,977",2015,Neutral,
238,2015,Up,
$372.30,2015,Up,
$26.60,2015,Up,DEP Revenues shown here do not include any of the approximately $1.5 billion the City receives annually from the NYC Water Board in reimbursement for operations & maintenance and in rent.
362,2015,Up,
"137,078",2015,Neutral,
"2,130",2015,Neutral,
$50.00,2015,Up,
$327.40,2015,Up,Includes all funds.
71,2015,Up,
$1.10,2015,Down,
"$1,356",2015,Up,
"$1,169.90",2015,Up,Includes all funds.
"$2,885.00",2015,Neutral,Includes all funds.
337,2015,Neutral,The figures shown in the table above are subtotals of the Department of Information Technology and Telecommunications totals that appear in the DOITT chapter of this Report.
$475.60,2015,Up,Includes all funds.
$36,2015,Down,
$38.70,2015,Up,
$336.90,2015,Up,
$172.40,2015,Up,
-,2015,Down,
$6.60,2015,Neutral,
$924.60,2015,Up,
"$20,881.60",2015,Up,Includes all funds.
$45.50,2015,Up,Includes all funds.
"1,916",2015,Neutral,
$20.00,2015,Down,
$130.50,2015,Up,
-,2015,Down,
$178.50,2015,Up,Includes all funds.
"13,690",2015,Neutral,
"10,777",2015,Neutral,
"$7,452.30",2015,Neutral,
"$2,070.90",2015,Up,
$17.50,2015,Down,
$412.30,2015,Up,
"$1,136.00",2015,Up,Includes all funds.
30,2015,Down,
$40.40,2015,Up,Includes all funds.
"$6,899.80",2015,Neutral,Includes all funds.
$11.10,2015,Up,
569,2015,Neutral,
$370.40,2015,Up,Includes all funds.
$249.30,2015,Up,
$6.80,2015,Up,
$36.60,2015,Up,
$115.00,2015,Up,Includes all funds.
"8,756",2015,Neutral,
"6,870",2015,Up,
$6.00,2015,Down,
$8.80,2015,Up,Includes all funds.
