organization_name,amnt_requested,council_district
Asher Levy School,"* 200,000.00",CD02
West Prep Academy,"* 1,000,000.00",CD08
The Sarah Anderson School & M.S. 243 The Center School,"* 257,500.00",CD06
Department of Sanitation,"* 350,000.00",CD
"Seventh Regiment Armory Conservancy, Inc.","* 300,000.00",CD04
"Manhattan Theatre Club, Inc. ","* 255,000",CD03
Fashion Center Business Improvement District ,"* 309,275.00",CD03
Lillian Weber ,"* 500,000.00",CD06
Special Music School,"* 329,220.58",CD06
Patrick Henry School,"* 357,430.00",CD08
"Isabella Geriatric Center, Inc.","* 450,000.00",CD10
Northern Manhattan Improvement Corporation,"* 500,000.00",CD10
Norman Thomas Educational Campus,"* 4,000,000.00",CD02
"Asian Americans for Equality, Inc. ","* 500,000.00",CD01
Friends of West 95th Street,"* 52,000",CD06
Mott Hall II,"* 19,850.00",CD08
The Carnegie Hall Corporation,"* 500,000.00",CD04
BaruchCollege/CUNY,"* 275,000.00",CD02
Jesse Isidor Straus Elementary School,"$1,100,000.00 ",CD06
Patricia Mirabel Middle School,"* 366,759.40",CD07
"City Center of Music and Drama, Inc. (Koch Theater)","500,000",CD06
"The 122 Community Center, Inc.","* 500,000.00",CD02
ABC No Rio,"* 250,000.00",CD01
"Asphalt Green, Inc.","* 499,136.00",CD05
Eyebeam,"$98, 579.84",CD03
Manhattan School of Music,"* 500,000.00",CD09
"Promesa, Inc.","* 500,000.00",CD02
The Flea Theater,"* 500,000.00",CD01
Maria Teresa Mirabal Middle School,"* 500,569.00",CD07
"Broadway Housing Communities, Inc.","* 500,000.00",CD07
Visual Arts Research and Resource Center Relating to the Caribbean ,"$500,000.00 ",CD08
Park East High School,"* 300,000.00",CD08
BaruchCollege/CUNY,"* 140,000.00",CD02
The Symphony Space,"* 906,583.00",CD06
Circle in the Square Theatre School,"* 67,000.00",CD03
Lillie D. Blake School,"* 125,000.00",CD04
"Hudson Guild, Inc.","* 520,169.00",CD03
"Puerto Rican Family Institute, Inc.","* 1,000,000.00",CD03
"YM & YWHA of Washington Heights and Inwood, Inc.","* 500,000.00",CD10
"Irish Arts Center     An Claidheamh Soluis, Inc.","* 1,000,000.00",CD03
Riverside Park Conservancy and Soldier's and Sailors' Memorial Association,"* 1,000,000.00",CD06
"Fashion Center Business Improvement District (Fashion Center DMA, Inc.)","* 575,250.00",CD03
Clemente Velez Cultural & Education Center ,"* 500,000.00",CD01
Harlem Hospital Center,"* 600,000.00",CD09
"The New 42nd Street, Inc.","* 425,000.00",CD03
Quest to Learn ,"* 228,814.00",CD03
Bard High School Early College,"$250,000.00 ",CD02
The Fashion Institute of Technology,"$500,000.00 ",CD03
Hudson River Park Trust,"* 650,000.00",CD03
Riverside Park Conservancy,"* 800,000.00",CD06
Emily Dickinson School,"* 151,600.00",CD06
Urban Assembly Gateway School for Technology,"* 166,571.95",CD03
"Amigos Del Museo Del Barrio, Inc.","* 250,000.00",CD08
"City Harvest, Inc.","* 91,489.00",CD05
"Metropolitan Opera Association, Inc.","* 250,000.00",CD06
The Luis Belliard School,,CD
The Magnet School for Technology and Communication,"* 125,000.00",CD08
Union Square Partnership,"* 140,000.00",CD02
Borough of Manhattan Community College ,"$1, 075, 000.00 ",CD01
"Department of Transportation, NYC","* 650,000.00",CD03
Lenox Hill Hospital,"$285,000.00 ",CD04
Catholic Charities Archdiocese of New York,"* 225,000.00",CD05
The City College of New York,"* 4,000,000.00",CD07
DIA Center for the Arts / (Dia Art Foundation),"* 250,000.00",CD03
East Harlem Arts and Education LDC,"* 300,000.00",CD08
"Department of Transportation, NYC","* 100,000.00",CD03
"Creative Time , Inc.","* 100,000.00",CD02
Hunter College,"* 1,500,000.00",CD04
"Ballet Hispanico of New York, Inc.","* 229,194.00",CD06
East Side Elementary School,"* 47,234.88",CD04
"New York City Center, Inc.","* 400,000.00",CD04
Center for Alternative Sentencing and Employment Services,"* 85,670.00",CD09
The Hispanic Society,"* 500,000.00",CD07
Association to Benefit Children,"* 99,799.00",CD08
"New York Blood Center, Inc","* 200,000.00",CD05
Home for Contemporary Theatre & Art,"* 66,301.57",CD03
"Ballet Tech Foundation, Inc.","* 300,000.00",CD02
"Dance Theatre of Harlem, Inc.","* 1,000,000.00",CD07
P.S. M226,"* 400,000.00",CD02
The New York City Police Museum,"* 500,000.00",CD01
"ARC on 4th Street, Inc.","* 500,000.00",CD02
"Town Hall Foundation, Inc.","$92, 479.81",CD03
P.S. 138,"* 250,000.00",CD08
City-As-School High School,"* 575,000.00",CD03
P.S./I.S. 217,"* 35,000.00",CD05
"Union Settlement Association, Inc.","* 59,155.00",CD08
Joseph C. Lanzetta,"* 160,000.00",CD08
Whitney Museum of American Art,"* 500,000.00",CD03
