project_description,project_title,organization_name,agency,school_number
"Renovation of Welcome Center space, additional space for for the various activities, add offices and event space with new furniture, lighting and signage.",Baruch College Welcome Center Project,BaruchCollege/CUNY,CUNY,
"Convert their Studios for rehearsal space to performance space allowing NYC nonprofits to use the space for a wide range of public presentations, rehearsals, workshops, showcases and events.  There will be upgrades to to the audio and lighting systems, mo",Space Enhancement Project,"The New 42nd Street, Inc.",DCA,
"Renovate/upgrade (2) rtesident service elevators with new pumps, isolation pads, digital in-car operating stations, new flooring, car travel lanterns, hatchway door equipment, hall/call buttons with digital indicators, Fireman's service, hoist-way wiring ",Interior Safety and Structural Renovation Project,"Barrier Free Living, Inc.",,
Purchase (4) carts of Macbook laptops  and (7) Smart Boards to bring classrooms into the 21st Century.,Rolling Carts of Macbook Pros and Smartboards Project,Quest to Learn ,DOE,M422
"Installation of an irrigation system including water connection and improved drainage by re-grading the surface; removal of the wicket fence around the lawn perimeter, open space will be incorporated for Summer in the square program with weekly lunchtime ",Triangle Upgrade at Union Square Park Project,Union Square Partnership,DPR,
"Purchase 2-mid-sized four door sedan for use by criminal defense attorney, social workers, and investigators to interview incarcerated clients, interview witnesses, investigate crime scenes, serve process and the like. Clients are based in Upper manhattan",Vehicle Purchase and stand Alone Equipment,"Neighborhood Defender Service, Inc.",,
"Provide all equipment , furniture, fixtures, and data, security and phone systems for new rented space at 45 Wadsworth Avenue.  ",Initial Outfitting Project,Northern Manhattan Improvement Corporation,EDC,
"Renovation of Upper (3) Floors of its 103 Orchard Street buildingto increase exhibit, education, and administrative spaces, roof repalcement, elevator extension to upper floors, providing wheelchair accessibility to the new exhibit, education, and adminis",Conversion/Renovation Project,Lower Eastside Tenement Museum,DCA,
Add funding to the FY12 and FY13 appropriation Boiler Project ID#126PV206-BLR  Additional funds will aid in moving system to a higher floor since museum was impacted by Storm Sandy.,Boiler Project,The New York City Police Museum,DCA,
,Telescoping tiered seating units Project,"New York Classical Theatre, Inc.",DCA,
"Replace curb and concrete sidewalk, asphalt and concrete replacement/repairs along the garage and plazaroofs and in the garage; disposal of brick planters; waterproofing membrane repair/replacement; refurbishment aof benches and trash receptacles; fence r",Housing Upgrade Project,"Riverbend Housing Company, Inc.",HPD,
"Replacement of windows at side and rear of building and shared air shafts, repair of two main fire escapes and replacement ofmissing sections, replacement of both sidewalk vaults including repair of structural beams and supports and existing openings; rep",Building Renovation Completion Project,"ARC on 4th Street, Inc.",DCA,
replacement of fire alarm and security systems and the auditorium floors and stage.,Kennedy Center Renovation Project,Catholic Charities Archdiocese of New York,,
"Complete Interior Renovation of landmarked façade will be restored and the sidewalk and underground vault will be rebuilt. A mechanical bulkhead will be added.  Two theatre spaces will be renovated with ne theater systems for rigging, audio, video, improve","Restoration, Repair/ Renovation of  Property Project","La Mama Experimental Theatre Club, Inc.",DCA,
"Install and upgrade hardware in all classrooms, purchase additional iMac desktop computers,video equipment, digital cameras,  adaptive technology, add Macbook laptops to each classroom so that; students have an equal learning opportunity.",Smart Board Technology Upgrade Project,P.S. M226,DOE,M226
"Convert existing cafeteria into a multiuse space, currently they have no auditorium nor place for students to study/gather.",BCCHS Multi-purpose Room Conversion,Baruch College Campus High School,DOE,M411
Update Theatrical equipment and expand their (2) theatres located at 145 Sixth Avenue in the Hudson Square neighborhood.  ,Theatre Upgrade/ Expansion Project,Home for Contemporary Theatre & Art,DCA,
"Installation of wheelchair accessible ramps and bathrooms on the first floor and basement.  Additional means of egress will be created in and to the basement, sprinklers will be installed throughout the building making the center compliant with the NYC De",CSV Sprinkler Safety Egress ADA Project,Clemente Velez Cultural & Education Center ,DCA,
"Installall hard wood floors on the auditorium stage, mirrors for dance classes backstage, new control room/projection room, electrical wiring for AV equipment, accommodating seats, curtains, lighting deck, lighting equipment, surround sound system, video projection system with monitors on the side and main stage, AV rack to control sound and visual input and output, a PPD system to broadcast throughout building and into atrium and garden space directly next to auditorium, acoustical panels, proper ventillation/air conditioning, and mosiac mural that reflects the technology and arts theme that runs through the building.",Auditorium Upgrade Project,West Prep Academy,DOE,M421
"Purchase desktop computers and monitors, a photocopier, printers, file cabinets, desks, waiting room chairs and tables, stackable classroom chairs, classroom and computer tables, meeting room table and chairs, therapy room pneumatic chairs, and desk guest",CASES Harlem Location Initial Outfitting,Center for Alternative Sentencing and Employment Services,,
Construction of new York City's first free-standing memorial to the AIDS crisis adjacent to to the former St. Vincent's Hospital.,NYC AIDS Memorial Project,"NYC AIDS Memorial, Inc.",EDC,
Improvements to Times and Duffy Squares bringing the roadway infrastructure up to a state of good repair which will enhance public safety.,Times Square Rehabilitation Project,"Department of Transportation, NYC",DOT,
"Purchase 25 Smart Boards, including necessary projector, installation, and computer to be used for classroom teaching.",Smart Board Project,Emily Dickinson School,DOE,M075
"Purchase a 6000 lumen projector, a BlueRay player, a quad channel receiver, 16 wireless microphone systems, 4 wired microphones, a digital snake stagebox with CAT5 cables connecting to a 16 channel digital mixing console and digital recorder, 6 powered lo",Audio/ Visual System Upgrade Project.,Circle in the Square Theatre School,DCA,
"Redesign and Renovate the art and music wing at SHS = Assessment and design, theater multimedia control center, theater sound system, theater projector TV's (2), theatre lighting upgrade, theater painting, carpet and stage floor replacement, classroom sound system (3), Classroom interactive boards and accessories, classroom painting and other renovations (3), classroom instrument and sheet music storage (3), office renovation, musical instruments, and renovation labor cost.  ","Theatre, Art and Music Wing Renovation Project",Parents Association of Stuyvesant High School,DOE,M475
"Purchase desktop computers, cables, color laser printer, a SMART Table and a  large interactive whiteboard, as well as an updated lending library CICO IntelliTrack Software and materials, install book shelves, sink and cabinet removal and installation, window shades and door, elcetrical outlets, plus management cost (11.5%).",Early Childhood Discovery and Design Media Center Project,Early Childhood Discovery and Design  Magnet School,DOE,M185
"Outfitting of freshman class of 2017 with one-to-one laptops to be used throughout high school; computer storage carts, 125 Macbook Pro; and Dedicated Circuits.",UA Gateway One-to-One Laptop Program,Urban Assembly Gateway School for Technology,DOE,M507
"Renovation = Re-engineering of cathodic protection against corrosion, replacing corroded structural steel, and re-welding a failed structural pile, without this work the boathouse will sink.",Peter J. Sharp Boathouse Repair Project,New York Restoration Project,DPR,
"Purchase 7 TeqRetrofit Kits, (1) Smart USB Audio System, (1) Smart Board move, (1) ""77"" Smart Board Teq Ultra Short Throw Projector with rail System, Audio & Cover, (4) Teq Professional Development hours for participants, (10) 1-hr service calls.  Purchase and install an electronic message board in lobby.",Smart Board Upgrade and Professional Development; Electronic Message Board Project,East Side Elementary School,DOE,M267
"Hot water heating piping system will be tested, chemically flushed and replaced as required throughout the building. ",Infrastructure Replacement Project,Metropolitan Museum of Art,DCA,
Structurally repair and restore the building's deteriorated roof to include a Teaching Kitchen and Roof garden assassible by elevator extending to the roof.,Roof Restoration Project,New York City Mission Society,,
Upgrade their sound with accompanying microphones and lighting system in auditorium.,Auditorium and Technology Upgrade Project ,Muscota New School,DOE,M314
"Purchase 32 new desktop computers for their Lab and Media Center. (Lenovo M7 all-in one computer, installation of computer and lock-down devices, datamation Computer Lock Down).",Computer Upgrade Project,Harriet Tubman Learning Center,DOE,M154
"Upgrade the Subotnick Center/Trading Floor Simulator LED Ticker, LED wall boards and CRT televisions with new, modern, energy-efficient equipment that supports the College's pedagogical needs. ",Subotnick Center Display System Project,BaruchCollege/CUNY,CUNY,
"Renovation of school auditorium, replace fire retardent stage curtains, house lights, auditorium chairs, projection screen and equipment ste-up, stage lights and controls.",Auditorium Upgrade and Refurbishment Project,Lillie D. Blake School,DOE,M006
"reconfigure the balcony in the Peter Jay Sharp Theatre to create patron lounge, improve audience circulation in both theatres, expand administrative work area, improve artists access in both theatres, enhance technical capabilities of both theatres, inclu",Theatre Renovation Project,The Symphony Space,DCA,
"Replace (20 existing pool filtration system at the AquaCenter.  These filters provide clean water to both Warm water Therapy Pool and Olympic Pool which serves in excess of 1,400 people daily.",Pool Filtration System Replacement Project.,"Asphalt Green, Inc.",DPR,
"Concrete Masonry - we will perform a comprehensive overhaul of the sidewalk in front of the theatre. We propose to replace the curb, pitch and street so that rainwater will drain to the nearest drain and not pool in the entrance.",MTC- Friedman Sidewalk and Windows,"Manhattan Theatre Club, Inc. ",DCA,
Fabrication and installation of new mass and rigging.,Wavertree Ship Renovation/Construction Project,South Street Seaport Museum's,DCA,
"Purchase 50 ActivTables (1 for every classroom). 10- Ultimate Polycarbonate Basketball System, (2) Pro premier Soccer Goal 8'Hx24'Wx3'Dx9', (10) Soccer Flags, (30)Mis-Size Laptop School Image Lenovo L430 for Classroom Use, (150 all in Ine Space Saving PC School Image Lenovo.",21st Century Families in the Heights Technology Project ,Maria Teresa Mirabal Middle School,DOE,M319
"Purchase (2) High Quality printers, (1) scanner, (25) Apple iPads, (2) Laptops, and presentation equipment (ELMO) for attorneys, social workers and paralegals, to print client letters, motions, research, etc. ",Office Technology Project  ,"Neighborhood Defender Service, Inc.",,
"Replace tiles, remove sink, add a new shade, replace two doors, add outlets, install four light fixtures, and replace the ceiling walls, plaster and paint.  Current room is is disrepair.  (See attached image).",Mott Hall Teacher Resource and Media Center Upgrade,Mott Hall II,DOE,M862
"Full Renovation of existing building at 20 Thomas Street  to create a single complex with three theaters, attendant lobby and public spaces, technical/dressing room/program support space, office space and a conference area.",Building Renovation/Construction Project,The Flea Theater,DCA,
"This equipment servesas a critical technology in biomedical research diagnostics, treat and prevent heartdisease, diabetes, sickle cell disease, thalassemia, HIV/AIDS, influenza, and SARS.",Purchase of an ImageStreamX Flow Cytometer machine,"New York Blood Center, Inc",,
Funding is for Greenroof ,Green Roof/Rooftop Garden,Lillian Weber ,DOE,M084
Purchase (2) 15 passenger vans to transport people with autism to and from their group homes and homes in Manhattan to their Day Habilitation Program Site.,Vehicle Purchase Project,"Quality Services for the Autism Community, Inc. (QSAC)",,
"Phase II of Main Campus Library Renovation - Construction/transformation of 6th and 7th floors of library into a technology-enhanced student success center, as well as; areas for studying and gathering.",Library and Learning Center Upgrades,Hunter College,CUNY,
