bin,nta
1028831.0,Lincoln Square                                                             
1001015.0,Battery Park City-Lower Manhattan                                          
1004062.0,Lower East Side                                                            
1080671.0,East Harlem South                                                          
1020419.0,Gramercy                                                                   
1052436.0,East Harlem North                                                          
1026646.0,Clinton                                                                    
1056676.0,Morningside Heights                                                        
,
1086514.0,Gramercy                                                                   
1081842.0,Washington Heights South                                                   
1087782.0,Central Harlem South                                                       
1000042.0,Battery Park City-Lower Manhattan                                          
1084201.0,Marble Hill-Inwood                                                         
1001931.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
1064900.0,Marble Hill-Inwood                                                         
,
1081022.0,Lincoln Square                                                             
1085673.0,Central Harlem South                                                       
1054344.0,East Harlem North                                                          
1063719.0,Washington Heights North                                                   
1084781.0,Lenox Hill-Roosevelt Island                                                
1016745.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
1056676.0,Morningside Heights                                                        
1026333.0,Clinton                                                                    
1033687.0,Upper West Side                                                            
1083425.0,Chinatown                                                                  
1084587.0,Battery Park City-Lower Manhattan                                          
1083846.0,Upper West Side                                                            
1051499.0,East Harlem South                                                          
1085798.0,Battery Park City-Lower Manhattan                                          
1087537.0,Murray Hill-Kips Bay                                                       
1018010.0,Gramercy                                                                   
1051497.0,East Harlem South                                                          
1006849.0,East Village                                                               
1014480.0,Midtown-Midtown South                                                      
1012249.0,West Village                                                               
1081419.0,Upper East Side-Carnegie Hill                                              
1076684.0,Morningside Heights                                                        
1049876.0,Yorkville                                                                  
,
1082642.0,East Village                                                               
1024753.0,Midtown-Midtown South                                                      
1032119.0,Upper West Side                                                            
1026646.0,Clinton                                                                    
1014547.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
1079706.0,Chinatown                                                                  
1025092.0,Clinton                                                                    
1044750.0,Lenox Hill-Roosevelt Island                                                
1082282.0,Clinton                                                                    
1017003.0,Midtown-Midtown South                                                      
1053899.0,Central Harlem North-Polo Grounds                                          
1026890.0,Clinton                                                                    
1085673.0,Central Harlem South                                                       
1012827.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
1084081.0,Manhattanville                                                             
,
1082367.0,Yorkville                                                                  
1058671.0,Central Harlem North-Polo Grounds                                          
1083346.0,Battery Park City-Lower Manhattan                                          
1006478.0,East Village                                                               
1017097.0,Midtown-Midtown South                                                      
1024812.0,Midtown-Midtown South                                                      
1076741.0,Washington Heights South                                                   
1083346.0,Battery Park City-Lower Manhattan                                          
1082185.0,Upper East Side-Carnegie Hill                                              
1089240.0,West Village                                                               
2009358.0,Mount Hope                                                                 
1042460.0,Upper East Side-Carnegie Hill                                              
