_001_rent_arrears_req_accepted,_005_disaster_req_accepted,_002_utilities_req_rejected,_003_other_housing_req
6466,69,9709,2251
6145,60,3737,1828
6487,54,5326,2521
6353,66,6398,2383
6266,72,7018,2055
6532,60,3607,2143
7021,54,8372,2249
5442,61,3577,1565
9520,75,9719,3006
7778,73,11868,2331
8038,58,11342,2440
6625,89,5087,2569
4693,59,5185,1868
7179,47,9648,2436
