_001_rent_arrears_req_rejected,_002_utilities_total_req,calendar_year
20644,6293,2024
10842,5010,2022
13634,4749,2023
13654,4743,2023
14611,2320,2023
10695,5849,2022
17303,5393,2024
10069,5080,2022
18616,3842,2024
23822,8009,2025
22224,8192,2025
13829,5193,2023
11678,2673,2022
19717,5742,2024
