_001_rent_arrears_total,_004_storage_req_accepted,_004_storage_total_requests,_004_storage_req_rejected,_003_other_housing_total,_006_other_accepted_req,_006_other_requests_total
27110,170,314,144,5284,27,101
16987,185,201,16,2419,10,30
20121,214,324,110,4166,20,52
20007,190,300,110,4065,19,72
20877,167,282,115,3910,10,30
17227,151,178,27,2545,18,36
24324,185,315,130,4507,10,37
15511,167,194,27,2036,10,40
28136,201,362,161,5528,15,60
31600,161,323,162,5511,23,91
30262,157,341,184,5912,41,119
20454,235,336,101,3969,13,51
16371,146,166,20,2378,7,22
26896,194,344,150,5027,20,60
