location_name,sy1617_total_removals_suspensions,female_superintendent,male_expulsions,location_category
Bard High School Early College,0,R,R,High school
Manhattan Comprehensive Night and Day High School,R,R,R,High school
P.S. 191 Amsterdam,23,R,R,K-8
Manhattan Early College School for Advertising,74,R,R,High school
P.S. 134 Henrietta Szold,42,R,R,Elementary
P.S. 040 Augustus Saint-Gaudens,R,R,R,Elementary
High School of Economics and Finance,27,R,R,High school
Jacob Riis School,0,R,R,Junior High-Intermediate-Middle
The Children's Workshop School,R,R,R,Elementary
P.S. 89,0,R,R,Elementary
Richard R. Green High School of Teaching,43,6,R,High school
P.S. 188 The Island School,23,R,R,K-8
Murry Bergtraum High School for Business Careers,43,R,R,High school
Ella Baker School,0,R,R,K-8
High School of Arts and Technology,110,R,R,High school
Murray Hill Academy,58,R,R,High school
P.S. 110 Florence Nightingale,R,R,R,Elementary
Food and Finance High School,19,R,R,High school
"Facing History School, The",40,R,R,High school
Cascades High School,9,R,R,High school
P.S. 075 Emily Dickinson,6,R,R,Elementary
P.S. 183 Robert L. Stevenson,R,R,R,Elementary
Manhattan Bridges High School,0,R,R,High school
Independence High School,15,R,R,High school
Pace High School,51,R,R,High school
"Urban Assembly School for Media Studies, The",32,R,R,High school
M.S. M245 The Computer School,R,R,R,Junior High-Intermediate-Middle
Wadleigh Secondary School for the Performing & Vis,R,R,R,Secondary School
Quest to Learn,90,7,R,Secondary School
P.S. 064 Robert Simon,6,R,R,Elementary
Humanities Preparatory Academy,R,R,R,High school
NYC iSchool,21,R,R,High school
Neighborhood School,0,R,R,Elementary
University Neighborhood Middle School,30,R,R,Junior High-Intermediate-Middle
Essex Street Academy,14,R,R,High school
P.S. 150,0,R,R,Elementary
P.S. 77 Lower Lab School,8,R,R,Elementary
Unity Center for Urban Technologies,R,R,R,High school
High School of Hospitality Management,93,R,R,High school
P.S. 019 Asher Levy,0,R,R,Elementary
P.S. 234 Independence School,10,R,R,Elementary
Jacqueline Kennedy Onassis High School,81,12,R,High school
Liberty High School Academy for Newcomers,10,R,R,High school
M.S. 250 West Side Collaborative Middle School,29,R,R,Junior High-Intermediate-Middle
Lower Manhattan Community Middle School,17,R,R,Junior High-Intermediate-Middle
"Urban Assembly School of Business for Young Women,",69,R,R,High school
P.S. 184m Shuang Wen,0,R,R,K-8
West Prep Academy,47,R,R,Junior High-Intermediate-Middle
P.S. 142 Amalia Castro,0,R,R,Elementary
P.S. 124 Yung Wing,19,R,R,Elementary
P.S. 38 Roberto Clemente,23,R,R,Elementary
Professional Performing Arts High School,R,R,R,Secondary School
"Urban Assembly School of Design and Construction,",16,R,R,High school
Frederick Douglass Academy II Secondary School,160,R,R,Secondary School
P.S. 242 - The Young Diplomats Magnet Academy,13,R,R,Elementary
Repertory Company High School for Theatre Arts,23,R,R,High school
Stuyvesant High School,45,R,R,High school
Emma Lazarus High School,R,R,R,High school
Yorkville East Middle School,R,R,R,Junior High-Intermediate-Middle
P.S. 290 Manhattan New School,R,R,R,Elementary
Tag Young Scholars,R,R,R,K-8
Hudson High School of Learning Technologies,80,R,R,High school
P.S. 076 A. Philip Randolph,90,11,R,K-8
Lower East Side Preparatory High School,0,R,R,High school
P.S. 001 Alfred E. Smith,9,R,R,Elementary
Vanguard High School,15,R,R,High school
