sludge_digested_wet_tons,rng_production_mmbtu,rng_system_uptime
68431,24363,0.95
61835,28608,0.99
66213,26309,0.87
74646,23936,0.93
75537,22870,0.76
48510,20944,0.81
59890,24581,0.89
62389,15805,0.78
58653,28595,0.96
72141,719,0.05
70135,12914,0.88
62679,17707,0.75
67678,28983,0.95
88043,17972,0.81
62654,24396,0.82
53087,24848,0.92
57522,10822,0.63
80810,9693,0.57
71262,0,0.0
65318,0,0.0
64282,14230,0.68
64188,12272,0.52
66859,25238,0.92
67457,12931,0.7
49764,21017,1.0
65961,29575,0.96
67174,5491,0.35
