sludge_digested_wet_tons,food_scraps_digested_wet,facility
59890,4746,Newtown Creek
65961,6227,Newtown Creek
72141,6359,Newtown Creek
49764,6691,Newtown Creek
67457,5200,Newtown Creek
53087,5477,Newtown Creek
75537,5473,Newtown Creek
62679,6642,Newtown Creek
80810,6116,Newtown Creek
66213,5245,Newtown Creek
64188,6702,Newtown Creek
67174,6117,Newtown Creek
48510,4913,Newtown Creek
70135,5144,Newtown Creek
64282,6300,Newtown Creek
62389,6125,Newtown Creek
74646,5388,Newtown Creek
67678,6223,Newtown Creek
62654,6074,Newtown Creek
58653,5670,Newtown Creek
65318,5731,Newtown Creek
61835,5014,Newtown Creek
68431,4349,Newtown Creek
66859,5641,Newtown Creek
57522,6260,Newtown Creek
88043,4020,Newtown Creek
71262,6626,Newtown Creek
