the_geom,long,y,street_2,street_1
"{'type': 'Point', 'coordinates': [-73.83350675492422, 40.77161911791107]}",-73.8335067549242,220442.265529975,LINDEN PLACE,WHITESTONE EXPRESSWAY
"{'type': 'Point', 'coordinates': [-73.84557711149188, 40.710413005308766]}",-73.8455771114919,198136.844917804,MANSE STREET,ASCAN AVENUE
"{'type': 'Point', 'coordinates': [-73.92027632011495, 40.862605896719536]}",-73.920276320115,253558.235059053,10 AVENUE,WEST 204 STREET
"{'type': 'Point', 'coordinates': [-73.96529307520983, 40.7593078371801]}",-73.9652930752098,215914.938626647,EAST 57 STREET,2 AVENUE
"{'type': 'Point', 'coordinates': [-73.94438746517662, 40.714531601250336]}",-73.9443874651766,199604.532271147,METROPOLITAN AVENUE,GRAHAM AVENUE
"{'type': 'Point', 'coordinates': [-73.79284848997769, 40.704423861002745]}",-73.7928484899777,195984.995546982,ARCHER AVENUE,MERRICK BOULEVARD
"{'type': 'Point', 'coordinates': [-73.73525801156269, 40.71850275395983]}",-73.7352580115627,201157.348719314,JAMAICA AVENUE,SPRINGFIELD BOULEVARD
"{'type': 'Point', 'coordinates': [-73.96060027643453, 40.761484853967005]}",-73.9606002764345,216708.647012979,1 AVENUE,EAST 62 STREET
"{'type': 'Point', 'coordinates': [-73.86474024856385, 40.856690663572756]}",-73.8647402485638,251421.940119058,WALLACE AVENUE,PELHAM PARKWAY NORTH
"{'type': 'Point', 'coordinates': [-73.93031762770087, 40.677413037932254]}",-73.9303176277009,186083.936280891,UTICA AVENUE,ATLANTIC AVENUE
"{'type': 'Point', 'coordinates': [-73.95503698224245, 40.61855780386674]}",-73.9550369822424,164636.873532057,OCEAN AVENUE,AVENUE M
"{'type': 'Point', 'coordinates': [-73.91894225644816, 40.86446291205693]}",-73.9189422564482,254235.156277388,10 AVENUE,WEST 207 STREET
"{'type': 'Point', 'coordinates': [-74.02803565486205, 40.6235717738346]}",-74.0280356548621,166461.636942893,4 AVENUE,85 STREET
"{'type': 'Point', 'coordinates': [-73.96480079543775, 40.75998213888337]}",-73.9648007954378,216160.663200811,EAST 58 STREET,2 AVENUE
"{'type': 'Point', 'coordinates': [-73.87838855849547, 40.67973905352136]}",-73.8783885584955,186947.097284228,MILFORD STREET,ATLANTIC AVENUE
"{'type': 'Point', 'coordinates': [-73.94842603673781, 40.5836685161373]}",-73.9484260367378,151926.824149057,OCEAN AVENUE,EMMONS AVENUE
"{'type': 'Point', 'coordinates': [-73.94647961835958, 40.63170816197684]}",-73.9464796183596,169429.232713729,AVENUE H,FLATBUSH AVENUE
"{'type': 'Point', 'coordinates': [-73.78301554725077, 40.68427745049188]}",-73.7830155472508,188651.687050894,FOCH BOULEVARD,GUY R BREWER BOULEVARD
