the_geom,long,y,street_2,street_1
"{'type': 'Point', 'coordinates': [-74.12005266701026, 40.56039320671753]}",-74.1200526670103,143465.696386307,GUYON AVENUE,HYLAN BOULEVARD
"{'type': 'Point', 'coordinates': [-73.98630429192393, 40.669172665528826]}",-73.9863042919239,183074.34289065,5 AVENUE,9 STREET
"{'type': 'Point', 'coordinates': [-73.92985647969822, 40.76732655234376]}",-73.9298564796982,218842.294976637,21 STREET,31 AVENUE
"{'type': 'Point', 'coordinates': [-73.96100797113614, 40.65008260257056]}",-73.9610079711361,176121.410602316,CHURCH AVENUE,OCEAN AVENUE
"{'type': 'Point', 'coordinates': [-73.94548195195377, 40.807772627022665]}",-73.9454819519538,233575.10310939,WEST 125 STREET,LENOX AVENUE
"{'type': 'Point', 'coordinates': [-73.93791705652221, 40.75870660499185]}",-73.9379170565222,215700.08013247,21 STREET,37 AVENUE
"{'type': 'Point', 'coordinates': [-74.01669546386654, 40.635521474684204]}",-74.0166954638665,170814.428434148,GOWANUS EXPRESSWAY EB EN 65 ST,65 STREET
"{'type': 'Point', 'coordinates': [-74.00882481889079, 40.63964463035867]}",-74.0088248188908,172316.287307054,7 AVENUE,55 STREET
"{'type': 'Point', 'coordinates': [-73.9315563888567, 40.66275540408501]}",-73.9315563888567,180743.474848971,REMSEN AVENUE,EAST NEW YORK AVENUE
"{'type': 'Point', 'coordinates': [-73.91770299154472, 40.83451500780073]}",-73.9177029915447,243324.322127983,EAST 167 STREET,GRAND CONCOURSE
"{'type': 'Point', 'coordinates': [-73.92834967207139, 40.668647193886784]}",-73.9283496720714,182890.730725065,ROCHESTER AVENUE,EASTERN PARKWAY
"{'type': 'Point', 'coordinates': [-73.91594008773868, 40.8395519738548]}",-73.9159400877387,245159.938535482,EAST 170 STREET,WALTON AVENUE
"{'type': 'Point', 'coordinates': [-73.8715965832961, 40.87864613584546]}",-73.8715965832961,259418.314874306,WEBSTER AVENUE,EAST GUN HILL ROAD
"{'type': 'Point', 'coordinates': [-73.98314654910043, 40.738831812314494]}",-73.9831465491004,208453.408602223,EAST 23 STREET,3 AVENUE
"{'type': 'Point', 'coordinates': [-73.94020105068974, 40.591684006194875]}",-73.9402010506897,154848.520733476,NOSTRAND AVENUE,AVENUE Y
"{'type': 'Point', 'coordinates': [-73.92459294076461, 40.67903197617785]}",-73.9245929407646,186675.076830894,FULTON STREET,BUFFALO AVENUE
"{'type': 'Point', 'coordinates': [-73.96818687760135, 40.76222682091534]}",-73.9681868776014,216978.115634143,EAST 59 STREET,LEXINGTON AVENUE
"{'type': 'Point', 'coordinates': [-73.97534263623236, 40.741274679778954]}",-73.9753426362324,209343.935036391,EAST 30 STREET,1 AVENUE
"{'type': 'Point', 'coordinates': [-74.1008025311631, 40.61011003571477]}",-74.1008025311631,161572.03090848,ENDOR AVENUE,MILFORD DRIVE
"{'type': 'Point', 'coordinates': [-73.96060180691747, 40.76974918678575]}",-73.9606018069175,219719.616056651,EAST 72 STREET,3 AVENUE
"{'type': 'Point', 'coordinates': [-73.88245058528706, 40.74994028339315]}",-73.8824505852871,212521.983142227,84 STREET,37 AVENUE
"{'type': 'Point', 'coordinates': [-73.98628574001626, 40.72224191973177]}",-73.9862857400163,202409.041097805,ESSEX STREET,EAST HOUSTON STREET
"{'type': 'Point', 'coordinates': [-73.89050129262995, 40.746941938904]}",-73.8905012926299,211426.699899733,ROOSEVELT AVENUE,75 STREET
"{'type': 'Point', 'coordinates': [-73.91123038440122, 40.673078484890446]}",-73.9112303844012,184509.52374731,ST MARKS AVENUE,EASTERN PARKWAY
"{'type': 'Point', 'coordinates': [-73.94191717555391, 40.82283749912975]}",-73.9419171755539,239064.409387976,WEST 145 STREET,FREDERICK DOUGLASS BOULEVARD
"{'type': 'Point', 'coordinates': [-73.95980097987726, 40.58008047197333]}",-73.9598009798773,150617.955047637,OCEAN VIEW AVENUE,CONEY ISLAND AVENUE
"{'type': 'Point', 'coordinates': [-73.93393675713563, 40.74287417890357]}",-73.9339367571356,209932.624803901,VAN DAM STREET,47 AVENUE
"{'type': 'Point', 'coordinates': [-73.98526614228449, 40.596743845284756]}",-73.9852661422845,156686.624012649,STILLWELL AVENUE,86 STREET
"{'type': 'Point', 'coordinates': [-73.91770217257069, 40.770393111022216]}",-73.9177021725707,219962.47318247,HOYT AVENUE NORTH,ASTORIA BOULEVARD NORTH
"{'type': 'Point', 'coordinates': [-73.99404155219521, 40.720320979561336]}",-73.9940415521952,201708.94210431,BOWERY,DELANCEY STREET
"{'type': 'Point', 'coordinates': [-73.91846133258991, 40.825576923732754]}",-73.9184613325899,240067.654756814,EAST 161 STREET,MORRIS AVENUE
"{'type': 'Point', 'coordinates': [-73.92516155426875, 40.672953600285815]}",-73.9251615542688,184460.415905893,BUFFALO AVENUE,PROSPECT PLACE
"{'type': 'Point', 'coordinates': [-73.94715896321073, 40.65559378716097]}",-73.9471589632107,178131.301595643,CLARKSON AVENUE,NEW YORK AVENUE
"{'type': 'Point', 'coordinates': [-73.79394796530589, 40.7086233454781]}",-73.7939479653059,197514.270703644,168 STREET,89 AVENUE
"{'type': 'Point', 'coordinates': [-73.97584815804743, 40.693360818160514]}",-73.9758481580474,191887.411878645,NORTH PORTLAND AVENUE,MYRTLE AVENUE
"{'type': 'Point', 'coordinates': [-73.92601092870942, 40.86357366402842]}",-73.9260109287094,253909.4384249,SHERMAN AVENUE,DYCKMAN STREET
"{'type': 'Point', 'coordinates': [-73.73579268161753, 40.7132857142947]}",-73.7357926816175,199256.183230311,HEMPSTEAD AVENUE,SPRINGFIELD BOULEVARD
"{'type': 'Point', 'coordinates': [-73.93357644845085, 40.8027521805066]}",-73.9335764484508,231748.253088564,EAST 125 STREET,2 AVENUE
"{'type': 'Point', 'coordinates': [-73.99280340951111, 40.7429100197962]}",-73.9928034095111,209938.861668065,WEST 23 STREET,AVENUE OF THE AMERICAS
"{'type': 'Point', 'coordinates': [-73.94040344928038, 40.8089580957691]}",-73.9404034492804,234007.927046895,5 AVENUE,WEST 129 STREET
"{'type': 'Point', 'coordinates': [-73.90331845372546, 40.8627352828914]}",-73.9033184537255,253610.098472387,WEST FORDHAM ROAD,GRAND AVENUE
"{'type': 'Point', 'coordinates': [-73.99771358990922, 40.623680269238925]}",-73.9977135899092,166499.927548721,NEW UTRECHT AVENUE,65 STREET
"{'type': 'Point', 'coordinates': [-73.94446784085605, 40.62948005179687]}",-73.944467840856,168617.820294559,AVENUE I,FLATBUSH AVENUE
"{'type': 'Point', 'coordinates': [-73.97905849562405, 40.74444355177825]}",-73.979058495624,210498.187977225,EAST 32 STREET,3 AVENUE
"{'type': 'Point', 'coordinates': [-73.83266885204297, 40.700107999069395]}",-73.832668852043,194389.00136365,117 STREET,MYRTLE AVENUE
"{'type': 'Point', 'coordinates': [-73.78808647304882, 40.67300962589478]}",-73.7880864730488,184543.063378394,SUTPHIN BOULEVARD,ROCKAWAY BOULEVARD
"{'type': 'Point', 'coordinates': [-73.75848075015114, 40.761994736675454]}",-73.7584807501511,216984.195018306,NORTHERN BOULEVARD,223 STREET
"{'type': 'Point', 'coordinates': [-73.8281474373839, 40.763941059705886]}",-73.8281474373839,217647.766525805,NORTHERN BOULEVARD,UNION STREET
"{'type': 'Point', 'coordinates': [-73.99427200575106, 40.71562086413223]}",-73.9942720057511,199996.54198581,FORSYTH STREET,CANAL STREET
"{'type': 'Point', 'coordinates': [-73.81331347281719, 40.78749308774894]}",-73.8133134728172,226236.951775223,150 STREET,CROSS ISLAND PARKWAY
"{'type': 'Point', 'coordinates': [-74.13982184768574, 40.61629982531396]}",-74.1398218476857,163842.009964317,WATCHOGUE ROAD,WOOLLEY AVENUE
"{'type': 'Point', 'coordinates': [-73.92275882257094, 40.81738828468833]}",-73.9227588225709,237083.160069644,EAST 149 STREET,MORRIS AVENUE
"{'type': 'Point', 'coordinates': [-73.95625889745429, 40.81338943322651]}",-73.9562588974543,235619.831959561,AMSTERDAM AVENUE,WEST 125 STREET
"{'type': 'Point', 'coordinates': [-73.91049010640486, 40.830737372513745]}",-73.9104901064049,241949.948236316,WEBSTER AVENUE,EAST 167 STREET
"{'type': 'Point', 'coordinates': [-73.74468241491442, 40.729810208450814]}",-73.7446824149144,205269.231243566,HILLSIDE AVENUE,SPRINGFIELD BOULEVARD
"{'type': 'Point', 'coordinates': [-73.89285169122816, 40.861832192972905]}",-73.8928516912281,253284.436394066,MARION AVENUE,EAST FORDHAM ROAD
"{'type': 'Point', 'coordinates': [-73.99961512323925, 40.57498420736114]}",-73.9996151232393,148758.697283223,WEST 33 STREET,MERMAID AVENUE
"{'type': 'Point', 'coordinates': [-73.88969542441734, 40.63380239959145]}",-73.8896954244173,170206.957536221,SEAVIEW AVENUE,ROCKAWAY PARKWAY
"{'type': 'Point', 'coordinates': [-73.90852358974414, 40.661014489922096]}",-73.9085235897441,180115.044347316,ROCKAWAY AVENUE,RIVERDALE AVENUE
"{'type': 'Point', 'coordinates': [-73.9438353678699, 40.752530122996006]}",-73.9438353678699,213448.6807639,ED KOCH BR UPPER ROADWAY EN RAMP,21 STREET
"{'type': 'Point', 'coordinates': [-73.97875234948579, 40.719933706333414]}",-73.9787523494858,201568.50472115,COLUMBIA STREET,EAST HOUSTON STREET
"{'type': 'Point', 'coordinates': [-73.96188086429389, 40.654881191140035]}",-73.9618808642939,177869.56228973,EAST DRIVE,PARKSIDE AVENUE
"{'type': 'Point', 'coordinates': [-73.89467912451619, 40.647529334895644]}",-73.8946791245162,175206.346815646,EAST 105 STREET,FLATLANDS AVENUE
"{'type': 'Point', 'coordinates': [-73.92374878637513, 40.66437740269522]}",-73.9237487863751,181336.203322306,RUTLAND ROAD,ROCKAWAY PARKWAY
"{'type': 'Point', 'coordinates': [-73.80448983795445, 40.69616930800074]}",-73.8044898379544,192970.205316722,LIBERTY AVENUE,SUTPHIN BOULEVARD
"{'type': 'Point', 'coordinates': [-73.86836897894268, 40.86540798326886]}",-73.8683689789427,254596.464281812,OLINVILLE AVENUE,ALLERTON AVENUE
"{'type': 'Point', 'coordinates': [-73.87182050927116, 40.66670665927747]}",-73.8718205092712,182201.626788303,FOUNTAIN AVENUE,LORING AVENUE
"{'type': 'Point', 'coordinates': [-73.90106540829424, 40.86828390382525]}",-73.9010654082942,255632.371986896,WEST KINGSBRIDGE ROAD,UNIVERSITY AVENUE
"{'type': 'Point', 'coordinates': [-73.88309335650695, 40.82790425341862]}",-73.8830933565069,240926.672723815,WESTCHESTER AVENUE BRIDGE,WESTCHESTER AVENUE
"{'type': 'Point', 'coordinates': [-73.91817205338927, 40.74104715752419]}",-73.9181720533893,209270.670747221,47 STREET,47 AVENUE
"{'type': 'Point', 'coordinates': [-74.10231607286028, 40.577944245870455]}",-74.1023160728603,149853.711497396,MIDLAND AVENUE,HYLAN BOULEVARD
"{'type': 'Point', 'coordinates': [-73.93088430131385, 40.8481189380799]}",-73.9308843013138,248277.589452401,WEST 181 STREET,AMSTERDAM AVENUE
"{'type': 'Point', 'coordinates': [-73.94064573619166, 40.8057366880428]}",-73.9406457361917,232834.208921894,EAST 125 STREET,MADISON AVENUE
"{'type': 'Point', 'coordinates': [-74.15682674406068, 40.61622188371472]}",-74.1568267440607,163821.607774138,STATEN ISLAND EXPWY ET 7 WB,RICHMOND AVENUE
"{'type': 'Point', 'coordinates': [-73.80774200946132, 40.70058168733745]}",-73.8077420094613,194575.766081974,ARCHER AVENUE,SUTPHIN BOULEVARD
