the_geom,x
"{'type': 'Point', 'coordinates': [-73.93791705652221, 40.75870660499185]}",1001449.24971022
"{'type': 'Point', 'coordinates': [-73.88309335650695, 40.82790425341862]}",1016603.76959798
"{'type': 'Point', 'coordinates': [-73.92374878637513, 40.66437740269522]}",1005404.29429355
"{'type': 'Point', 'coordinates': [-74.15682674406068, 40.61622188371472]}",940710.32853739
"{'type': 'Point', 'coordinates': [-73.77469730180438, 40.68048604652976]}",1046740.33563705
"{'type': 'Point', 'coordinates': [-73.98863862792096, 40.72293371945398]}",987399.206944227
"{'type': 'Point', 'coordinates': [-73.96060027643453, 40.761484853967005]}",995164.712082475
"{'type': 'Point', 'coordinates': [-73.82348245178675, 40.76465179093493]}",1033147.43368906
"{'type': 'Point', 'coordinates': [-73.96188086429389, 40.654881191140035]}",994826.858427465
"{'type': 'Point', 'coordinates': [-73.92427980839541, 40.807186717393655]}",1005211.99809022
"{'type': 'Point', 'coordinates': [-73.93060405601646, 40.65380495575892]}",1003505.4959258
"{'type': 'Point', 'coordinates': [-73.86474024856385, 40.856690663572756]}",1021666.77128297
"{'type': 'Point', 'coordinates': [-73.83266885204297, 40.700107999069395]}",1030647.61585405
"{'type': 'Point', 'coordinates': [-74.01669546386654, 40.635521474684204]}",979616.190686136
"{'type': 'Point', 'coordinates': [-73.80448983795445, 40.69616930800074]}",1038464.28952514
"{'type': 'Point', 'coordinates': [-73.92601092870942, 40.86357366402842]}",1004715.41115689
"{'type': 'Point', 'coordinates': [-73.94040344928038, 40.8089580957691]}",1000747.97191331
"{'type': 'Point', 'coordinates': [-73.80399971294933, 40.760270486293834]}",1038547.94421346
"{'type': 'Point', 'coordinates': [-73.73579268161753, 40.7132857142947]}",1057494.91353731
"{'type': 'Point', 'coordinates': [-74.18204813412198, 40.59709582487136]}",933693.664093047
"{'type': 'Point', 'coordinates': [-73.92249750860745, 40.60980907933885]}",1005769.02453522
"{'type': 'Point', 'coordinates': [-73.82946930225015, 40.75819353568077]}",1031493.58857155
"{'type': 'Point', 'coordinates': [-73.91049010640486, 40.830737372513745]}",1009020.70110272
"{'type': 'Point', 'coordinates': [-73.96090977373903, 40.60769310158166]}",995103.977295801
"{'type': 'Point', 'coordinates': [-74.11618948706621, 40.62894119688373]}",951998.553336218
"{'type': 'Point', 'coordinates': [-73.9438353678699, 40.752530122996006]}",999811.103708297
"{'type': 'Point', 'coordinates': [-73.94944978144284, 40.63450748193094]}",998280.37514247
"{'type': 'Point', 'coordinates': [-73.94064573619166, 40.8057366880428]}",1000681.69547105
"{'type': 'Point', 'coordinates': [-73.93095113088133, 40.67058280436543]}",1003404.37375273
"{'type': 'Point', 'coordinates': [-73.94715896321073, 40.65559378716097]}",998911.564824969
"{'type': 'Point', 'coordinates': [-73.73525801156269, 40.71850275395983]}",1057637.39258306
"{'type': 'Point', 'coordinates': [-73.86917477016037, 40.73413585947956]}",1020506.74046655
"{'type': 'Point', 'coordinates': [-73.9136960554112, 40.67649567253065]}",1008188.86221522
"{'type': 'Point', 'coordinates': [-74.00198507545963, 40.75578124965593]}",983700.03717722
"{'type': 'Point', 'coordinates': [-73.93031762770087, 40.677413037932254]}",1003578.12996688
"{'type': 'Point', 'coordinates': [-73.93741852777376, 40.80437467810967]}",1001575.47353914
"{'type': 'Point', 'coordinates': [-73.94955688666676, 40.68039040295393]}",998241.021546632
"{'type': 'Point', 'coordinates': [-73.74468241491442, 40.729810208450814]}",1055012.91554855
"{'type': 'Point', 'coordinates': [-73.76712954236196, 40.666695834087555]}",1048852.69361706
"{'type': 'Point', 'coordinates': [-73.94760500185852, 40.82523285920536]}",998750.836799964
