evnt_key,occur_tm,y_coord_cd,rpted_age,longitude,veh_category
313703724,09:47:45,185868,32,0.0,CAR/SUV
313774292,09:15:00,212916,46,0.0,CAR/SUV
313722175,19:18:00,201620,37,0.0,OTHER
313703696,00:13:00,174599,27,0.0,OTHER
313703946,13:35:15,212667,20,0.0,CAR/SUV
313675565,09:24:00,190655,53,0.0,CAR/SUV
313722646,20:00:00,184443,29,0.0,CAR/SUV
313675605,10:34:26,203710,21,0.0,CAR/SUV
313703411,11:45:50,237509,23,0.0,CAR/SUV
313703972,15:52:00,201819,62,0.0,OTHER
313675566,09:32:00,190655,31,0.0,CAR/SUV
313675594,07:40:00,203710,57,0.0,CAR/SUV
313735826,16:08:00,187165,37,0.0,MCL
313703430,14:43:03,238417,56,0.0,CAR/SUV
313815594,23:50:00,248233,35,0.0,CAR/SUV
313703389,15:57:00,238628,54,0.0,CAR/SUV
313703428,13:31:00,238113,41,0.0,CAR/SUV
313722648,20:13:30,186426,29,0.0,CAR/SUV
313703416,13:00:00,234784,27,0.0,OTHER
313722631,19:30:00,184071,53,0.0,CAR/SUV
313675599,09:29:08,203710,34,0.0,CAR/SUV
313722586,22:48:00,181336,37,0.0,CAR/SUV
313675591,01:05:00,207105,26,0.0,CAR/SUV
313703735,10:58:00,178139,31,0.0,CAR/SUV
313723029,17:57:19,206216,45,0.0,CAR/SUV
313735623,17:30:00,252043,58,0.0,CAR/SUV
313722217,13:50:00,213323,37,0.0,CAR/SUV
313703985,12:31:00,209933,25,0.0,MCL
313774290,09:03:00,212916,45,0.0,CAR/SUV
313703722,08:58:15,183637,22,0.0,CAR/SUV
313735754,12:24:00,176233,21,0.0,CAR/SUV
313703970,14:35:00,199177,34,0.0,CAR/SUV
313675576,06:40:39,199221,39,0.0,CAR/SUV
313703732,10:55:00,183157,29,0.0,CAR/SUV
313703717,07:53:33,183195,31,0.0,CAR/SUV
313656254,00:37:00,229110,28,0.0,MOPED
313774295,10:14:00,212916,63,0.0,CAR/SUV
313722167,01:43:00,207917,34,0.0,CAR/SUV
313722205,21:07:00,207745,27,0.0,CAR/SUV
313774287,09:24:00,212916,58,0.0,CAR/SUV
313723049,20:27:38,197416,21,0.0,CAR/SUV
313815598,23:00:00,253989,49,0.0,CAR/SUV
313722220,18:32:00,214013,25,0.0,CAR/SUV
313675194,02:37:00,207985,57,0.0,CAR/SUV
313703714,06:47:55,184510,57,0.0,CAR/SUV
313723043,04:08:00,213202,63,0.0,CAR/SUV
313703977,17:03:00,197178,UNKNOWN,0.0,CAR/SUV
313656545,00:30:00,188496,25,0.0,CAR/SUV
313703959,18:01:44,206701,61,0.0,MOPED
313794175,17:56:00,231033,UNKNOWN,0.0,CAR/SUV
313723055,21:39:00,198133,UNKNOWN,0.0,CAR/SUV
313703719,08:26:30,185808,32,0.0,CAR/SUV
313722645,18:45:00,189551,18,0.0,CAR/SUV
313735758,20:25:00,175398,36,-74.005724,CAR/SUV
313722194,19:59:00,213272,60,0.0,CAR/SUV
313735849,15:35:00,188124,64,-73.917195,CAR/SUV
313722215,14:17:00,213323,42,0.0,CAR/SUV
313722176,21:09:00,200763,31,0.0,CAR/SUV
313722165,16:00:00,205900,27,-73.999811,OTHER
313703390,16:48:00,236815,61,0.0,CAR/SUV
313795176,05:06:00,184543,34,0.0,CAR/SUV
313703980,18:11:37,208144,20,0.0,CAR/SUV
313735783,17:06:00,183679,39,0.0,CAR/SUV
313774174,14:26:00,203869,UNKNOWN,0.0,CAR/SUV
313722188,17:32:00,213272,44,0.0,CAR/SUV
313703995,13:48:00,210688,30,0.0,CAR/SUV
313703706,14:56:00,177046,33,0.0,CAR/SUV
