median_tt_sec,aggregation_period_sec
62.0,900
49.0,900
407.0,900
64.5,900
67.0,900
57.5,900
0.0,0
53.5,900
106.0,900
431.5,900
140.0,900
143.0,900
123.0,900
111.0,900
25.0,900
168.0,900
106.0,900
125.0,900
41.5,900
59.0,900
116.0,900
0.0,0
0.0,0
73.0,900
61.0,900
0.0,0
30.0,900
108.5,900
59.0,900
588.0,900
132.5,900
477.0,900
62.0,900
117.0,900
162.0,900
155.0,900
99.0,900
226.0,900
169.5,900
72.0,900
216.5,900
42.0,900
0.0,0
81.0,900
0.0,0
0.0,0
238.5,900
135.5,900
53.0,900
82.0,900
90.0,900
134.5,900
443.0,900
63.0,900
145.0,900
110.0,900
65.0,900
130.5,900
0.0,0
128.5,900
54.0,900
242.0,900
26.0,900
89.0,900
158.0,900
219.0,900
182.0,900
258.0,900
76.0,900
65.0,900
0.0,0
131.5,900
53.0,900
17.0,900
47.0,900
150.5,900
112.0,900
92.0,900
297.5,900
59.0,900
64.0,900
69.0,900
84.0,900
154.0,900
61.0,900
219.0,900
54.0,900
46.0,900
143.5,900
71.0,900
14.0,900
527.0,900
0.0,0
72.0,900
84.5,900
150.0,900
280.0,900
77.0,900
166.0,900
79.0,900
521.0,900
84.0,900
0.0,0
65.0,900
86.5,900
87.0,900
490.0,900
0.0,0
0.0,0
106.0,900
137.0,900
503.0,900
126.0,900
0.0,0
106.0,900
373.5,900
454.0,900
328.5,900
0.0,0
0.0,0
0.0,0
0.0,0
64.0,900
160.0,900
64.0,900
149.5,900
0.0,0
30.0,900
289.0,900
87.5,900
212.0,900
119.0,900
525.0,900
48.0,900
114.0,900
0.0,0
0.0,0
0.0,0
112.0,900
260.0,900
128.0,900
82.0,900
37.0,900
175.0,900
47.5,900
0.0,0
0.0,0
185.0,900
0.0,0
206.0,900
142.5,900
117.5,900
584.0,900
152.0,900
46.0,900
102.5,900
48.0,900
127.5,900
0.0,0
110.5,900
88.5,900
125.0,900
155.0,900
63.0,900
87.0,900
198.5,900
255.0,900
104.0,900
0.0,0
58.0,900
156.0,900
96.0,900
52.0,900
0.0,0
33.0,900
16.5,900
55.0,900
143.0,900
0.0,0
105.0,900
126.5,900
78.5,900
22.0,900
155.0,900
138.0,900
187.0,900
0.0,0
218.0,900
103.5,900
102.0,900
66.0,900
60.0,900
63.0,900
99.0,900
0.0,0
76.5,900
354.0,900
26.5,900
0.0,0
671.0,900
