polyline,n_samples
a_wwFfonbMq^aV,21
ukwwFfmobMk^{U,10
opuwFnxpbM}JsGqJmG_G}D,0
_~wwFhxmbMxD}L,10
agvwFxmobMfCeI,4
ukwwFfmobMgCbI,21
apuwFxxpbMdCyHjCmIfC_I,6
yjxwFpvnbM|BmHnCuI,0
ecwwFdynbMgC~HgC~H,19
ybvwFrcobM|DaM,10
ybxwF`bnbM??vRxMzJfG,54
a_xwFxwmbMeC|H,19
ybxwF`bnbM??vRxMzJfG,47
opuwFnxpbM}JsGqJmG_G}D,32
opuwFnxpbM}JsGqJmG_G}D,35
mpvwFfapbMgC`I,0
agvwFxmobMfCeI,13
ukwwFfmobMk^{U,22
qovwFxapbMxCiJtBuG,18
a_wwFfonbMcC|H,31
icvwFhcobMgCyAoVgP,58
agvwFxmobMfCeI,5
gcxwFvanbM_CpHoCrI,12
a_xwFxwmbMeC|H,0
ybvwFrcobM|DaM,6
agvwFxmobMfCeI,14
agvwFxmobMfCeI,6
gcxwFvanbM_CpHoCrI,0
yjxwFpvnbM|BmHnCuI,2
