median_speed_fps,median_calculation_timestamp,borough,link_name
11.48,2024-07-08T22:37:16.000,Manhattan,42nd Street - Eastbound - 3rd Ave to 2nd Ave
20.75,2024-07-08T05:13:16.000,Manhattan,57th Street - Eastbound - Madison Ave to Lexington Ave
5.14,2024-07-08T10:09:16.000,Manhattan,Madison Avenue - Northbound - 49th St to 57th St
11.04,2024-07-08T03:42:20.000,Manhattan,42nd Street - Eastbound - 3rd Ave to 2nd Ave
31.36,2024-07-08T00:01:16.000,Manhattan,Madison Avenue - Northbound - 34th St to 42nd St
17.63,2024-07-08T05:51:16.000,Manhattan,49th Street - Westbound - Lexington Ave to Madison Ave
0.0,2024-07-08T03:39:16.000,Manhattan,42nd Street - Westbound - 3rd Ave to Lexington Ave
9.51,2024-07-08T00:59:16.000,Manhattan,57th Street - Eastbound - Lexington Ave to 3rd Ave
9.57,2024-07-08T23:14:20.000,Manhattan,42nd Street - Eastbound - Madison Ave to Lexington Ave
2.37,2024-07-08T18:19:16.000,Manhattan,42nd Street - Westbound - Lexington Ave to Madison Ave
15.07,2024-07-08T16:55:16.000,Manhattan,Lexington Avenue - Southbound - 57th St to 49th St
14.75,2024-07-08T23:14:20.000,Manhattan,Lexington Avenue - Southbound - 57th St to 49th St
8.24,2024-07-08T14:04:20.000,Manhattan,42nd Street - Eastbound - Madison Ave to Lexington Ave
18.93,2024-07-08T22:26:20.000,Manhattan,Madison Avenue - Northbound - 34th St to 42nd St
20.35,2024-07-08T11:28:20.000,Manhattan,57th Street - Eastbound - Lexington Ave to 3rd Ave
12.53,2024-07-08T19:18:20.000,Manhattan,3rd Avenue - Northbound - 49th St to 57th St
9.57,2024-07-08T18:05:16.000,Manhattan,42nd Street - Eastbound - Madison Ave to Lexington Ave
16.87,2024-07-08T07:07:16.000,Manhattan,Lexington Avenue - Southbound - 57th St to 49th St
16.95,2024-07-08T11:36:20.000,Manhattan,57th Street - Eastbound - 3rd Ave to 2nd Ave
35.46,2024-07-08T01:48:20.000,Manhattan,Madison Avenue - Northbound - 49th St to 57th St
8.8,2024-07-08T08:46:20.000,Manhattan,57th Street - Westbound - Lexington Ave to Madison Ave
0.0,2024-07-08T01:48:20.000,Manhattan,42nd Street - Westbound - 3rd Ave to Lexington Ave
0.0,2024-07-08T06:01:16.000,Manhattan,57th Street - Westbound - 3rd Ave to Lexington Ave
28.78,2024-07-08T01:56:20.000,Manhattan,Madison Avenue - Northbound - 34th St to 42nd St
11.53,2024-07-08T17:54:20.000,Manhattan,57th Street - Eastbound - 3rd Ave to 2nd Ave
0.0,2024-07-08T09:59:16.000,Manhattan,57th Street - Westbound - 3rd Ave to Lexington Ave
16.7,2024-07-08T21:49:16.000,Manhattan,49th Street - Westbound - 3rd Ave to Lexington Ave
19.28,2024-07-08T06:42:20.000,Manhattan,Madison Avenue - Northbound - 49th St to 57th St
31.12,2024-07-08T03:21:17.000,Manhattan,Lexington Avenue - Southbound - 49th St to 42nd St
0.86,2024-07-08T17:43:16.000,Manhattan,42nd Street - Westbound - 3rd Ave to Lexington Ave
7.65,2024-07-08T11:35:16.000,Manhattan,42nd Street - Eastbound - Madison Ave to Lexington Ave
2.15,2024-07-08T07:17:16.000,Manhattan,42nd Street - Westbound - Lexington Ave to Madison Ave
8.21,2024-07-08T00:08:20.000,Manhattan,57th Street - Eastbound - Lexington Ave to 3rd Ave
4.28,2024-07-08T08:52:20.000,Manhattan,49th Street - Westbound - 3rd Ave to Lexington Ave
6.3,2024-07-08T18:03:16.000,Manhattan,57th Street - Westbound - Lexington Ave to Madison Ave
3.25,2024-07-08T18:12:20.000,Manhattan,42nd Street - Westbound - 3rd Ave to Lexington Ave
5.14,2024-07-08T16:17:16.000,Manhattan,57th Street - Eastbound - Lexington Ave to 3rd Ave
8.12,2024-07-08T14:19:16.000,Manhattan,Lexington Avenue - Southbound - 49th St to 42nd St
12.4,2024-07-08T17:35:16.000,Manhattan,Madison Avenue - Northbound - 34th St to 42nd St
29.18,2024-07-08T23:50:20.000,Manhattan,Madison Avenue - Northbound - 34th St to 42nd St
9.74,2024-07-08T12:39:16.000,Manhattan,Lexington Avenue - Southbound - 57th St to 49th St
16.95,2024-07-08T01:07:16.000,Manhattan,42nd Street - Eastbound - 3rd Ave to 2nd Ave
0.0,2024-07-08T02:28:20.000,Manhattan,42nd Street - Westbound - Madison Ave to 5th Ave
25.83,2024-07-08T23:38:20.000,Manhattan,Madison Avenue - Northbound - 49th St to 57th St
0.0,2024-07-08T09:07:16.000,Manhattan,42nd Street - Westbound - Madison Ave to 5th Ave
0.0,2024-07-08T15:27:16.000,Manhattan,42nd Street - Westbound - Lexington Ave to Madison Ave
8.81,2024-07-08T15:03:16.000,Manhattan,Madison Avenue - Northbound - 34th St to 42nd St
13.59,2024-07-08T16:02:20.000,Manhattan,Madison Avenue - Northbound - 42nd St to 49th St
19.13,2024-07-08T02:06:20.000,Manhattan,42nd Street - Eastbound - Madison Ave to Lexington Ave
6.13,2024-07-08T22:40:20.000,Manhattan,57th Street - Westbound - 3rd Ave to Lexington Ave
11.27,2024-07-08T05:59:16.000,Manhattan,49th Street - Westbound - Lexington Ave to Madison Ave
13.73,2024-07-08T17:18:20.000,Manhattan,3rd Avenue - Northbound - 42nd St to 49th St
4.14,2024-07-08T10:19:16.000,Manhattan,Lexington Avenue - Southbound - 49th St to 42nd St
16.1,2024-07-08T03:03:16.000,Manhattan,42nd Street - Eastbound - Madison Ave to Lexington Ave
12.74,2024-07-08T12:29:16.000,Manhattan,3rd Avenue - Northbound - 42nd St to 49th St
9.22,2024-07-08T08:45:16.000,Manhattan,42nd Street - Eastbound - Madison Ave to Lexington Ave
7.71,2024-07-08T05:44:20.000,Manhattan,49th Street - Westbound - 3rd Ave to Lexington Ave
11.74,2024-07-08T07:05:16.000,Manhattan,34th Street - Eastbound - Madison Ave to 3rd Ave
0.0,2024-07-08T06:40:20.000,Manhattan,42nd Street - Westbound - Madison Ave to 5th Ave
14.37,2024-07-08T09:49:16.000,Manhattan,3rd Avenue - Northbound - 42nd St to 49th St
34.11,2024-07-08T17:03:16.000,Manhattan,Madison Avenue - Northbound - 42nd St to 49th St
4.19,2024-07-08T12:01:16.000,Manhattan,49th Street - Westbound - Lexington Ave to Madison Ave
19.78,2024-07-08T09:55:16.000,Manhattan,42nd Street - Eastbound - Lexington Ave to 3rd Ave
23.61,2024-07-08T15:52:20.000,Manhattan,Madison Avenue - Northbound - 34th St to 42nd St
3.25,2024-07-08T19:37:16.000,Manhattan,42nd Street - Eastbound - Lexington Ave to 3rd Ave
9.61,2024-07-08T13:22:20.000,Manhattan,3rd Avenue - Northbound - 49th St to 57th St
2.77,2024-07-08T18:50:20.000,Manhattan,42nd Street - Westbound - 3rd Ave to Lexington Ave
3.97,2024-07-08T15:18:20.000,Manhattan,42nd Street - Westbound - Lexington Ave to Madison Ave
20.17,2024-07-08T01:34:20.000,Manhattan,34th Street - Eastbound - Madison Ave to 3rd Ave
32.19,2024-07-08T00:50:20.000,Manhattan,Madison Avenue - Northbound - 49th St to 57th St
0.0,2024-07-08T01:01:21.000,Manhattan,42nd Street - Eastbound - Madison Ave to Lexington Ave
14.05,2024-07-08T16:06:20.000,Manhattan,3rd Avenue - Northbound - 42nd St to 49th St
19.13,2024-07-08T02:03:16.000,Manhattan,42nd Street - Eastbound - Madison Ave to Lexington Ave
29.58,2024-07-08T04:26:20.000,Manhattan,34th Street - Westbound - Madison Ave to 5th Ave
21.57,2024-07-08T04:31:16.000,Manhattan,49th Street - Westbound - Lexington Ave to Madison Ave
12.24,2024-07-08T17:17:16.000,Manhattan,Madison Avenue - Northbound - 42nd St to 49th St
9.12,2024-07-08T05:25:16.000,Manhattan,57th Street - Westbound - Lexington Ave to Madison Ave
11.02,2024-07-08T11:56:20.000,Manhattan,42nd Street - Eastbound - Madison Ave to Lexington Ave
6.17,2024-07-08T08:54:20.000,Manhattan,Lexington Avenue - Southbound - 49th St to 42nd St
31.12,2024-07-08T01:41:16.000,Manhattan,Lexington Avenue - Southbound - 49th St to 42nd St
7.95,2024-07-08T08:31:16.000,Manhattan,57th Street - Eastbound - Lexington Ave to 3rd Ave
10.32,2024-07-08T13:43:16.000,Manhattan,42nd Street - Eastbound - 3rd Ave to 2nd Ave
12.11,2024-07-08T16:08:20.000,Manhattan,57th Street - Eastbound - Madison Ave to Lexington Ave
13.67,2024-07-08T07:25:16.000,Manhattan,3rd Avenue - Northbound - 49th St to 57th St
34.58,2024-07-08T05:18:20.000,Manhattan,Lexington Avenue - Southbound - 57th St to 49th St
9.63,2024-07-08T14:24:20.000,Manhattan,Lexington Avenue - Southbound - 57th St to 49th St
34.11,2024-07-08T01:56:20.000,Manhattan,Madison Avenue - Northbound - 42nd St to 49th St
10.93,2024-07-08T04:50:20.000,Manhattan,34th Street - Westbound - Madison Ave to 5th Ave
7.12,2024-07-08T11:41:16.000,Manhattan,57th Street - Westbound - Lexington Ave to Madison Ave
7.08,2024-07-08T17:20:20.000,Manhattan,57th Street - Westbound - 3rd Ave to Lexington Ave
36.56,2024-07-08T02:45:16.000,Manhattan,49th Street - Westbound - Madison Ave to 5th Ave
1.94,2024-07-08T14:09:16.000,Manhattan,42nd Street - Westbound - Lexington Ave to Madison Ave
0.0,2024-07-08T15:59:16.000,Manhattan,42nd Street - Westbound - Madison Ave to 5th Ave
9.89,2024-07-08T05:53:16.000,Manhattan,42nd Street - Eastbound - 3rd Ave to 2nd Ave
24.87,2024-07-08T06:06:20.000,Manhattan,Madison Avenue - Northbound - 34th St to 42nd St
12.24,2024-07-08T19:29:16.000,Manhattan,Lexington Avenue - Southbound - 49th St to 42nd St
3.66,2024-07-08T07:46:20.000,Manhattan,42nd Street - Westbound - Lexington Ave to Madison Ave
19.9,2024-07-08T09:16:20.000,Manhattan,34th Street - Eastbound - Madison Ave to 3rd Ave
3.04,2024-07-08T17:18:20.000,Manhattan,42nd Street - Westbound - 3rd Ave to Lexington Ave
6.51,2024-07-08T18:06:20.000,Manhattan,42nd Street - Eastbound - Lexington Ave to 3rd Ave
1.97,2024-07-08T22:00:20.000,Manhattan,42nd Street - Westbound - Lexington Ave to Madison Ave
12.16,2024-07-08T19:31:16.000,Manhattan,57th Street - Westbound - Lexington Ave to Madison Ave
0.0,2024-07-08T22:59:16.000,Manhattan,57th Street - Westbound - 3rd Ave to Lexington Ave
7.75,2024-07-08T09:24:20.000,Manhattan,42nd Street - Westbound - 3rd Ave to Lexington Ave
11.81,2024-07-08T00:59:16.000,Manhattan,57th Street - Westbound - Lexington Ave to Madison Ave
8.09,2024-07-08T18:13:16.000,Manhattan,57th Street - Eastbound - 3rd Ave to 2nd Ave
3.75,2024-07-08T10:32:20.000,Manhattan,Lexington Avenue - Southbound - 49th St to 42nd St
0.0,2024-07-08T04:48:20.000,Manhattan,57th Street - Eastbound - 3rd Ave to 2nd Ave
0.0,2024-07-08T06:28:20.000,Manhattan,42nd Street - Westbound - Lexington Ave to Madison Ave
4.83,2024-07-08T02:17:16.000,Manhattan,49th Street - Westbound - Madison Ave to 5th Ave
15.39,2024-07-08T21:23:16.000,Manhattan,Lexington Avenue - Southbound - 57th St to 49th St
1.0,2024-07-08T00:23:16.000,Manhattan,42nd Street - Westbound - 3rd Ave to Lexington Ave
14.66,2024-07-08T11:21:16.000,Manhattan,3rd Avenue - Northbound - 42nd St to 49th St
0.0,2024-07-08T14:22:20.000,Manhattan,57th Street - Eastbound - 3rd Ave to 2nd Ave
9.57,2024-07-08T22:45:16.000,Manhattan,49th Street - Westbound - Lexington Ave to Madison Ave
1.35,2024-07-08T17:33:16.000,Manhattan,42nd Street - Westbound - 3rd Ave to Lexington Ave
2.26,2024-07-08T17:24:20.000,Manhattan,42nd Street - Westbound - Lexington Ave to Madison Ave
