grade_9_offers
12
s
9
7
s
s
s
s
s
s
s
s
10
s
s
7
s
23
s
s
765
s
69
s
s
s
12
14
s
s
11
89
8
s
26
6
s
s
s
s
45
s
s
s
72
s
s
s
s
11
s
14
s
22
s
183
s
66
10
s
8
s
11
s
s
s
21
s
7
s
s
s
s
8
27
s
s
130
s
s
s
s
s
13
6
9
s
s
28
s
s
9
s
15
60
s
s
s
s
76
s
s
s
14
12
s
s
24
11
s
s
s
s
s
12
6
s
s
s
s
14
38
s
s
23
s
120
s
s
s
11
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
18
s
9
7
s
s
152
s
s
s
s
s
s
s
6
s
s
s
s
25
24
18
s
44
s
6
s
s
s
129
s
s
s
6
s
s
s
s
1203
9
9
s
s
32
s
s
7
s
28
s
s
84
s
s
